date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2023-09-21,14067.167857006112,1,5,0.5,0.49999999999999994,4.85722573273506e-17,1.0,-0.2230300740338137,0.0003717306761399364,0.00037166160140974526
2023-09-22,14189.013420785226,1,5,0.5,0.49999999999999994,4.85722573273506e-17,1.0,-0.023757976321284385,0.008661698290493458,0.008624400999036393
2023-09-23,14247.35058529625,1,5,0.5,0.49999999999999994,4.85722573273506e-17,1.0,0.016016738294253485,0.004111432048232944,0.004103003206663981
2023-09-24,14314.508905591105,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.03861083678790021,0.004713740978913306,0.004702666091037037
2023-09-25,14311.660297780469,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.023710690242618154,-0.0001990014347976743,-0.00019902123821051535
2023-09-26,14432.663140377683,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.034089087439467466,0.008454843119493294,0.008419301127532985
2023-09-27,14463.074293251851,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.011791356406153142,0.0021071061229918087,0.002104889288409323
2023-09-28,14528.982907558118,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.003617127996457489,0.004557026602360681,0.004546674793697797
2023-09-29,14487.064262757543,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.004377112960623661,-0.002885174073593899,-0.0028893442112916307
2023-09-30,14602.04959296575,3,2,0.5,0.5,-5.551115123125783e-17,1.0,0.014467372992106257,0.00793710362035216,0.007905770500358893
2023-10-01,14578.882204633748,3,3,0.5,0.5,4.163336342344337e-17,1.0,0.03570305692564447,-0.0015865846903548864,-0.001587844648708161
2023-10-02,14613.824872606765,3,3,0.5,0.5,4.163336342344337e-17,1.0,0.02172654379804579,0.002396800212975947,0.002393932468704808
2023-10-03,14662.225849656059,3,3,0.5,0.5,4.163336342344337e-17,1.0,-0.00106272326082714,0.003311999252161524,0.0033065266627838224
2023-10-04,14739.021779326264,3,3,0.5,0.5,4.163336342344337e-17,1.0,0.017070854262929935,0.0052376719918010295,0.00522400309587543
2023-10-05,14751.300890382245,3,3,0.5,0.5,4.163336342344337e-17,1.0,-0.002358016477235635,0.0008331021718961384,0.0008327553349021304
2023-10-06,14642.181373524354,3,3,0.5,0.5,4.163336342344337e-17,1.0,-0.003384242133306692,-0.0073972809360181024,-0.0074247764974872425
2023-10-07,14755.677885274174,3,3,0.5,0.5,4.163336342344337e-17,1.0,0.012643654914633587,0.007751339015308334,0.007721451732001173
