rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
17,LEO,UNUS SED LEO,9.175401471139725,8462412548.579371,922293435.9,985239504.0,,985239504.0,93.61108970514849,6.8249502435822365,62946068.100000024,2711840.92432878,0.2436,2025-11-08T01:49:16.629459
18,SUI,Sui,2.1622030086917094,7959773029.2582855,3681325480.198332,10000000000.0,10000000000.0,10000000000.0,36.81325480198332,171.64128936138644,6318674519.801668,1363995852.546732,0.2292,2025-11-08T01:49:16.629461
19,LTC,Litecoin,102.38707984461742,7832170906.832491,76495695.73347135,84000000.0,84000000.0,84000000.0,91.06630444460875,9.810100025333945,7504304.266528651,1590417278.1945403,0.2255,2025-11-08T01:49:16.629462
20,AVAX,Avalanche,17.96303710243261,7671357107.703622,427063478.4061512,460399378.4061512,715748719.0,715748719.0,59.66667729462623,67.59773551024651,288685240.5938488,840376229.6717942,0.2209,2025-11-08T01:49:16.629464
21,HBAR,Hedera,0.17774930187106702,7549942465.880093,42475229924.42778,50000000000.0,50000000000.0,50000000000.0,84.95045984885556,17.715666493060407,7524770075.57222,399419134.4881745,0.2174,2025-11-08T01:49:16.629465
22,XMR,Monero,367.21064097450517,6773840715.199539,18446744.07370955,18446744.07370955,,18446744.07370955,100.0,0.0,0.0,197367861.9713941,0.195,2025-11-08T01:49:16.629466
23,SHIB,Shiba Inu,1.0156044577379435e-05,5984402575.301394,589245402548789.4,589500789338320.9,589552695333683.0,589552695333683.0,99.94787696039288,0.05215022188793085,307292784893.625,279551967.11517185,0.1723,2025-11-08T01:49:16.629468
24,DOT,Polkadot,3.335307931271308,5449731308.537581,1633951473.3982377,1633951473.3982377,,1633951473.3982377,100.0,0.0,0.0,754999976.3454479,0.1569,2025-11-08T01:49:16.629469
25,DAI,Dai,0.9998723047227644,5364697568.633181,5365382702.664872,5365382702.664872,,5365382702.664872,100.0,0.0,0.0,138277041.6756037,0.1545,2025-11-08T01:49:16.629470
26,TON,Toncoin,2.1215799058565614,5275572456.9321575,2486624445.475322,5145174491.726026,,5145174491.726026,48.32925393442092,106.91401554779287,2658550046.250704,186852913.7101214,0.1519,2025-11-08T01:49:16.629472
27,CRO,Cronos,0.13008642891849911,4696879817.070588,36105840218.06953,98139174171.99452,100000000000.0,100000000000.0,36.10584021806953,176.96350340007876,63894159781.93047,59380950.51013609,0.1352,2025-11-08T01:49:16.629474
28,ICP,Internet Computer,7.983665629548046,4307740793.0940275,539569289.7196007,539569289.7196007,,539569289.7196007,100.0,0.0,0.0,1441985451.0461478,0.124,2025-11-08T01:49:16.629477
29,MNT,Mantle,1.2661463245671998,4118703160.193921,3252944055.7368407,6219316794.89,6219316795.0,6219316795.0,52.30388100429351,91.19040132373968,2966372739.2631593,195239832.10796613,0.1186,2025-11-08T01:49:16.629479
30,TAO,Bittensor,393.643256672513,4039122985.652905,10260871.78476223,21000000.0,21000000.0,21000000.0,48.86129421315348,104.66097267861556,10739128.21523777,644937306.6333513,0.1163,2025-11-08T01:49:16.629480
31,UNI,Uniswap,5.892001477334246,3713908400.475606,630330527.7099,1000000000.0,,1000000000.0,63.033052770990004,58.64692507170376,369669472.2901,355153209.2658495,0.1069,2025-11-08T01:49:16.629481
32,NEAR,NEAR Protocol,2.696412544661162,3449774664.821171,1279394235.0,1279394235.0,,1279394235.0,100.0,0.0,0.0,1574948365.7483664,0.0993,2025-11-08T01:49:16.629483
33,AAVE,Aave,208.50146918239992,3182261187.038854,15262536.03640063,16000000.0,,16000000.0,95.39085022750393,4.831857312838078,737463.9635993708,437692257.9270885,0.0916,2025-11-08T01:49:16.629485
34,WLFI,World Liberty Financial,0.12479486191247761,3066627139.0962152,24573344544.0,100000000000.0,100000000000.0,100000000000.0,24.573344544,306.9450123931815,75426655456.0,170061125.86629757,0.0883,2025-11-08T01:49:16.629486
35,USD1,World Liberty Financial USD,0.9990486360749936,2851134729.7953944,2853849779.5230203,2853849779.5230203,,2853849779.5230203,100.0,0.0,0.0,472460349.82760864,0.0821,2025-11-08T01:49:16.629488
36,BGB,Bitget Token,4.083113781284442,2848572617.8380156,697647131.6804521,919992035.9787906,919992035.98,919992035.98,75.83186640711513,31.87068278543285,222344904.2995479,74432228.4571045,0.082,2025-11-08T01:49:16.629489
37,PYUSD,PayPal USD,0.9995978505143537,2803491375.5210915,2804619251.710601,2804619251.710601,,2804619251.710601,100.0,0.0,0.0,146910927.7407377,0.0807,2025-11-08T01:49:16.629491
38,ETC,Ethereum Classic,17.86369440172083,2755228072.422142,154236184.8821556,210700000.0,210700000.0,210700000.0,73.20179633704585,36.608669464293136,56463815.1178444,629702311.1665137,0.0793,2025-11-08T01:49:16.629493
39,M,MemeCore,2.5411882040052527,2641567846.9700856,1039501066.0,5264317858.42,10000000000.0,10000000000.0,10.395010659999999,861.9999754766967,8960498934.0,25207846.73892087,0.0761,2025-11-08T01:49:16.629494
40,OKB,OKB,124.60826939378933,2616773657.269576,21000000.0,21000000.0,21000000.0,21000000.0,100.0,0.0,0.0,98920310.66679806,0.0753,2025-11-08T01:49:16.629496
41,PEPE,Pepe,6.218940816415769e-06,2616245588.00927,420689899653542.56,420689899653542.56,420690000000000.0,420690000000000.0,99.99997614717311,2.3852832578138886e-05,100346457.4375,592120304.5728881,0.0753,2025-11-08T01:49:16.629497
42,ENA,Ethena,0.33033559505657206,2452225643.9277716,7423437500.0,15000000000.0,15000000000.0,15000000000.0,49.48958333333333,102.06272363712903,7576562500.0,345876410.1186292,0.0706,2025-11-08T01:49:16.629500
43,APT,Aptos,3.1622640104986703,2278259747.2487073,720452100.0412737,1183299911.9451609,,1183299911.9451609,60.88499566073343,64.24407838874663,462847811.90388715,370228769.6645707,0.0656,2025-11-08T01:49:16.629501
44,ASTER,Aster,1.1131817290465444,2246066774.6972127,2017700000.0,8000000000.0,8000000000.0,8000000000.0,25.22125,296.4910541705903,5982300000.0,837143693.8708749,0.0647,2025-11-08T01:49:16.629503
