date,symbol,high,rolling_200d_high,days_since_200d_high
2025-06-17,AAVE/USDC:USDC,283.66,324.86,6
2025-06-18,AAVE/USDC:USDC,270.05,324.86,7
2025-06-19,AAVE/USDC:USDC,266.38,324.86,8
2025-06-20,AAVE/USDC:USDC,264.49,324.86,9
2025-06-21,AAVE/USDC:USDC,250.0,324.86,10
2025-06-22,AAVE/USDC:USDC,238.94,324.86,11
2025-06-23,AAVE/USDC:USDC,258.29,324.86,12
2025-06-24,AAVE/USDC:USDC,269.55,324.86,13
2025-06-25,AAVE/USDC:USDC,270.91,324.86,14
2025-06-26,AAVE/USDC:USDC,265.51,324.86,15
2025-06-27,AAVE/USDC:USDC,266.46,324.86,16
2025-06-28,AAVE/USDC:USDC,262.24,324.86,17
2025-06-29,AAVE/USDC:USDC,280.6,324.86,18
2025-06-30,AAVE/USDC:USDC,285.0,324.86,19
2025-07-01,AAVE/USDC:USDC,277.31,324.86,20
2025-07-02,AAVE/USDC:USDC,283.24,324.86,21
2025-07-03,AAVE/USDC:USDC,285.38,324.86,22
2025-07-04,AAVE/USDC:USDC,282.67,324.86,23
2025-07-05,AAVE/USDC:USDC,276.68,324.86,24
2025-07-06,AAVE/USDC:USDC,291.78,324.86,25
2025-07-07,AAVE/USDC:USDC,290.87,324.86,26
2025-07-08,AAVE/USDC:USDC,294.81,324.86,27
2025-07-09,AAVE/USDC:USDC,306.95,324.86,28
2025-07-10,AAVE/USDC:USDC,316.2,324.86,29
2025-07-11,AAVE/USDC:USDC,318.53,324.86,30
2025-07-12,AAVE/USDC:USDC,307.27,324.86,31
2025-07-13,AAVE/USDC:USDC,318.08,324.86,32
2025-07-14,AAVE/USDC:USDC,331.94,331.94,0
2025-07-15,AAVE/USDC:USDC,331.7,331.94,1
2025-07-16,AAVE/USDC:USDC,335.46,335.46,0
2025-07-17,AAVE/USDC:USDC,332.12,335.46,1
2025-07-18,AAVE/USDC:USDC,338.08,338.08,0
2025-07-19,AAVE/USDC:USDC,326.02,338.08,1
2025-07-20,AAVE/USDC:USDC,335.68,338.08,2
2025-07-21,AAVE/USDC:USDC,334.9,338.08,3
2025-07-22,AAVE/USDC:USDC,324.81,338.08,4
2025-07-23,AAVE/USDC:USDC,312.59,338.08,5
2025-07-24,AAVE/USDC:USDC,295.62,338.08,6
2025-07-25,AAVE/USDC:USDC,295.45,338.08,7
2025-07-26,AAVE/USDC:USDC,300.33,338.08,8
2025-07-27,AAVE/USDC:USDC,306.21,338.08,9
2025-07-28,AAVE/USDC:USDC,309.75,338.08,10
2025-07-29,AAVE/USDC:USDC,295.66,338.08,11
2025-07-30,AAVE/USDC:USDC,284.84,338.08,12
2025-07-31,AAVE/USDC:USDC,280.36,338.08,13
2025-08-01,AAVE/USDC:USDC,262.69,338.08,14
2025-08-02,AAVE/USDC:USDC,258.0,338.08,15
2025-08-03,AAVE/USDC:USDC,261.0,338.08,16
2025-08-04,AAVE/USDC:USDC,271.15,338.08,17
2025-08-05,AAVE/USDC:USDC,268.38,338.08,18
2025-08-06,AAVE/USDC:USDC,264.63,338.08,19
2025-08-07,AAVE/USDC:USDC,286.56,338.08,20
2025-08-08,AAVE/USDC:USDC,295.15,338.08,21
2025-08-09,AAVE/USDC:USDC,311.8,338.08,22
2025-08-10,AAVE/USDC:USDC,311.59,338.08,23
2025-08-11,AAVE/USDC:USDC,313.06,338.08,24
2025-08-12,AAVE/USDC:USDC,324.59,338.08,25
2025-08-13,AAVE/USDC:USDC,336.02,338.08,26
2025-08-14,AAVE/USDC:USDC,340.85,340.85,0
2025-08-15,AAVE/USDC:USDC,317.61,340.85,1
2025-08-16,AAVE/USDC:USDC,303.51,340.85,2
2025-08-17,AAVE/USDC:USDC,310.71,340.85,3
2025-08-18,AAVE/USDC:USDC,304.36,340.85,4
2025-08-19,AAVE/USDC:USDC,292.55,340.85,5
2025-08-20,AAVE/USDC:USDC,299.58,340.85,6
2025-08-21,AAVE/USDC:USDC,304.8,340.85,7
2025-08-22,AAVE/USDC:USDC,347.06,347.06,0
2025-08-23,AAVE/USDC:USDC,386.38,386.38,0
2025-08-24,AAVE/USDC:USDC,360.5,386.38,1
2025-08-25,AAVE/USDC:USDC,350.65,386.38,2
2025-08-26,AAVE/USDC:USDC,338.86,386.38,3
2025-08-27,AAVE/USDC:USDC,336.16,386.38,4
2025-08-28,AAVE/USDC:USDC,328.72,386.38,5
2025-08-29,AAVE/USDC:USDC,321.33,386.38,6
2025-08-30,AAVE/USDC:USDC,319.47,386.38,7
2025-08-31,AAVE/USDC:USDC,324.85,386.38,8
2025-09-01,AAVE/USDC:USDC,319.29,386.38,9
2025-09-02,AAVE/USDC:USDC,318.19,386.38,10
2025-09-03,AAVE/USDC:USDC,328.91,386.38,11
2025-09-04,AAVE/USDC:USDC,331.77,386.38,12
2025-09-05,AAVE/USDC:USDC,313.43,386.38,13
2025-09-06,AAVE/USDC:USDC,304.56,386.38,14
2025-09-07,AAVE/USDC:USDC,304.05,386.38,15
2025-09-08,AAVE/USDC:USDC,308.15,386.38,16
2025-09-09,AAVE/USDC:USDC,310.15,386.38,17
2025-09-10,AAVE/USDC:USDC,306.61,386.38,18
2025-09-11,AAVE/USDC:USDC,310.37,386.38,19
2025-09-12,AAVE/USDC:USDC,321.73,386.38,20
2025-09-13,AAVE/USDC:USDC,321.66,386.38,21
2025-09-14,AAVE/USDC:USDC,315.58,386.38,22
2025-09-15,AAVE/USDC:USDC,310.27,386.38,23
2025-09-16,AAVE/USDC:USDC,301.88,386.38,24
2025-09-17,AAVE/USDC:USDC,308.56,386.38,25
2025-09-18,AAVE/USDC:USDC,313.1,386.38,26
2025-09-19,AAVE/USDC:USDC,312.2,386.38,27
2025-09-20,AAVE/USDC:USDC,301.11,386.38,28
2025-09-21,AAVE/USDC:USDC,299.35,386.38,29
2025-09-22,AAVE/USDC:USDC,295.69,386.38,30
2025-09-23,AAVE/USDC:USDC,280.38,386.38,31
2025-09-24,AAVE/USDC:USDC,281.52,386.38,32
2025-09-25,AAVE/USDC:USDC,279.5,386.38,33
2025-09-26,AAVE/USDC:USDC,272.52,386.38,34
2025-09-27,AAVE/USDC:USDC,272.08,386.38,35
2025-09-28,AAVE/USDC:USDC,277.07,386.38,36
2025-09-29,AAVE/USDC:USDC,280.35,386.38,37
2025-09-30,AAVE/USDC:USDC,279.15,386.38,38
2025-10-01,AAVE/USDC:USDC,288.19,386.38,39
2025-10-02,AAVE/USDC:USDC,294.68,386.38,40
2025-10-03,AAVE/USDC:USDC,299.79,386.38,41
2025-10-04,AAVE/USDC:USDC,292.19,386.38,42
2025-10-05,AAVE/USDC:USDC,296.42,386.38,43
2025-10-06,AAVE/USDC:USDC,302.1,386.38,44
2025-10-07,AAVE/USDC:USDC,298.31,386.38,45
2025-10-08,AAVE/USDC:USDC,287.18,386.38,46
2025-10-09,AAVE/USDC:USDC,286.57,386.38,47
2025-10-10,AAVE/USDC:USDC,279.42,386.38,48
2025-10-11,AAVE/USDC:USDC,244.28,386.38,49
2025-10-12,AAVE/USDC:USDC,256.3,386.38,50
2025-10-13,AAVE/USDC:USDC,263.01,386.38,51
2025-10-14,AAVE/USDC:USDC,263.38,386.38,52
2025-10-15,AAVE/USDC:USDC,262.55,386.38,53
2025-10-16,AAVE/USDC:USDC,246.26,386.38,54
2025-03-31,ACE/USDC:USDC,0.6267,0.6267,0
2025-04-01,ACE/USDC:USDC,0.6294,0.6294,0
2025-04-02,ACE/USDC:USDC,0.6034,0.6294,1
2025-04-03,ACE/USDC:USDC,0.5563,0.6294,2
2025-04-04,ACE/USDC:USDC,0.5433,0.6294,3
2025-04-05,ACE/USDC:USDC,0.5442,0.6294,4
2025-04-06,ACE/USDC:USDC,0.5262,0.6294,5
2025-04-07,ACE/USDC:USDC,0.501,0.6294,6
2025-04-08,ACE/USDC:USDC,0.493,0.6294,7
2025-04-09,ACE/USDC:USDC,0.5153,0.6294,8
2025-04-10,ACE/USDC:USDC,0.5083,0.6294,9
2025-04-11,ACE/USDC:USDC,0.5043,0.6294,10
2025-04-12,ACE/USDC:USDC,0.5234,0.6294,11
2025-04-13,ACE/USDC:USDC,0.5148,0.6294,12
2025-04-14,ACE/USDC:USDC,0.4726,0.6294,13
2025-04-15,ACE/USDC:USDC,0.4731,0.6294,14
2025-04-16,ACE/USDC:USDC,0.4547,0.6294,15
2025-04-17,ACE/USDC:USDC,0.4571,0.6294,16
2025-04-18,ACE/USDC:USDC,0.4788,0.6294,17
2025-04-19,ACE/USDC:USDC,0.5376,0.6294,18
2025-04-20,ACE/USDC:USDC,0.5732,0.6294,19
2025-04-21,ACE/USDC:USDC,0.7839,0.7839,0
2025-04-22,ACE/USDC:USDC,0.6738,0.7839,1
2025-04-23,ACE/USDC:USDC,0.656,0.7839,2
2025-04-24,ACE/USDC:USDC,0.6362,0.7839,3
2025-04-25,ACE/USDC:USDC,0.6527,0.7839,4
2025-04-26,ACE/USDC:USDC,0.6635,0.7839,5
2025-04-27,ACE/USDC:USDC,0.6475,0.7839,6
2025-04-28,ACE/USDC:USDC,0.634,0.7839,7
2025-04-29,ACE/USDC:USDC,0.648,0.7839,8
2025-04-30,ACE/USDC:USDC,0.7017,0.7839,9
2025-05-01,ACE/USDC:USDC,0.6896,0.7839,10
2025-05-02,ACE/USDC:USDC,0.6783,0.7839,11
2025-05-03,ACE/USDC:USDC,0.6929,0.7839,12
2025-05-04,ACE/USDC:USDC,0.6012,0.7839,13
2025-05-05,ACE/USDC:USDC,0.6289,0.7839,14
2025-05-06,ACE/USDC:USDC,0.5644,0.7839,15
2025-05-07,ACE/USDC:USDC,0.5462,0.7839,16
2025-05-08,ACE/USDC:USDC,0.6194,0.7839,17
2025-05-09,ACE/USDC:USDC,0.7074,0.7839,18
2025-05-10,ACE/USDC:USDC,0.8121,0.8121,0
2025-05-11,ACE/USDC:USDC,0.7696,0.8121,1
2025-05-12,ACE/USDC:USDC,0.8564,0.8564,0
2025-05-13,ACE/USDC:USDC,0.8108,0.8564,1
2025-05-14,ACE/USDC:USDC,0.8336,0.8564,2
2025-05-15,ACE/USDC:USDC,0.7796,0.8564,3
2025-05-16,ACE/USDC:USDC,0.7223,0.8564,4
2025-05-17,ACE/USDC:USDC,0.6807,0.8564,5
2025-05-18,ACE/USDC:USDC,0.7067,0.8564,6
2025-05-19,ACE/USDC:USDC,0.7044,0.8564,7
2025-05-20,ACE/USDC:USDC,0.6884,0.8564,8
2025-05-21,ACE/USDC:USDC,0.698,0.8564,9
2025-05-22,ACE/USDC:USDC,0.7733,0.8564,10
2025-05-23,ACE/USDC:USDC,0.7786,0.8564,11
2025-05-24,ACE/USDC:USDC,0.6812,0.8564,12
2025-05-25,ACE/USDC:USDC,0.6673,0.8564,13
2025-05-26,ACE/USDC:USDC,0.6801,0.8564,14
2025-05-27,ACE/USDC:USDC,0.6965,0.8564,15
2025-05-28,ACE/USDC:USDC,0.7031,0.8564,16
2025-05-29,ACE/USDC:USDC,0.6935,0.8564,17
2025-05-30,ACE/USDC:USDC,0.6302,0.8564,18
2025-05-31,ACE/USDC:USDC,0.5534,0.8564,19
2025-06-01,ACE/USDC:USDC,0.5746,0.8564,20
2025-06-02,ACE/USDC:USDC,0.5909,0.8564,21
2025-06-03,ACE/USDC:USDC,0.6075,0.8564,22
2025-06-04,ACE/USDC:USDC,0.6006,0.8564,23
2025-06-05,ACE/USDC:USDC,0.607,0.8564,24
2025-06-06,ACE/USDC:USDC,0.5625,0.8564,25
2025-06-07,ACE/USDC:USDC,0.5767,0.8564,26
2025-06-08,ACE/USDC:USDC,0.5795,0.8564,27
2025-06-09,ACE/USDC:USDC,0.6063,0.8564,28
2025-06-10,ACE/USDC:USDC,0.6266,0.8564,29
2025-06-11,ACE/USDC:USDC,0.624,0.8564,30
2025-06-12,ACE/USDC:USDC,0.6177,0.8564,31
2025-06-13,ACE/USDC:USDC,0.5613,0.8564,32
2025-06-14,ACE/USDC:USDC,0.5642,0.8564,33
2025-06-15,ACE/USDC:USDC,0.5779,0.8564,34
2025-06-16,ACE/USDC:USDC,0.6036,0.8564,35
2025-06-17,ACE/USDC:USDC,0.5683,0.8564,36
2025-06-18,ACE/USDC:USDC,0.5646,0.8564,37
2025-06-19,ACE/USDC:USDC,0.5555,0.8564,38
2025-06-20,ACE/USDC:USDC,0.5595,0.8564,39
2025-06-21,ACE/USDC:USDC,0.5137,0.8564,40
2025-06-22,ACE/USDC:USDC,0.4879,0.8564,41
2025-06-23,ACE/USDC:USDC,0.5075,0.8564,42
2025-06-24,ACE/USDC:USDC,0.5242,0.8564,43
2025-06-25,ACE/USDC:USDC,0.5209,0.8564,44
2025-06-26,ACE/USDC:USDC,0.517,0.8564,45
2025-06-27,ACE/USDC:USDC,0.5106,0.8564,46
2025-06-28,ACE/USDC:USDC,0.5194,0.8564,47
2025-06-29,ACE/USDC:USDC,0.5414,0.8564,48
2025-06-30,ACE/USDC:USDC,0.5455,0.8564,49
2025-07-01,ACE/USDC:USDC,0.5312,0.8564,50
2025-07-02,ACE/USDC:USDC,0.527,0.8564,51
2025-07-03,ACE/USDC:USDC,0.5311,0.8564,52
2025-07-04,ACE/USDC:USDC,0.5112,0.8564,53
2025-07-05,ACE/USDC:USDC,0.4776,0.8564,54
2025-07-06,ACE/USDC:USDC,0.4844,0.8564,55
2025-07-07,ACE/USDC:USDC,0.4858,0.8564,56
2025-07-08,ACE/USDC:USDC,0.4882,0.8564,57
2025-07-09,ACE/USDC:USDC,0.5054,0.8564,58
2025-07-10,ACE/USDC:USDC,0.5352,0.8564,59
2025-07-11,ACE/USDC:USDC,0.7665,0.8564,60
2025-07-12,ACE/USDC:USDC,0.6183,0.8564,61
2025-07-13,ACE/USDC:USDC,0.6233,0.8564,62
2025-07-14,ACE/USDC:USDC,0.5998,0.8564,63
2025-07-15,ACE/USDC:USDC,0.5859,0.8564,64
2025-07-16,ACE/USDC:USDC,0.5926,0.8564,65
2025-07-17,ACE/USDC:USDC,0.6029,0.8564,66
2025-07-18,ACE/USDC:USDC,0.6756,0.8564,67
2025-07-19,ACE/USDC:USDC,0.6632,0.8564,68
2025-07-20,ACE/USDC:USDC,0.6719,0.8564,69
2025-07-21,ACE/USDC:USDC,0.6796,0.8564,70
2025-07-22,ACE/USDC:USDC,0.661,0.8564,71
2025-07-23,ACE/USDC:USDC,0.6565,0.8564,72
2025-07-24,ACE/USDC:USDC,0.5864,0.8564,73
2025-07-25,ACE/USDC:USDC,0.5843,0.8564,74
2025-07-26,ACE/USDC:USDC,0.5912,0.8564,75
2025-07-27,ACE/USDC:USDC,0.6091,0.8564,76
2025-07-28,ACE/USDC:USDC,0.6293,0.8564,77
2025-07-29,ACE/USDC:USDC,0.6105,0.8564,78
2025-07-30,ACE/USDC:USDC,0.5719,0.8564,79
2025-07-31,ACE/USDC:USDC,0.5692,0.8564,80
2025-08-01,ACE/USDC:USDC,0.5257,0.8564,81
2025-08-02,ACE/USDC:USDC,0.5116,0.8564,82
2025-08-03,ACE/USDC:USDC,0.5171,0.8564,83
2025-08-04,ACE/USDC:USDC,0.5377,0.8564,84
2025-08-05,ACE/USDC:USDC,0.5476,0.8564,85
2025-08-06,ACE/USDC:USDC,0.5548,0.8564,86
2025-08-07,ACE/USDC:USDC,0.5725,0.8564,87
2025-08-08,ACE/USDC:USDC,0.584,0.8564,88
2025-08-09,ACE/USDC:USDC,0.612,0.8564,89
2025-08-10,ACE/USDC:USDC,0.6146,0.8564,90
2025-08-11,ACE/USDC:USDC,0.6063,0.8564,91
2025-08-12,ACE/USDC:USDC,0.5961,0.8564,92
2025-08-13,ACE/USDC:USDC,0.61,0.8564,93
2025-08-14,ACE/USDC:USDC,0.6097,0.8564,94
2025-08-15,ACE/USDC:USDC,0.5548,0.8564,95
2025-08-16,ACE/USDC:USDC,0.5667,0.8564,96
2025-08-17,ACE/USDC:USDC,0.5769,0.8564,97
2025-08-18,ACE/USDC:USDC,0.5619,0.8564,98
2025-08-19,ACE/USDC:USDC,0.5518,0.8564,99
2025-08-20,ACE/USDC:USDC,0.5535,0.8564,100
2025-08-21,ACE/USDC:USDC,0.5551,0.8564,101
2025-08-22,ACE/USDC:USDC,0.5899,0.8564,102
2025-08-23,ACE/USDC:USDC,0.5931,0.8564,103
2025-08-24,ACE/USDC:USDC,0.5913,0.8564,104
2025-08-25,ACE/USDC:USDC,0.5788,0.8564,105
2025-08-26,ACE/USDC:USDC,0.5408,0.8564,106
2025-08-27,ACE/USDC:USDC,0.5492,0.8564,107
2025-08-28,ACE/USDC:USDC,0.5569,0.8564,108
2025-08-29,ACE/USDC:USDC,0.5626,0.8564,109
2025-08-30,ACE/USDC:USDC,0.5353,0.8564,110
2025-08-31,ACE/USDC:USDC,0.5486,0.8564,111
2025-09-01,ACE/USDC:USDC,0.5263,0.8564,112
2025-09-02,ACE/USDC:USDC,0.5158,0.8564,113
2025-09-03,ACE/USDC:USDC,0.5153,0.8564,114
2025-09-04,ACE/USDC:USDC,0.5144,0.8564,115
2025-09-05,ACE/USDC:USDC,0.5075,0.8564,116
2025-09-06,ACE/USDC:USDC,0.4982,0.8564,117
2025-09-07,ACE/USDC:USDC,0.5022,0.8564,118
2025-09-08,ACE/USDC:USDC,0.5137,0.8564,119
2025-09-09,ACE/USDC:USDC,0.5401,0.8564,120
2025-09-10,ACE/USDC:USDC,0.6045,0.8564,121
2025-09-11,ACE/USDC:USDC,0.9495,0.9495,0
2025-09-12,ACE/USDC:USDC,0.6801,0.9495,1
2025-09-13,ACE/USDC:USDC,0.7937,0.9495,2
2025-09-14,ACE/USDC:USDC,0.7542,0.9495,3
2025-09-15,ACE/USDC:USDC,0.6889,0.9495,4
2025-09-16,ACE/USDC:USDC,0.6119,0.9495,5
2025-09-17,ACE/USDC:USDC,0.6208,0.9495,6
2025-09-18,ACE/USDC:USDC,0.6212,0.9495,7
2025-09-19,ACE/USDC:USDC,0.6113,0.9495,8
2025-09-20,ACE/USDC:USDC,0.5873,0.9495,9
2025-09-21,ACE/USDC:USDC,0.5847,0.9495,10
2025-09-22,ACE/USDC:USDC,0.5679,0.9495,11
2025-09-23,ACE/USDC:USDC,0.5017,0.9495,12
2025-09-24,ACE/USDC:USDC,0.4943,0.9495,13
2025-09-25,ACE/USDC:USDC,0.4909,0.9495,14
2025-09-26,ACE/USDC:USDC,0.4656,0.9495,15
2025-09-27,ACE/USDC:USDC,0.4715,0.9495,16
2025-09-28,ACE/USDC:USDC,0.4745,0.9495,17
2025-09-29,ACE/USDC:USDC,0.4744,0.9495,18
2025-09-30,ACE/USDC:USDC,0.4606,0.9495,19
2025-10-01,ACE/USDC:USDC,0.4689,0.9495,20
2025-10-02,ACE/USDC:USDC,0.4917,0.9495,21
2025-10-03,ACE/USDC:USDC,0.4944,0.9495,22
2025-10-04,ACE/USDC:USDC,0.4906,0.9495,23
2025-10-05,ACE/USDC:USDC,0.4847,0.9495,24
2025-10-06,ACE/USDC:USDC,0.4844,0.9495,25
2025-10-07,ACE/USDC:USDC,0.4795,0.9495,26
2025-10-08,ACE/USDC:USDC,0.4446,0.9495,27
2025-10-09,ACE/USDC:USDC,0.5457,0.9495,28
2025-10-10,ACE/USDC:USDC,0.4912,0.9495,29
2025-10-11,ACE/USDC:USDC,0.3234,0.9495,30
2025-10-12,ACE/USDC:USDC,0.3319,0.9495,31
2025-10-13,ACE/USDC:USDC,0.38,0.9495,32
2025-10-14,ACE/USDC:USDC,0.3646,0.9495,33
2025-10-15,ACE/USDC:USDC,0.3582,0.9495,34
2025-10-16,ACE/USDC:USDC,0.3305,0.9495,35
2025-03-31,ADA/USDC:USDC,0.66505,0.66505,0
2025-04-01,ADA/USDC:USDC,0.69385,0.69385,0
2025-04-02,ADA/USDC:USDC,0.70883,0.70883,0
2025-04-03,ADA/USDC:USDC,0.65695,0.70883,1
2025-04-04,ADA/USDC:USDC,0.67132,0.70883,2
2025-04-05,ADA/USDC:USDC,0.66663,0.70883,3
2025-04-06,ADA/USDC:USDC,0.65449,0.70883,4
2025-04-07,ADA/USDC:USDC,0.60393,0.70883,5
2025-04-08,ADA/USDC:USDC,0.61884,0.70883,6
2025-04-09,ADA/USDC:USDC,0.64627,0.70883,7
2025-04-10,ADA/USDC:USDC,0.63358,0.70883,8
2025-04-11,ADA/USDC:USDC,0.645,0.70883,9
2025-04-12,ADA/USDC:USDC,0.6669,0.70883,10
