symbol,type,base,quote,last_price,base_volume_24h,notional_volume_24h,bid,ask,high_24h,low_24h,change_24h,percentage_24h,active
UDZ/USDC,spot,UDZ,USDC,0.493835,0,194736.7830827001,,,,,,,True
RSR/USDC:USDC,swap,RSR,USDC,0.006448,0,193285.724064,0.006445,0.006452,,,,,True
ALT/USDC:USDC,swap,ALT,USDC,0.030475,0,188569.7096700001,0.030454,0.030497,,,,,True
UPHL/USDC,spot,UPHL,USDC,0.024376,0,188427.09461714,,,,,,,True
SAND/USDC:USDC,swap,SAND,USDC,0.28441,0,185853.3786800001,0.284357,0.284501,,,,,True
USUAL/USDC:USDC,swap,USUAL,USDC,0.05458,0,185525.9420539999,0.05455,0.05462,,,,,True
MOVE/USDC:USDC,swap,MOVE,USDC,0.116385,0,177127.23955,0.116332,0.116463,,,,,True
DYM/USDC:USDC,swap,DYM,USDC,0.18471,0,172514.4249480001,0.18452,0.18476,,,,,True
LAYER/USDC:USDC,swap,LAYER,USDC,0.41529,0,171550.50658,0.415179,0.415444,,,,,True
BLUR/USDC:USDC,swap,BLUR,USDC,0.076841,0,167529.7886909999,0.076814,0.076908,,,,,True
GALA/USDC:USDC,swap,GALA,USDC,0.016318,0,165344.5034149999,0.016309,0.016325,,,,,True
COMP/USDC:USDC,swap,COMP,USDC,43.561,0,162335.59632,43.541,43.5793,,,,,True
BOME/USDC:USDC,swap,BOME,USDC,0.00179,0,161677.265628,0.001789,0.001791,,,,,True
AR/USDC:USDC,swap,AR,USDC,6.0627,0,154119.280376,6.061,6.0672,,,,,True
UMA/USDC:USDC,swap,UMA,USDC,1.25225,0,153943.39895,1.25181,1.25319,,,,,True
TRB/USDC:USDC,swap,TRB,USDC,34.38,0,151270.78311,34.3684,34.3887,,,,,True
SOPH/USDC:USDC,swap,SOPH,USDC,0.02966,0,150491.71319,0.029648,0.029677,,,,,True
CFX/USDC:USDC,swap,CFX,USDC,0.14846,0,143130.88008,0.148371,0.14849,,,,,True
DYDX/USDC:USDC,swap,DYDX,USDC,0.62472,0,140009.746058,0.62425,0.6252,,,,,True
UETH/USDH,spot,UETH,USDH,4678.35,0,132641.92499,,,,,,,True
MAV/USDC:USDC,swap,MAV,USDC,0.057815,0,130208.3656669999,0.057721,0.057889,,,,,True
ME/USDC:USDC,swap,ME,USDC,0.6176,0,127048.855954,0.61741,0.61795,,,,,True
