period,start_date,end_date,days,years,bucket,bucket_label,num_coins,total_in_bucket,mcap_min,mcap_max,mcap_median,mean_return,median_return,annualized_return,return_std,sharpe_ratio,annualized_sharpe,win_rate,min_return,max_return,top_3,bottom_3
2022-2023,2022-01-02,2023-01-01,364,0.9965776865160849,3,Mid-2,7,27,1140708883.448128,2352796204.102855,1755295767.2286572,-0.5376785242177246,-0.6674239027643323,-0.5389017609737876,0.22617293644535966,-2.37728939928947,-2.3813677851995245,0.0,-0.7574958076980428,-0.06156397857934326,"OKB (-6.2%), QNT (-43.5%), HT (-45.6%)","ZEC (-75.7%), KCS (-71.1%), CHZ (-67.5%)"
2022-2023,2022-01-02,2023-01-01,364,0.9965776865160849,4,Mid-3,15,28,2421121386.8886414,5582232198.713801,3568587879.5802584,-0.7506317408725444,-0.8459489154650089,-0.7518182250394745,0.2372201861149471,-3.1642827415573276,-3.1697112628608144,0.0,-0.9997798342364865,-0.06760682625859699,"LEO (-6.8%), XMR (-37.9%), ETC (-55.4%)","BTT (-100.0%), SAND (-93.4%), FLOW (-92.9%)"
2022-2023,2022-01-02,2023-01-01,364,0.9965776865160849,5,Small,27,28,5602487249.73674,895688387523.1361,11872028466.906315,-0.7566855246018069,-0.7614571092831962,-0.7578636412255173,0.1522999823720606,-4.968388786502057,-4.976912362482583,0.0,-0.9434062143159947,-0.29520985375066455,"TRX (-29.5%), LTC (-53.2%), BNB (-54.1%)","SOL (-94.3%), AXS (-93.5%), FTM (-91.9%)"
2023-2024,2023-01-01,2024-01-07,371,1.0157426420260096,1,Large,9,11,501543038.13087046,662828803.1349963,590853723.4488012,0.6019789546084959,0.4157100394090153,0.5903213952379953,0.695238544763388,0.8658595803450004,0.8591235502942989,0.8888888888888888,-0.0935524217646145,2.406883894277682,"MKR (+240.7%), FTM (+89.4%), BTT (+66.1%)","CAKE (-9.4%), AXS (+18.4%), SAND (+20.7%)"
2023-2024,2023-01-01,2024-01-07,371,1.0157426420260096,2,Mid-1,9,11,671787229.0331781,957314615.2443488,784932502.1985623,0.34538972785595123,0.42219651567263256,0.33921756080360765,0.47280143388438944,0.7305175134904662,0.7248343888416925,0.6666666666666666,-0.2545333333333333,0.9747822703125097,"HBAR (+97.5%), BSV (+87.4%), AAVE (+82.3%)","LUNC (-25.5%), CHZ (-25.4%), EOS (-20.1%)"
2023-2024,2023-01-01,2024-01-07,371,1.0157426420260096,3,Mid-2,10,10,1076948379.2090197,1868535141.950397,1271943542.8630533,0.7218005660333746,0.7955016081540169,0.7073612879547666,0.7193731689465379,1.0033743225235818,0.9955684845539562,0.9,-0.646287471212858,1.8020683529426997,"ICP (+180.2%), NEAR (+151.5%), BCH (+139.5%)","APE (-64.6%), ALGO (+0.3%), QNT (+6.6%)"
2023-2024,2023-01-01,2024-01-07,371,1.0157426420260096,4,Mid-3,10,11,1893577776.7076983,3998664734.407035,2856200812.197638,1.239863084248414,0.18192854032213235,1.2120427264398113,2.3310997670096425,0.5318790305740206,0.527741231311169,0.7,-0.041052216703427895,7.943578668111847,"SOL (+794.4%), AVAX (+209.5%), LINK (+133.7%)","TON (-4.1%), XMR (-1.7%), ATOM (-0.6%)"
2023-2024,2023-01-01,2024-01-07,371,1.0157426420260096,5,Small,11,11,4460494919.938469,320025834692.39905,8621727158.3239,0.543859693136564,0.5776991263096353,0.5335031121740341,0.49733250605056184,1.0935534808602918,1.0850460862707567,0.9090909090909091,-0.09260933325265203,1.6431810116609233,"BTC (+164.3%), ADA (+97.9%), TRX (+87.7%)","LTC (-9.3%), MATIC (+5.4%), SHIB (+11.1%)"
2024-2025,2024-01-07,2025-01-05,364,0.9965776865160849,1,Large,16,21,501992788.0387301,675062958.5591526,552729569.6646273,0.523922714624466,0.25826440923263766,0.5261290147401716,0.7149674564853801,0.7327923947754948,0.7340495451160217,0.8125,-0.36912165290066173,2.3401360544217686,"BONK (+234.0%), FET (+159.0%), AR (+144.4%)","BLUR (-36.9%), AXL (-33.1%), APE (-1.2%)"
2024-2025,2024-01-07,2025-01-05,364,0.9965776865160849,2,Mid-1,15,20,687519714.0324515,964581881.3613008,804627250.5511785,1.2100366408873628,0.2846649217339306,1.2160633155982512,2.4251790801237516,0.49894733580895695,0.49980331059470695,0.8,-0.24526509483294923,8.771748861437983,"BGB (+877.2%), SUI (+554.9%), XDC (+93.8%)","KAVA (-24.5%), ROSE (-18.8%), CAKE (-1.7%)"
2024-2025,2024-01-07,2025-01-05,364,0.9965776865160849,3,Mid-2,18,20,987162924.5150214,1608034670.8559506,1354375917.0315099,0.29316163536404843,0.056300698467053156,0.29430382580177117,0.7926741970858939,0.3698387514590456,0.3704732325421622,0.5555555555555556,-0.5648265719750973,2.60130649101528,"AAVE (+260.1%), THETA (+135.3%), ALGO (+127.6%)","ORDI (-56.5%), MINA (-38.8%), SNX (-33.9%)"
2024-2025,2024-01-07,2025-01-05,364,0.9965776865160849,4,Mid-3,20,20,1838905572.41262,3259659946.8074923,2569257863.383168,0.43023251770702053,0.11085302431157527,0.43199111914753385,0.9628074625593004,0.4468520804392104,0.44761868261616305,0.6,-0.6133250624827226,3.0062069648685075,"HBAR (+300.6%), XLM (+282.4%), MNT (+136.7%)","TIA (-61.3%), ARB (-46.7%), OP (-34.1%)"
2024-2025,2024-01-07,2025-01-05,364,0.9965776865160849,5,Small,20,20,3590941207.464044,860951836726.2927,8190582906.820145,1.158023140188853,1.225021268632072,1.163731003047487,1.021424140808777,1.1337338661997112,1.1356788562489002,0.9,-0.3555211871162703,3.8905769911993153,"DOGE (+389.1%), XRP (+334.9%), SHIB (+165.3%)","MATIC (-35.6%), ATOM (-21.9%), ICP (+7.6%)"
