date,portfolio_value,returns,cummax,drawdown,strategy
2025-04-02,26876.212742026164,-0.004854163309214288,111318.09666228008,-0.7585638494739632,Long Low Volume / Short High Volume
2025-04-03,26861.019243185234,-0.0005653139818011521,111318.09666228008,-0.7587003367055678,Long Low Volume / Short High Volume
2025-04-04,26833.53767274243,-0.0010231022953373081,111318.09666228008,-0.7589472109449485,Long Low Volume / Short High Volume
2025-04-05,26769.321024908273,-0.0023931487758838133,111318.09666228008,-0.759524086131999,Long Low Volume / Short High Volume
2025-04-06,26589.87529557989,-0.0067034098160881905,111318.09666228008,-0.7611360947335546,Long Low Volume / Short High Volume
2025-04-07,26750.579841199822,0.006043824720255442,111318.09666228008,-0.7596924431581284,Long Low Volume / Short High Volume
2025-04-08,26737.234430491822,-0.0004988830443012349,111318.09666228008,-0.7598123285236543,Long Low Volume / Short High Volume
2025-04-09,26638.03057950929,-0.003710325809515913,111318.09666228008,-0.7607035030402606,Long Low Volume / Short High Volume
2025-04-10,26795.288601660628,0.005903515339918064,111318.09666228008,-0.7592908124996701,Long Low Volume / Short High Volume
2025-04-11,27103.20413228171,0.011491405642184427,111318.09666228008,-0.7565247255843032,Long Low Volume / Short High Volume
2025-04-12,27197.398301229092,0.0034753886842180393,111318.09666228008,-0.7556785543707119,Long Low Volume / Short High Volume
2025-04-13,27202.10761505757,0.00017315310002508078,111318.09666228008,-0.7556362493549986,Long Low Volume / Short High Volume
2025-04-14,27018.9105169796,-0.006734665588065014,111318.09666228008,-0.7572819574974381,Long Low Volume / Short High Volume
2025-04-15,26997.08613985846,-0.0008077445279454087,111318.09666228008,-0.7574780116681031,Long Low Volume / Short High Volume
2025-04-16,26959.385279764098,-0.0013964788606835032,111318.09666228008,-0.7578166884980595,Long Low Volume / Short High Volume
2025-04-17,27031.317880693914,0.0026681840176752125,111318.09666228008,-0.7571704988569624,Long Low Volume / Short High Volume
2025-04-18,27156.664508576672,0.004637089040053111,111318.09666228008,-0.7560444768386104,Long Low Volume / Short High Volume
2025-04-19,27724.99371380946,0.02092779859077676,111318.09666228008,-0.7509390247847814,Long Low Volume / Short High Volume
2025-04-20,27787.665991218182,0.0022604974434135006,111318.09666228008,-0.7503760230870532,Long Low Volume / Short High Volume
2025-04-21,27484.973264438686,-0.010893060499401308,111318.09666228008,-0.7530951921696671,Long Low Volume / Short High Volume
2025-04-22,28193.377040409647,0.025774221031807487,111318.09666228008,-0.7467314130788322,Long Low Volume / Short High Volume
2025-04-23,28052.25474278665,-0.005005512373374987,111318.09666228008,-0.7479991521244532,Long Low Volume / Short High Volume
2025-04-24,28688.323697630018,0.022674432436021075,111318.09666228008,-0.7422851759254792,Long Low Volume / Short High Volume
2025-04-25,29404.084343357245,0.024949545789821004,111318.09666228008,-0.7358553081215162,Long Low Volume / Short High Volume
