rebalance_date,symbol,decile,dilution_velocity,rank,volatility,period_return,n_days
2024-04-01,XRP,5,3.0982177775143436,6,0.6927992405676863,-0.15467543515246673,30
2024-04-01,JASMY,6,3.4529091939530234,100,1.920998679705387,-0.19126213592233032,30
2024-04-01,XLM,6,4.079927218350624,34,0.6646120395104947,-0.181472221607629,30
2024-04-01,ZEN,6,5.265616217798598,195,1.3235610588752205,-0.40311173974540304,30
2024-04-01,AVAX,7,6.513755985262961,10,0.9585127839232805,-0.3527237354085605,30
2024-04-01,LINK,7,6.985655737704918,15,0.7770662121764024,-0.2745087365957217,30
2024-04-01,HNT,8,7.581124038844411,106,1.2193667787147358,-0.12229588276343328,30
2024-04-01,ALGO,8,8.541814501486009,60,0.8897974380281285,-0.2825308396339037,30
2024-04-01,SUI,8,9.192656924727483,52,1.2867999898654605,-0.40801692117210053,30
2024-04-01,CRV,9,11.815799822382512,119,0.957535464075202,-0.36280487804878025,30
2024-04-01,OP,9,16.06254060394856,40,0.9021395051073109,-0.20223144042340113,30
2024-04-01,BONK,9,19.66260444777048,66,1.8551063194276296,-0.1102056655025222,30
2024-04-01,SNX,10,20.198289529923965,77,0.9460977774348532,-0.3991834883193466,30
2024-04-01,APE,10,23.581785742008204,93,0.8924423271293508,-0.3780474878100487,30
2024-04-01,IMX,10,25.390683515353228,31,0.97060371528503,-0.3013055190992614,30
2024-05-01,SHIB,1,-0.04329109774342839,11,1.8156347144053457,0.11533362792752944,31
2024-05-01,ZEC,1,0.0,172,0.898243605978642,0.21592442645074206,31
2024-05-01,QNT,1,0.0,67,0.7500240026251057,-0.10374753451676555,31
2024-05-01,STRK,2,0.0,84,1.1873110280527552,-0.07795275590551154,31
2024-05-01,VET,2,0.2340531741355979,43,1.0350767968064343,-0.04319408922989465,31
2024-05-01,FET,2,0.9882519012101565,55,1.6037693408517497,0.04756697648988539,31
2024-05-01,CRO,3,1.305865555221309,29,0.877815523829274,-0.122352941176471,31
2024-05-01,BCH,3,1.5201523467993807,15,1.5489634493452924,0.09207269641468097,31
2024-05-01,BTC,3,1.5733740144418416,1,0.6132496351794889,0.16225185396732478,31
2024-05-01,ADA,4,1.8455686799703992,10,0.8148020568213106,-0.001064404233617644,31
2024-05-01,LTC,4,1.9679655941965806,20,0.9047752840210351,0.042223610243597554,31
2024-05-01,DASH,5,2.7411921963001813,179,0.8476951073459114,0.04898530440867788,31
2024-05-01,ETC,5,2.8967963738275038,26,0.8706334520344261,0.1575235109717874,31
2024-05-01,JASMY,5,3.4529091939530234,93,1.9238867560129562,1.1536614645858347,31
2024-05-01,XRP,6,3.6009718492909837,7,0.7519243306659776,0.0030383372360802685,31
2024-05-01,XLM,6,4.272802201971393,30,0.7168302945386774,-0.04196963553633393,31
2024-05-01,ZEN,6,6.19493543474636,195,1.367261310662511,0.12085308056872002,31
2024-05-01,LINK,7,6.985655737704918,16,0.7924314893565534,0.38242797118847593,31
2024-05-01,AVAX,7,7.093144391919643,12,1.0155355512566335,0.07394048692515742,31
2024-05-01,HNT,8,7.581124038844411,96,1.134102707248495,-0.18226992645597306,31
2024-05-01,ALGO,8,8.985216045788242,61,0.9575092601807133,0.04270660011092686,31
2024-05-01,CRV,8,12.819588818015008,128,1.0206534990320013,0.12679425837320646,31
2024-05-01,BONK,9,14.787578551629037,59,1.9534875530505247,0.4426515481901434,31
2024-05-01,OP,9,16.974255595390577,38,1.0403013792748825,-0.11321093021587902,31
2024-05-01,SUI,9,19.744469141337397,40,0.9998326591414758,-0.10701525054466243,31
2024-05-01,SNX,10,20.243691357477683,90,1.0070796897345324,0.0932427331068324,31
2024-05-01,APE,10,23.581785742008204,103,0.9825548740425657,0.09850873455475062,31
2024-05-01,IMX,10,27.076985632668812,34,1.0350013506807443,0.09614434008897699,31
2024-06-01,SHIB,1,-0.013179145104816447,11,1.583306225129448,-0.32329635499207576,30
2024-06-01,VET,1,0.0,48,0.8183535589907772,-0.20493020493020464,30
2024-06-01,ZEC,1,0.0,159,0.787198363133496,-0.2323344432112472,30
2024-06-01,QNT,2,0.0,80,0.7448875914344504,-0.11894806338028174,30
2024-06-01,FET,2,1.044671214069357,59,1.4531474479545246,-0.3873600303662935,30
2024-06-01,CRO,2,1.305865555221309,37,0.7696081912258682,-0.1814119749776587,30
2024-06-01,BCH,3,1.452954021516398,16,1.0169852072206345,-0.1707353925187246,30
2024-06-01,BTC,3,1.503384396955491,1,0.6210380342422958,-0.07219744920538873,30
2024-06-01,ADA,3,1.8140601274591035,9,0.7783762516602805,-0.10361971624200894,30
2024-06-01,LTC,4,1.833583905015387,20,0.8682635286039243,-0.10943305765312261,30
2024-06-01,DASH,4,2.7268496887193026,194,0.7791152967517636,-0.19946631087391598,30
2024-06-01,ETC,5,2.8937345594535953,25,0.9115990100631501,-0.21394719025050768,30
2024-06-01,JASMY,5,3.4529091939530234,60,1.1800484799569864,-0.21348940914158276,30
2024-06-01,XRP,5,3.4598684912459,7,0.7308763803880648,-0.08039745321242531,30
2024-06-01,XLM,6,4.329744553206683,36,0.7007774328170443,-0.1397105156733477,30
2024-06-01,ZEN,6,6.200779298399713,195,1.0276954061656156,-0.244186046511628,30
2024-06-01,AVAX,6,6.845761512974243,12,1.0460225185263494,-0.19451441365799027,30
2024-06-01,LINK,7,6.985655737704918,13,0.8080809533302054,-0.2227951153324288,30
2024-06-01,HNT,7,7.581124038844411,121,1.1095667205488948,-0.1438988818667961,30
2024-06-01,ALGO,8,9.262324067204135,64,0.9424887718800882,-0.21808510638297873,30
2024-06-01,OP,8,10.276884735002728,43,1.0661237627349327,-0.29143920093816955,30
2024-06-01,CRV,8,13.269540493603715,128,1.014352130940459,-0.4012738853503187,30
2024-06-01,STRK,9,16.376031391304352,73,1.1346290233638943,-0.44321093082835183,30
2024-06-01,BONK,9,17.860964770215222,51,1.8847398857827284,-0.2270253929866991,30
2024-06-01,SUI,9,18.939810845066166,47,0.9870812739126235,-0.2088416121791744,30
2024-06-01,SNX,10,19.80712864351459,90,1.0311032328938223,-0.3107734806629835,30
2024-06-01,APE,10,23.581785742008204,105,0.9093261568426005,-0.29516717089442257,30
2024-06-01,IMX,10,28.350878336562246,29,1.0482124121330347,-0.28974069898534394,30
2024-07-01,SHIB,1,-0.01305276045102392,13,0.8263140973220647,-0.07494145199063196,31
2024-07-01,QNT,1,0.0,71,0.5970381536496286,-0.13450730610715633,31
2024-07-01,ZEC,1,0.0,159,0.6963806494071706,0.5628915662650611,31
2024-07-01,CRO,2,1.305865555221309,39,0.5575832510936527,-0.045851528384279194,31
2024-07-01,BCH,2,1.3780780091236968,16,0.7765767293309451,0.07475467867461427,31
2024-07-01,BTC,2,1.4349107142857263,1,0.4780701601738689,0.03912215365462446,31
2024-07-01,JASMY,3,1.6965157513300957,61,1.18699737995763,0.014528703047483882,31
2024-07-01,LTC,3,1.7040433544201563,18,0.5869505598842784,-0.06446837146702555,31
2024-07-01,ADA,3,1.7966456003150832,10,0.6280069010507704,-0.026052407576987346,31
2024-07-01,DASH,4,2.7153829952012494,182,0.6637455138960284,0.07166666666666655,31
2024-07-01,ETC,4,2.860247894197036,26,0.791234973162161,-0.07278208440999112,31
2024-07-01,XRP,5,3.4270009690245926,7,0.50808617461363,0.2500891676982149,31
2024-07-01,XLM,5,4.276353561503567,32,0.4958318395838802,0.08463792198705611,31
2024-07-01,ZEN,5,6.20345238095239,195,0.8193947915030424,0.3552447552447544,31
2024-07-01,AVAX,6,6.809459150167133,11,0.8885709277198744,-0.10597637248088987,31
2024-07-01,LINK,6,6.985655737704904,15,0.7586322136258021,-0.10104748603351965,31
2024-07-01,HNT,6,7.581124038844411,115,1.0922937225701514,0.48779102782509876,31
2024-07-01,ALGO,7,7.980184433334181,63,0.7932625163686317,-0.08367346938775533,31
2024-07-01,VET,7,9.518309065389294,43,0.7254131765775976,-0.01568920433320875,31
2024-07-01,OP,8,11.086371375465399,48,1.000703156456682,-0.10438306129437269,31
2024-07-01,CRV,8,12.541469361194958,154,0.95716479816885,0.0177304964539009,31
2024-07-01,BONK,8,16.739871884899078,52,1.5214485642423923,-0.021900664841611572,31
2024-07-01,SNX,9,18.607608009238966,103,0.8837174374628868,-0.18486973947895824,31
2024-07-01,SUI,9,19.256562960819725,46,0.9123192876248365,-0.1420994202541015,31
2024-07-01,STRK,9,21.919206093258197,73,0.9520159391178584,-0.2852760736196315,31
2024-07-01,IMX,10,23.326605225630903,41,0.9735520318453512,-0.1274920634920631,31
2024-07-01,APE,10,23.581785742008204,119,0.8894901327003636,-0.20768214836011467,31
2024-07-01,FET,10,62.34664090287527,27,1.3190097670292895,-0.11493184634448583,31
2024-08-01,SHIB,1,-0.012931286280982713,13,0.8110514268073635,-0.16645569620253142,31
2024-08-01,ZRO,1,0.0,127,1.7919014492671594,-0.09230021860578075,31
2024-08-01,QNT,1,0.0,78,0.5193775267772228,-0.12467532467532494,31
2024-08-01,ZEC,2,0.0,112,0.8009206170638973,-0.09312365094048725,31
2024-08-01,JASMY,2,0.9380731283792708,55,1.310733643198346,-0.36465246245197325,31
2024-08-01,CRO,2,1.305865555221309,36,0.4645656649059014,-0.10068649885583458,31
2024-08-01,BCH,3,1.313745822355567,14,0.6934095538845148,-0.24264367537720055,31
2024-08-01,BTC,3,1.3734321916471213,1,0.4515038071322961,-0.122367938576324,31
2024-08-01,LTC,3,1.571131749716791,20,0.5054342096997569,-0.08545533016832085,31
2024-08-01,ADA,4,2.0079549083807184,10,0.5901431850458704,-0.15448747512478989,31
2024-08-01,DASH,4,2.6977872562495193,159,0.5825109666034538,-0.1162519440124421,31
2024-08-01,ETC,4,2.7876778083749385,26,0.6626780976597012,-0.18021365536460743,31
2024-08-01,XRP,5,3.2986590298340186,6,0.5741952747298444,-0.08121444036050585,31
2024-08-01,XLM,5,4.111813751212494,28,0.5070673971500128,-0.09271876952849434,31
2024-08-01,ALGO,6,4.189483311809335,67,0.6682989622243919,-0.11952487008166268,31
2024-08-01,ZEN,6,6.206363070843118,195,1.028361787164257,-0.26934984520123817,31
2024-08-01,AVAX,6,6.802649760388846,12,0.8039203025478502,-0.16867469879518104,31
2024-08-01,LINK,7,6.985655737704904,16,0.7184019176052755,-0.1945933348869726,31
2024-08-01,HNT,7,7.581124038844411,74,0.9760462492511952,0.374618320610687,31
2024-08-01,VET,7,9.518309065389294,41,0.6686498103097143,-0.20796963946869107,31
2024-08-01,CRV,8,9.815062017560184,148,0.9958351729751932,-0.07665505226480929,31
2024-08-01,OP,8,10.94123873574331,47,0.8811145364535048,-0.13413623908749073,31
2024-08-01,BONK,8,15.85936395999153,51,1.307460049428095,-0.3414634146341461,31
2024-08-01,SNX,9,17.520777758748576,113,0.8286152932340953,-0.22433927473878312,31
2024-08-01,SUI,9,18.690859773117,48,0.830560678661396,0.09086987778576505,31
2024-08-01,STRK,9,21.2935769470098,82,0.945629494895067,-0.2339055793991418,31
2024-08-01,IMX,10,22.87612660606331,43,0.9115153715014269,-0.06272740503565699,31
2024-08-01,APE,10,23.581785742008204,133,0.7866438210913519,-0.21016807889984745,31
2024-08-01,FET,10,62.34197578585916,30,1.226169539444245,-0.0029751487574383173,31
2024-09-01,SHIB,1,-0.013045194483395627,13,0.8012440981723041,0.24677296886864064,30
2024-09-01,ZRO,1,0.0,119,1.6185015143012897,0.17018999197217077,30
2024-09-01,QNT,1,0.0,77,0.5810299279614515,0.13204747774480752,30
2024-09-01,ZEC,2,0.0,106,0.9068622453768299,-0.09384563073784413,30
2024-09-01,RENDER,2,0.0021034234463175746,40,1.0550183657184817,0.20538860103626844,30
2024-09-01,JASMY,2,0.7983600136251718,64,1.2484645126475822,0.09840571742715798,30
2024-09-01,BCH,3,1.2467405530347118,15,0.7742190735085738,0.016276541314914406,30
2024-09-01,BTC,3,1.3046258587041355,1,0.5217040139112434,0.06092601965130329,30
2024-09-01,CRO,3,1.305865555221309,34,0.570823456020752,0.016539440203562572,30
2024-09-01,LTC,4,1.568941306077195,19,0.5976951450814706,-0.0026742173981438855,30
2024-09-01,ADA,4,1.9622631266966193,11,0.6831164302786263,0.06013639555313155,30
2024-09-01,DASH,4,2.6725378688094144,153,0.606696032625795,-0.005719313682358673,30
2024-09-01,ETC,5,2.7452710411401036,31,0.6005288098151571,0.04305949008498611,30
2024-09-01,XRP,5,3.267154831180331,7,0.7396139554786726,0.09042086804033289,30
2024-09-01,ALGO,5,3.984207179036833,59,0.7205321172526893,0.051433389544688124,30
2024-09-01,XLM,6,4.10425372624645,30,0.5660183849969541,0.04268177525967953,30
2024-09-01,ZEN,6,6.208867739403486,195,1.094117017157707,0.07062146892655274,30
2024-09-01,LINK,6,6.985655737704904,14,0.8007228218837052,0.062403549382716195,30
2024-09-01,AVAX,7,7.1720307988857295,12,0.8731069545505247,0.20710612435717657,30
2024-09-01,HNT,7,7.581124038844411,54,1.2416861264355488,0.052755796196029214,30
2024-09-01,OP,7,9.040393342586524,47,0.9895448561790007,0.22600824256697072,30
2024-09-01,VET,8,9.518309065389294,44,0.7400617174951409,0.08624820316243453,30
2024-09-01,CRV,8,9.834639657068406,147,1.2008818175218456,-0.01886792452830177,30
2024-09-01,BONK,8,15.596192443369974,55,1.2341015316181367,0.4480874316939889,30
2024-09-01,SNX,9,17.101730249730412,118,0.9051868656915881,0.12044374009508729,30
2024-09-01,SUI,9,18.843169405927092,35,1.30612702657734,1.3184394358771567,30
2024-09-01,STRK,9,20.878757621779894,85,1.066954292543723,0.08683473389355711,30
2024-09-01,IMX,10,22.425647963542787,36,0.9675215152696577,0.20822981366459548,30
2024-09-01,APE,10,23.581785742008204,138,0.8837747935709543,0.1997889553288783,30
2024-09-01,FET,10,62.43542047471717,28,1.3779632971534,0.3041074249605056,30
2024-10-01,ADA,1,-0.3985853806109931,11,0.7218166262577707,0.015884747458667636,31
2024-10-01,SHIB,1,-0.01344762126869209,13,0.9356400423810204,0.0712545676004872,31
2024-10-01,QNT,1,0.0,75,0.7073046555306269,-0.15261395077908835,31
2024-10-01,ZRO,2,0.0,119,1.3789693532084648,-0.25474502629773654,31
2024-10-01,ZEC,2,0.0,129,0.8977515967107116,0.4270168855534715,31
2024-10-01,JASMY,2,0.9081346037891057,68,1.129891529441463,-0.12312312312312323,31
2024-10-01,BCH,3,1.1802401993071672,15,0.7631976079635082,0.09961926937478305,31
2024-10-01,BTC,3,1.2370883489461326,1,0.5479683510604014,0.1427420628392826,31
2024-10-01,CRO,3,1.305865555221309,40,0.5690582938182145,-0.08260325406758473,31
2024-10-01,LTC,4,1.5689262438694267,21,0.6045057706165387,0.10788643533122921,31
2024-10-01,DASH,4,2.610746638518883,175,0.5808039428252305,-0.011946902654867197,31
2024-10-01,ETC,4,2.6879353198187683,33,0.6006940862140849,0.0021727322107552016,31
2024-10-01,XRP,5,3.2450124341147544,7,0.7656081002550469,-0.14101919790933737,31
2024-10-01,XLM,5,3.8147207942759813,32,0.5536585099341342,-0.008342478451261015,31
2024-10-01,ALGO,5,4.388233875325948,65,0.7108800892704954,-0.08019246190858031,31
2024-10-01,ZEN,6,6.2136694964871335,195,1.0555618711290702,-0.03509234828496033,31
2024-10-01,LINK,6,6.985655737704918,14,0.812226321347745,0.020789832047207968,31
2024-10-01,AVAX,6,7.272046450748494,12,0.8927681605562193,-0.04027885360185901,31
2024-10-01,VET,7,9.518309065389294,48,0.7325898624529735,-0.08734009704455203,31
2024-10-01,OP,7,10.60817614312238,42,1.015859964918161,-0.08788042499549831,31
2024-10-01,CRV,7,10.740918650577811,160,1.1304449713608653,-0.046153846153846434,31
2024-10-01,HNT,8,11.875754053217713,58,1.241929632798316,-0.17117235922458118,31
2024-10-01,BONK,8,14.975656768268731,50,1.1498074201644573,-0.19454926624737956,31
2024-10-01,SNX,8,16.796484853217354,121,0.9484878569423373,-0.019801980198019375,31
2024-10-01,SUI,9,18.995479038737194,20,1.35900349559261,0.13018760659465656,31
2024-10-01,STRK,9,20.679745476273368,82,1.092313768284845,-0.06157216494845341,31
2024-10-01,IMX,9,21.85541524561452,36,1.0164428418688134,-0.28524611232489383,31
