date,equity,cash,mtm_value,num_positions,long_exposure,short_exposure,daily_return
2025-05-31,82936.93382276467,83815.79368024685,-878.8598574821859,1,0.0,10000.0,-0.010485611588133215
2025-06-01,82894.17847834661,83815.79368024685,-921.6152019002388,1,0.0,10000.0,-0.0005155163381059813
2025-06-02,82761.16185126822,83815.79368024685,-1054.6318289786227,1,0.0,10000.0,-0.001604655833740365
2025-06-03,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.12075414053612632
2025-06-04,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-05,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-06,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-07,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-08,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-09,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-10,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-11,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-12,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-13,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-14,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-15,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-16,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-17,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-18,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-19,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-20,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-21,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-22,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-23,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-24,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-25,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-26,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-27,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-28,92754.91482038936,92754.91482038936,0.0,0,0.0,0.0,0.0
2025-06-29,82739.91482038936,82739.91482038936,0.0,1,0.0,10000.0,-0.1079727151859613
2025-06-30,73044.48872185407,72724.91482038936,319.57390146471363,2,0.0,20000.0,-0.11717955136383673
2025-07-01,84583.81542815985,83685.01383029035,898.8015978695074,1,0.0,10000.0,0.1579766921258956
2025-07-02,83218.96855732097,83685.01383029035,-466.0452729693732,1,0.0,10000.0,-0.01613602867085251
2025-07-03,82586.4785440054,83685.01383029035,-1098.535286284954,1,0.0,10000.0,-0.007600310653693265
2025-07-04,81995.53979566984,81995.53979566984,0.0,1,0.0,10000.0,-0.007155393458514903
2025-07-05,81155.0595212273,81995.53979566984,-840.4802744425388,1,0.0,10000.0,-0.010250316987204244
2025-07-06,79399.77078480649,81995.53979566984,-2595.7690108633515,1,0.0,10000.0,-0.021628826924360633
2025-07-07,58895.95431825418,58895.95431825418,0.0,3,10000.0,20000.0,-0.25823520979831094
2025-07-08,68258.19026865925,67744.00309874199,514.187169917265,2,10000.0,10000.0,0.15896229306031207
2025-07-09,69887.24922887016,69136.590756526,750.6584723441612,2,0.0,20000.0,0.02386613172425256
2025-07-10,67542.92509789107,69136.590756526,-1593.6656586349309,2,0.0,20000.0,-0.033544375502629675
2025-07-11,78844.01474768133,78703.54064759353,140.47410008779627,1,0.0,10000.0,0.1673171488118319
2025-07-12,67639.3747125628,68688.54064759353,-1049.165935030729,2,0.0,20000.0,-0.14211148520247108
2025-07-13,66084.937877696,67067.59683723356,-982.6589595375723,2,0.0,20000.0,-0.022981241938921926
2025-07-14,77334.08895364717,76813.85773977434,520.2312138728327,1,0.0,10000.0,0.17022261709271902
2025-07-15,67203.48201723098,66798.85773977434,404.62427745664775,2,0.0,20000.0,-0.13099794765136896
2025-07-16,67494.29042190562,67147.46961265706,346.82080924855364,2,0.0,20000.0,0.004327281800667215
2025-07-17,58783.83711984326,57132.46961265706,1651.3675071861953,3,0.0,30000.0,-0.12905466888552308
2025-07-18,69540.05441886575,68258.53897681892,1281.5154420468323,2,0.0,20000.0,0.1829791627432158
2025-07-19,79112.55937797512,79671.51803034879,-558.95865237366,1,0.0,10000.0,0.1376545508787006
2025-07-20,89281.64054183423,89281.64054183423,0.0,0,0.0,0.0,0.12853940314677992
2025-07-21,89281.64054183423,89281.64054183423,0.0,0,0.0,0.0,0.0
2025-07-22,89281.64054183423,89281.64054183423,0.0,0,0.0,0.0,0.0
2025-07-23,89281.64054183423,89281.64054183423,0.0,0,0.0,0.0,0.0
