symbol,first_date,last_date,days_span,actual_days,expected_days,missing_days,coverage_pct,is_current,days_since_last,market_cap,rank,num_gaps,largest_gap_days,gaps
SUPER,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,765836273.6922129,125.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
PNUT,2025-01-14,2025-10-24,283,284,284,0,100.0,False,10,756472715.6159503,129.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
SNX,2021-01-01,2025-10-24,1757,1758,1758,0,100.0,False,10,741694972.316174,134.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
AKT,2024-03-19,2024-10-27,222,223,223,0,100.0,False,372,669416898.5906948,88.0,1,371,"[{'start': Timestamp('2024-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 371}]"
TURBO,2024-12-29,2025-10-24,299,300,300,0,100.0,False,10,655209318.6224619,139.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
SUSHI,2021-03-11,2021-10-28,231,232,232,0,100.0,False,1467,617734418.9586091,45.0,1,1466,"[{'start': Timestamp('2021-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1466}]"
MORPHO,2025-02-27,2025-10-24,239,240,240,0,100.0,False,10,583806144.7450621,149.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
OCEAN,2022-09-08,2022-10-28,50,51,51,0,100.0,False,1102,553129590.1387948,136.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
RPL,2023-01-01,2025-10-24,1027,1028,1028,0,100.0,False,10,552729569.6646273,98.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
DASH,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,528497765.7293925,158.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
PAXG,2025-05-08,2025-10-24,169,170,170,0,100.0,False,10,527890490.145549,157.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
GLM,2022-03-09,2022-10-28,233,234,234,0,100.0,False,1102,518233017.5468575,143.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
ETHFI,2025-02-06,2025-10-24,260,261,261,0,100.0,False,10,515477425.4420556,161.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
CELR,2022-08-16,2022-10-28,73,74,74,0,100.0,False,1102,483577737.0698454,149.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
ZRX,2020-01-01,2025-10-24,2123,2124,2124,0,100.0,False,10,454792794.89516616,176.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
TRAC,2022-01-01,2025-10-24,1392,1393,1393,0,100.0,False,10,450676526.1642746,177.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
ME,2024-12-29,2025-10-24,299,300,300,0,100.0,False,10,447692215.0726243,180.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
MKR,2020-06-09,2020-10-27,140,141,141,0,100.0,False,1833,442089035.2370001,28.0,1,1832,"[{'start': Timestamp('2020-10-28 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1832}]"
ATH,2025-03-13,2025-10-24,225,226,226,0,100.0,False,10,412583051.170054,186.0,1,9,"[{'start': Timestamp('2025-10-25 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 9}]"
ALICE,2022-02-24,2022-10-28,246,247,247,0,100.0,False,1102,399748167.0266699,161.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
INJ,2022-09-20,2022-10-28,38,39,39,0,100.0,False,1102,374219406.0265861,168.0,1,1101,"[{'start': Timestamp('2022-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 1101}]"
OSMO,2023-05-25,2023-10-28,156,157,157,0,100.0,False,737,338589449.9363292,77.0,1,736,"[{'start': Timestamp('2023-10-29 00:00:00'), 'end': Timestamp('2025-11-02 00:00:00'), 'days': 736}]"
