coin_symbol,symbol,date,timestamp,oi_open,oi_high,oi_low,oi_close
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-24,1761264000,1604271.8433,1685952.6334,1502078.5906,1580446.1582
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-25,1761350400,1569276.9274000002,1579013.3807,1400042.5418,1401061.0544
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-26,1761436800,1444510.3296,1605282.8688,1416203.9112,1573909.7088000001
1000NEIROCTO,1000NEIROCTOUSDT.6,2025-10-27,1761523200,1585551.0528000002,1624954.8024000002,1513480.5504,1514951.5104
1000RATS,1000RATSUSDT_PERP.A,2025-10-21,1761004800,5891182.85295,6203869.57575,5882612.896799999,5886532.7283
1000RATS,1000RATSUSDT_PERP.A,2025-10-22,1761091200,6112347.577839999,6112501.81,5801821.14152,5971472.94888
1000RATS,1000RATSUSDT_PERP.A,2025-10-23,1761177600,6200650.7127,6207267.95895,5966135.12925,5982038.75385
1000RATS,1000RATSUSDT_PERP.A,2025-10-24,1761264000,6215512.72896,6242963.94752,5961930.8992,6102237.91616
1000RATS,1000RATSUSDT_PERP.A,2025-10-25,1761350400,6256348.6432799995,6369373.82004,6222531.68892,6307163.61876
1000RATS,1000RATSUSDT_PERP.A,2025-10-26,1761436800,6768683.975299999,7478784.9284,6356401.529999999,6356426.6197999995
1000RATS,1000RATSUSDT_PERP.A,2025-10-27,1761523200,6209890.081139999,6229489.981989999,6110857.50407,6111059.40492
1000SATS,1000SATSUSDT_PERP.A,2025-10-21,1761004800,3257018.3239542,3310770.7810242,3155744.9267136,3289611.076479
1000SATS,1000SATSUSDT_PERP.A,2025-10-22,1761091200,3120913.072557,3242702.672934,3087820.5323562003,3202174.3893642
1000SATS,1000SATSUSDT_PERP.A,2025-10-23,1761177600,3447385.5383665003,3710451.7705384004,3385925.3523326004,3408334.0433830004
1000SATS,1000SATSUSDT_PERP.A,2025-10-24,1761264000,3451116.479074,3663001.4596801996,3436184.1924586,3557233.9269192
1000SATS,1000SATSUSDT_PERP.A,2025-10-25,1761350400,3557233.9269192,3611444.6365206,3535021.5355972,3598260.9624807998
1000SATS,1000SATSUSDT_PERP.A,2025-10-26,1761436800,3836162.5137192,4452089.2562124,3810531.0972402003,4346376.5965086
1000SATS,1000SATSUSDT_PERP.A,2025-10-27,1761523200,4329530.0322630005,4390267.105122601,4313055.745043701,4378114.4728236
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-21,1761004800,30076084.022148,30299869.582622997,26784420.289731,28271042.488323
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-22,1761091200,27708234.402925003,28019444.442649003,25655081.604046002,27601574.406888
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-23,1761177600,28285768.170982,28285768.170982,26728052.819483,26735657.647652
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-24,1761264000,27097617.754354,27714356.60343,26717994.555112,26737604.546786
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-25,1761350400,26629627.63233,27124094.371146,26123461.198938,26879299.99779
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-26,1761436800,27844360.2096,28735305.69888,26780106.54528,28636246.93248
1000SHIB,1000SHIBUSDT_PERP.A,2025-10-27,1761523200,28758276.39384,29255218.5492,28656754.644,28796476.017435
1000TAG,1000TAGUSDT.6,2025-10-21,1761004800,342940.259,486020.6815,326961.55079999997,415942.4752
1000TAG,1000TAGUSDT.6,2025-10-22,1761091200,397453.7952,505270.0818,335046.72959999996,336227.2452
1000TAG,1000TAGUSDT.6,2025-10-23,1761177600,385383.27520000003,395073.20160000003,363871.1384,367024.504
1000TAG,1000TAGUSDT.6,2025-10-24,1761264000,380132.522,392468.5072,354293.1392,361804.9512
1000TAG,1000TAGUSDT.6,2025-10-25,1761350400,362291.0304,365791.712,330117.6736,352108.2864
1000TAG,1000TAGUSDT.6,2025-10-26,1761436800,347384.11439999996,352184.37039999996,319412.9168,320980.05919999996
1000TAG,1000TAGUSDT.6,2025-10-27,1761523200,341423.2588,343456.2664,337810.5874,337810.5874
1000TOSHI,1000TOSHIUSDT.6,2025-10-21,1761004800,4324661.25,4457413.537500001,4156554.0,4262713.65
1000TOSHI,1000TOSHIUSDT.6,2025-10-22,1761091200,4068274.08,4270956.24,3993854.8800000004,4270942.640000001
1000TOSHI,1000TOSHIUSDT.6,2025-10-23,1761177600,4459994.6598,4496292.131399999,4054015.5777,4111666.4664
1000TOSHI,1000TOSHIUSDT.6,2025-10-24,1761264000,4154514.42,4198295.5525,4083723.7175000003,4164592.4250000003
1000TOSHI,1000TOSHIUSDT.6,2025-10-25,1761350400,4455388.356,4955168.878,4450121.084799999,4457988.9848
1000TOSHI,1000TOSHIUSDT.6,2025-10-26,1761436800,4595631.4274,5269162.2484,4572139.313,5055223.2152
1000TOSHI,1000TOSHIUSDT.6,2025-10-27,1761523200,5097387.3416,5270177.374000001,4795860.931600001,4803264.6457
1000TURBO,1000TURBOUSDT.6,2025-10-21,1761004800,1054187.9892,1148809.2084,1042319.394,1128889.332
1000TURBO,1000TURBOUSDT.6,2025-10-22,1761091200,1078688.349,1279904.8158,1073086.9848,1278823.2048
1000TURBO,1000TURBOUSDT.6,2025-10-23,1761177600,1298272.5648,1332807.7514,1260055.3694,1301010.7084000001
1000TURBO,1000TURBOUSDT.6,2025-10-24,1761264000,1342441.6875999998,1434110.9658,1328840.5181999998,1332798.8876
1000TURBO,1000TURBOUSDT.6,2025-10-25,1761350400,1347284.0292,1554054.9942,1330254.972,1553923.4016
1000TURBO,1000TURBOUSDT.6,2025-10-26,1761436800,1636819.7216,1771928.5030999999,1604641.0632,1636357.6796
1000TURBO,1000TURBOUSDT.6,2025-10-27,1761523200,1681619.0436,1784605.2975,1603782.5283000001,1735400.5488
1000WHY,1000WHYUSDT_PERP.A,2025-10-21,1761004800,1573202.0387454,1592365.1443464,1564781.3259002,1578982.1329548
1000WHY,1000WHYUSDT_PERP.A,2025-10-22,1761091200,1564775.2480539002,1583765.2977550002,1532263.4951807002,1532806.1550533
1000WHY,1000WHYUSDT_PERP.A,2025-10-23,1761177600,1590526.8889256,1610763.4553592,1578026.9729744,1584352.4591639999
1000WHY,1000WHYUSDT_PERP.A,2025-10-24,1761264000,1603518.0131055,1630737.9759978,1597489.8752952,1630635.1219457
1000WHY,1000WHYUSDT_PERP.A,2025-10-25,1761350400,1682603.7428543,1778670.2302893999,1680760.5996055,1763124.6076325
1000WHY,1000WHYUSDT_PERP.A,2025-10-26,1761436800,1810716.4015219999,1810716.4015219999,1757791.565488,1760478.826099
1000WHY,1000WHYUSDT_PERP.A,2025-10-27,1761523200,1767097.1675504998,1776827.1364274998,1767097.1675504998,1775053.7372193
1000X,1000XUSDT_PERP.A,2025-10-21,1761004800,727682.24685,917159.9892,723808.1389499999,812921.1402
1000X,1000XUSDT_PERP.A,2025-10-22,1761091200,803273.62752,803273.62752,753178.3131599999,753275.4138
1000X,1000XUSDT_PERP.A,2025-10-23,1761177600,764312.4162,788052.9228,755165.1670799999,774162.1594799999
1000X,1000XUSDT_PERP.A,2025-10-24,1761264000,784635.68661,830755.3425899999,784635.68661,790092.4896
1000X,1000XUSDT_PERP.A,2025-10-25,1761350400,790846.2000000001,814439.1375000001,788725.62,808073.4825
1000X,1000XUSDT_PERP.A,2025-10-26,1761436800,827705.81101,850246.55725,816497.6984599999,833794.3139799999
1000X,1000XUSDT_PERP.A,2025-10-27,1761523200,839582.87734,847112.55882,833117.68566,842087.63089
1000XEC,1000XECUSDT_PERP.A,2025-10-21,1761004800,939305.51971,979431.39694,922254.5679700001,947207.94151
1000XEC,1000XECUSDT_PERP.A,2025-10-22,1761091200,933327.01564,1015105.97496,912484.7801600001,913475.4393600001
1000XEC,1000XECUSDT_PERP.A,2025-10-23,1761177600,932242.73032,953962.85127,926940.18175,941874.11494
1000XEC,1000XECUSDT_PERP.A,2025-10-24,1761264000,958268.1841399999,1004897.5100199999,950149.3441999999,1004758.1080799999
1000XEC,1000XECUSDT_PERP.A,2025-10-25,1761350400,999275.1170399999,1010685.93534,994079.7527399999,999697.2080399999
1000XEC,1000XECUSDT_PERP.A,2025-10-26,1761436800,1094318.75448,2176528.3058399996,1050883.8857999998,1779577.5698399998
1000XEC,1000XECUSDT_PERP.A,2025-10-27,1761523200,1767303.64095,1790378.70495,1714404.5195499999,1715682.56845
100BONK,100BONKUSDT_PERP.0,2025-10-21,1761004800,7840.7714000000005,8322.6626,7027.58,7027.58
100BONK,100BONKUSDT_PERP.0,2025-10-22,1761091200,6761.51,7510.795700000001,6442.753100000001,6866.3824
100BONK,100BONKUSDT_PERP.0,2025-10-23,1761177600,7215.2,8401.3,6684.499999999999,6991.9
100BONK,100BONKUSDT_PERP.0,2025-10-24,1761264000,7178.0292,10415.7342,6789.5046,9765.216
100BONK,100BONKUSDT_PERP.0,2025-10-25,1761350400,9819.008,10321.9328,9819.008,10321.9328
100BONK,100BONKUSDT_PERP.0,2025-10-26,1761436800,10623.9776,11314.1664,10365.1568,11314.1664
100BONK,100BONKUSDT_PERP.0,2025-10-27,1761523200,11337.6672,11337.6672,11274.3714,11274.3714
1INCH,1INCHUSDT_PERP.A,2025-10-21,1761004800,3809270.0181,4085345.0058,3802604.8658999996,3964460.0453999997
1INCH,1INCHUSDT_PERP.A,2025-10-22,1761091200,3901753.296,3935597.5680000004,3827870.256,3902117.688
1INCH,1INCHUSDT_PERP.A,2025-10-23,1761177600,4032188.2776,4032188.2776,3921139.8296000003,3983145.236
1INCH,1INCHUSDT_PERP.A,2025-10-24,1761264000,4123105.9845,4145122.8285,4040371.0263,4115755.356
1INCH,1INCHUSDT_PERP.A,2025-10-25,1761350400,4072221.853,4095190.0570000005,3905083.4522,3917224.8808000004
1INCH,1INCHUSDT_PERP.A,2025-10-26,1761436800,4040602.0424,4045729.3562000003,3943080.0094000003,4029371.3600000003
1INCH,1INCHUSDT_PERP.A,2025-10-27,1761523200,4071115.1199999996,4095365.7016,4064277.9206,4070965.9535
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-21,1761004800,2576930.152608,2804518.493003,2445863.012569,2453571.0781906
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-22,1761091200,2438551.5989452,2687583.9489674,2436714.5179002,2563097.0284410003
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-23,1761177600,2635973.3054568,2756118.5859971996,2531375.7138941996,2657183.9652299997
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-24,1761264000,2630027.4587326003,2857684.72494,2582902.5311882,2827721.6175488
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-25,1761350400,2830945.5396189997,2916307.401741,2792131.159116,2793449.61538
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-26,1761436800,2896715.889566,2917751.4361297,2743492.1821183,2833445.1356273
1MBABYDOGE,1MBABYDOGEUSDT_PERP.A,2025-10-27,1761523200,2851890.3077451997,2917622.6698459997,2851836.3605915,2872732.4952352997
2Z,2ZUSDT_PERP.A,2025-10-21,1761004800,8580861.18855,10234501.40394,8017795.34739,9424315.58724
2Z,2ZUSDT_PERP.A,2025-10-22,1761091200,8337814.39982,8372160.2255,7385225.1591799995,7395412.40298
2Z,2ZUSDT_PERP.A,2025-10-23,1761177600,7569954.2863,7626552.112480001,7201847.4906,7201847.4906
2Z,2ZUSDT_PERP.A,2025-10-24,1761264000,7279903.07796,7575756.81696,7123535.359200001,7151760.814560001
