protocol,slug,symbol,category,chains,tvl,change_1h,change_1d,change_7d,mcap,timestamp
KuCoin,kucoin,-,CEX,"Ethereum,Bitcoin,Ripple,Solana,Binance,Tron,Cardano,Aptos,Sui,Avalanche,TON,Near,Kucoin,Polkadot,Polygon,Algorand,Optimism,Arbitrum,Base,EOS,Kava,Starknet,Doge",4684655445.806337,0.536794696547986,0.6551295446785161,-4.736555507558691,,2025-11-03T01:15:59.406022
JustLend,justlend,JST,Lending,Tron,4450047437.2680645,0.20120662950739643,-0.6639217075878179,-5.048710570068067,347262608.67707455,2025-11-03T01:15:59.406024
Base Bridge,base-bridge,-,Canonical Bridge,Ethereum,4404754271.56546,0.6785015510513972,-0.9054783016464825,-2.5855476746233705,,2025-11-03T01:15:59.406025
JustCryptos,justcryptos,JST,Bridge,Tron,4055012822.0,1.2442858670376609,0.824666131797855,-4.8594950237777255,,2025-11-03T01:15:59.406026
Crypto-com,crypto-com,-,CEX,"Bitcoin,Ethereum,Binance,Polygon,Avalanche,Arbitrum,Fantom,Optimism",3595405770.702745,0.1200795788400768,1.3947533920257769,-1.2096268112695867,,2025-11-03T01:15:59.406028
Spark Liquidity Layer,spark-liquidity-layer,SPK,Onchain Capital Allocator,"Ethereum,Base,Unichain,Optimism,Arbitrum,Avalanche",3280356582.801591,-0.22341223074235472,-0.8038924530456768,10.709881832951893,,2025-11-03T01:15:59.406030
Veda,veda,-,Onchain Capital Allocator,"Ethereum,Plasma,Hyperliquid L1,Scroll,Sonic,Base,Arbitrum,Berachain,Binance,BOB",3195078269.7324896,0.7111659029559974,0.2159408622102461,-5.579742381342413,,2025-11-03T01:15:59.406031
Maple,maple,SYRUP,Lending,"Ethereum,Solana",3131432913.2970657,-0.011724543807616783,0.08894155685874239,4.3556273755337,,2025-11-03T01:15:59.406033
BlackRock BUIDL,blackrock-buidl,BUIDL,RWA,"Ethereum,Aptos,Avalanche,Polygon,Solana,Arbitrum,Optimism",2839763196.931254,0.0,-2.842170943040401e-14,-0.8244019956540853,2828736996.591253,2025-11-03T01:15:59.406034
Kamino Lend,kamino-lend,KMNO,Lending,Solana,2839554941.1263514,0.1172509586228756,-0.14321384109587143,-6.355506746461032,,2025-11-03T01:15:59.406036
