dex,defi_llama_id,volume_24h,volume_7d,change_1d,chains,timestamp
BeamSwap Classic,1289,114,4660,-85.21,Moonbeam,2025-11-03T01:15:59.015328
ZipSwap,1296,0,15,-100.0,Arbitrum,2025-11-03T01:15:59.015329
SundaeSwap V2,1302,200725,1166588,99.66,Cardano,2025-11-03T01:15:59.015330
ProtoFi,1306,37,709,-54.88,Fantom,2025-11-03T01:15:59.015331
YieldFields,1347,39,452,290.0,BSC,2025-11-03T01:15:59.015332
WigoSwap,1351,2947,60706,-70.32,Fantom,2025-11-03T01:15:59.015333
AstroSwap,1368,0,0,0.0,Velas,2025-11-03T01:15:59.015334
Hermes Protocol,1384,0,0,0.0,Metis,2025-11-03T01:15:59.015336
Solidly,1407,12,250,-36.84,Fantom,2025-11-03T01:15:59.015337
Crema Finance,1412,961,17071,-24.15,Solana,2025-11-03T01:15:59.015338
PegaSys V2,1432,0,0,0.0,Syscoin,2025-11-03T01:15:59.015339
Polaris Finance,1440,63,4891,-76.4,"Aurora,Telos",2025-11-03T01:15:59.015340
Hashflow,1447,4757507,82538529,-8.08,"Ethereum,Avalanche,BSC,Arbitrum,OP Mainnet,Polygon,Solana",2025-11-03T01:15:59.015341
PayCash,1452,302392,12264740,9.72,Vaulta,2025-11-03T01:15:59.015342
ClaimSwap V1,1455,0,0,0.0,Kaia,2025-11-03T01:15:59.015344
WOOFi Swap,1461,19209043,163072346,8.13,"Avalanche,BSC,Fantom,Polygon,Arbitrum,OP Mainnet,ZKsync Era,Polygon zkEVM,Linea,Base,Mantle,Sonic,Berachain,Hyperliquid L1,Solana",2025-11-03T01:15:59.015345
ALEX,1466,0,0,0.0,Stacks,2025-11-03T01:15:59.015346
Pact,1468,80446,987690,15.34,Algorand,2025-11-03T01:15:59.015347
Minswap,1494,1259973,12939338,18.12,Cardano,2025-11-03T01:15:59.015348
Darkness,1555,0,10,0.0,Cronos,2025-11-03T01:15:59.015349
Penguin,1575,0,0,0.0,Solana,2025-11-03T01:15:59.015350
WingRiders,1601,210986,1703547,50.73,Cardano,2025-11-03T01:15:59.015351
RadioShack,1616,1620,38609,-12.67,"Polygon,BSC,Avalanche",2025-11-03T01:15:59.015353
Humble Defi,1629,0,0,0.0,Algorand,2025-11-03T01:15:59.015354
SMBSwap V2,1632,1,21,0.0,BSC,2025-11-03T01:15:59.015355
ChampagneSwap,1643,1,54,0.0,BSC,2025-11-03T01:15:59.015356
Swappi,1660,66309,986991,-14.38,Conflux,2025-11-03T01:15:59.015357
FairySwap V1,1671,0,0,0.0,Findora,2025-11-03T01:15:59.015358
Hydradex V2,1673,0,0,0.0,Hydra,2025-11-03T01:15:59.015360
Pandora Swap,1698,0,0,0.0,Astar,2025-11-03T01:15:59.015361
Wombat Exchange,1700,60030,521889,236.49,"BSC,Arbitrum,Ethereum,Scroll,Avalanche,Base,OP Mainnet",2025-11-03T01:15:59.015362
Hummus AMM,1715,1732,10928,96.37,Metis,2025-11-03T01:15:59.015363
Meshswap,1726,2827,26913,10.21,Polygon,2025-11-03T01:15:59.015364
Verse,1732,8003,136435,15.65,"Ethereum,smartBCH",2025-11-03T01:15:59.015365
CryptoSwap,1750,1,24,0.0,BSC,2025-11-03T01:15:59.015366
Spartacus Exchange,1755,0,0,0.0,Fantom,2025-11-03T01:15:59.015367
Dystopia,1756,307,5412,-16.58,Polygon,2025-11-03T01:15:59.015368
Koyo Finance,1766,0,37,0.0,Boba,2025-11-03T01:15:59.015369
Pandora,1777,15,597,-21.05,BSC,2025-11-03T01:15:59.015371
Oswap AMM,1778,1617,11979,34.86,Obyte,2025-11-03T01:15:59.015372
Invariant,1788,23289,439136,-15.25,"Solana,Eclipse",2025-11-03T01:15:59.015373
Kokonut Swap,1790,0,0,0.0,"Kaia,Polygon zkEVM,Base",2025-11-03T01:15:59.015374
Gin Finance,1795,8,166,14.29,Boba,2025-11-03T01:15:59.015375
Velodrome V1,1799,14809,181054,15.0,OP Mainnet,2025-11-03T01:15:59.015376
SharkSwap,1828,0,0,0.0,SX Network,2025-11-03T01:15:59.015377
Acala Swap,1847,33,453190,0.0,Acala,2025-11-03T01:15:59.015378
AuraSwap,1859,0,0,0.0,Polygon,2025-11-03T01:15:59.015379
Surfswap Classic,1868,0,0,0.0,Kava,2025-11-03T01:15:59.015380
Ferro,1882,95865,876828,-13.16,Cronos,2025-11-03T01:15:59.015381
iZiSwap,1883,58874,950528,-29.4,"BSC,ZKsync Era,Arbitrum,Meter,Aurora,Polygon,Mantle,OntologyEVM,Ultron,Linea,Scroll,Base,Manta,ZetaChain,Mode,IoTeX",2025-11-03T01:15:59.015382
WhaleSwap,1884,4,168,-33.33,"BSC,Fantom",2025-11-03T01:15:59.015384
Increment Swap,1907,151671,1444397,116.98,Flow,2025-11-03T01:15:59.015385
OpenBiSea,1908,0,0,0.0,DChain,2025-11-03T01:15:59.015386
Moon Swap,1942,0,0,0.0,Conflux,2025-11-03T01:15:59.015387
Baryon Network,1950,41,941,51.85,"BSC,Ancient8,KUB",2025-11-03T01:15:59.015389
Cone,1970,638,8818,311.61,BSC,2025-11-03T01:15:59.015390
SaucerSwap V1,1979,388857,2765488,1779.44,Hedera,2025-11-03T01:15:59.015391
Yodeswap,1980,0,0,0.0,Dogechain,2025-11-03T01:15:59.015392
