dex,defi_llama_id,volume_24h,volume_7d,change_1d,chains,timestamp
CaviarNine Agg,5064,20538,235505,2.6,Radix,2025-11-03T01:15:59.015850
Apex DeFi,5065,396,5700,93.17,"Avalanche,Base,Ethereum",2025-11-03T01:15:59.015851
Dragon Swap V3 Sei,5066,8820002,78866606,60.27,Sei,2025-11-03T01:15:59.015853
GMX V1 AMM,5069,0,0,0.0,"Arbitrum,Avalanche",2025-11-03T01:15:59.015854
GMX V2 AMM,5070,2193572,28739455,91.86,"Arbitrum,Avalanche,Botanix,Solana",2025-11-03T01:15:59.015855
Drift AMM,5071,20410,1227320,-6.64,Solana,2025-11-03T01:15:59.015856
Metavault AMM,5072,0,0,0.0,Polygon,2025-11-03T01:15:59.015857
Demex AMM,5073,224,7385,133.33,Carbon,2025-11-03T01:15:59.015858
Orderly AMM,5088,0,0,0.0,Near,2025-11-03T01:15:59.015860
Level AMM,5089,0,0,0.0,"BSC,Arbitrum",2025-11-03T01:15:59.015861
GasPump,5094,494,69313,-97.14,TON,2025-11-03T01:15:59.015862
Torch Dexs,5096,0,0,0.0,TON,2025-11-03T01:15:59.015863
Renegade,5103,1830415,13222601,-17.39,"Arbitrum,Base",2025-11-03T01:15:59.015864
Fulcrom AMM,5115,957202,5446289,244.7,"Cronos,ZKsync Era,Cronos zkEVM",2025-11-03T01:15:59.015865
Morphex V2 AMM,5116,0,0,0.0,"Fantom,BSC",2025-11-03T01:15:59.015866
Vertex AMM,5117,0,0,0.0,"Arbitrum,Mantle,Sei,Base,Sonic,Abstract,Avalanche",2025-11-03T01:15:59.015868
PixelSwap (PIX),5119,0,0,0.0,TON,2025-11-03T01:15:59.015869
KTX spot,5121,0,1,0.0,"BSC,Mantle,Arbitrum",2025-11-03T01:15:59.015870
Mango Markets V4 AMM,5122,0,0,0.0,Solana,2025-11-03T01:15:59.015871
Beamex AMM,5123,0,0,0.0,Moonbeam,2025-11-03T01:15:59.015872
Grizzly Trade AMM,5124,0,0,0.0,BSC,2025-11-03T01:15:59.015873
Morphex V1 AMM,5125,0,0,0.0,Fantom,2025-11-03T01:15:59.015874
BMX Classic AMM,5126,82955,6028217,37.12,"Base,Mode",2025-11-03T01:15:59.015875
Blitz AMM,5127,0,0,0.0,Blast,2025-11-03T01:15:59.015876
Predict Fun,5129,0,0,0.0,Blast,2025-11-03T01:15:59.015877
DTX Dex V3,5141,17,670,-58.54,Taiko,2025-11-03T01:15:59.015879
swap.coffee,5150,1282,1282,0.0,TON,2025-11-03T01:15:59.015880
Pear Protocol,5151,0,6772890,-100.0,Arbitrum,2025-11-03T01:15:59.015881
Enosys AMM V3,5158,2352882,16115307,-25.9,Flare,2025-11-03T01:15:59.015882
four.meme,5174,32486150,328850950,38.66,BSC,2025-11-03T01:15:59.015883
Limitless Exchange,5181,2524976,15528320,7.76,Base,2025-11-03T01:15:59.015884
Meme Cooking,5185,84,6816,0.0,Near,2025-11-03T01:15:59.015885
Metavault AMM V2,5186,1,21,0.0,"Scroll,Linea",2025-11-03T01:15:59.015886
Quickswap Hydra,5187,0,0,0.0,"Polygon zkEVM,Manta",2025-11-03T01:15:59.015888
GraFun,5195,0,0,0.0,"BSC,Ethereum",2025-11-03T01:15:59.015889
Swap Country,5198,1202,13052,3.98,Harmony,2025-11-03T01:15:59.015890
KittyPunch PunchSwap,5203,189387,2106210,0.28,Flow,2025-11-03T01:15:59.015891
cytoswap,5205,0,967,-100.0,HeLa,2025-11-03T01:15:59.015892
Raindex,5221,649,7448,-84.67,"Arbitrum,Base,BSC,Ethereum,Flare,Linea,Polygon",2025-11-03T01:15:59.015894
SparkDEX V3.1,5223,7544059,57583644,-36.71,Flare,2025-11-03T01:15:59.015895
Trado Spot,5225,0,0,0.0,Flow,2025-11-03T01:15:59.015896
MITTE,5228,0,0,0.0,Near,2025-11-03T01:15:59.015897
Velocimeter V4,5243,59,7269,136.0,IOTA EVM,2025-11-03T01:15:59.015898
Mira Protocol,5252,0,0,0.0,Fuel Ignition,2025-11-03T01:15:59.015899
SpookySwap V3,5272,8648,63395,252.98,"Fantom,Sonic",2025-11-03T01:15:59.015900
Cables Finance,5291,92119,1607306,-73.02,"Arbitrum,Avalanche",2025-11-03T01:15:59.015902
DeepBook V3,5296,26735885,227615783,95.56,Sui,2025-11-03T01:15:59.015903
Rabbit Swap,5298,20375,246183,-59.06,Viction,2025-11-03T01:15:59.015904
BulbaSwap V2,5301,9433,148794,2.58,Morph,2025-11-03T01:15:59.015905
BulbaSwap V3,5302,153152,1915622,23.39,Morph,2025-11-03T01:15:59.015906
MorFi,5307,1016,16384,5.18,Morph,2025-11-03T01:15:59.015907
Pearl V1.5,5308,0,0,0.0,re.al,2025-11-03T01:15:59.015908
Nabla Finance,5309,181072,1994842,91.78,"Arbitrum,Base,Berachain",2025-11-03T01:15:59.015909
KYEX,5310,0,0,0.0,ZetaChain,2025-11-03T01:15:59.015910
Fluid DEX,5317,256694848,3676988559,-9.86,"Ethereum,Arbitrum,Polygon,Base,Plasma",2025-11-03T01:15:59.015911
Asset Chain Swap,5324,31268,291895,-27.17,Asset Chain,2025-11-03T01:15:59.015913
ThalaSwap V2,5329,14888927,96479734,1.23,Aptos,2025-11-03T01:15:59.015914
Molten V3,5344,2974,3410426,-71.5,CORE,2025-11-03T01:15:59.015915
Solar Dex,5346,10,1144,66.67,Eclipse,2025-11-03T01:15:59.015916
Manifest Trade,5349,22304441,314222219,-33.01,Solana,2025-11-03T01:15:59.015917
V12,5352,0,0,0.0,Fuel Ignition,2025-11-03T01:15:59.015918
Elexium,5357,14000,219880,197.94,Alephium,2025-11-03T01:15:59.015919
SwapMode V3,5362,1709,34021,19.01,Mode,2025-11-03T01:15:59.015920
TONCO,5363,121994,896829,68.98,TON,2025-11-03T01:15:59.015921
Shido Dex,5366,20270,161199,0.0,Shido,2025-11-03T01:15:59.015923
SuperSwap V2,5372,0,0,0.0,OP Mainnet,2025-11-03T01:15:59.015924
SuperSwap V3,5373,0,0,0.0,OP Mainnet,2025-11-03T01:15:59.015925
Ocelex V1,5378,5,434,-61.54,Zircuit,2025-11-03T01:15:59.015926
Ocelex V2,5379,63381,841118,76.16,Zircuit,2025-11-03T01:15:59.015927
zkSwap StableSwap,5391,116856,207230,587.06,ZKsync Era,2025-11-03T01:15:59.015928
zkSwap V3,5392,790896,1860792,89.67,"ZKsync Era,Sonic",2025-11-03T01:15:59.015929
Mach,5399,0,0,0.0,"Ethereum,OP Mainnet,Arbitrum,Avalanche,Polygon,Base,Celo,BSC,opBNB,Mantle,Scroll,Mode,Blast",2025-11-03T01:15:59.015931
Ninja Blaze,5400,143,7569,-96.47,Injective,2025-11-03T01:15:59.015932
RFX Exchange V1,5406,0,0,0.0,ZKsync Lite,2025-11-03T01:15:59.015933
Catton,5409,0,0,0.0,TON,2025-11-03T01:15:59.015934
Catalist DEX,5412,0,63,0.0,Endurance,2025-11-03T01:15:59.015935
9mm V2,5416,1739,13936,130.03,"PulseChain,Base,Sonic",2025-11-03T01:15:59.015936
9mm V3,5417,0,0,0.0,"PulseChain,Base,Sonic",2025-11-03T01:15:59.015938
Hydrometer Finance,5423,0,0,0.0,Base,2025-11-03T01:15:59.015939
Bluefin Spot,5427,57969053,558379461,6.57,Sui,2025-11-03T01:15:59.015940
Wagmi Memepad,5436,0,0,0.0,TON,2025-11-03T01:15:59.015941
Taraswap,5437,0,0,0.0,Taraxa,2025-11-03T01:15:59.015942
BigPump,5443,0,7308,0.0,TON,2025-11-03T01:15:59.015943
Blum,5451,0,625,0.0,TON,2025-11-03T01:15:59.015944
Emojicoin.fun,5454,71,3844,82.05,Aptos,2025-11-03T01:15:59.015946
Pinto,5458,190644,721203,-22.33,Base,2025-11-03T01:15:59.015947
Duality,5459,130632,1565362,17.24,Neutron,2025-11-03T01:15:59.015948
TON Pump,5468,0,0,0.0,TON,2025-11-03T01:15:59.015949
Hyperion,5480,70376753,649251135,0.34,Aptos,2025-11-03T01:15:59.015950
Balancer V3,5491,25424044,357884377,-24.28,"Ethereum,Gnosis,Arbitrum,OP Mainnet,Avalanche,Base,Hyperliquid L1,Plasma",2025-11-03T01:15:59.015951
Holdstation Swap,5493,29277,30403,19681.76,"ZKsync Era,Berachain",2025-11-03T01:15:59.015953
VinuSwap,5497,247,646,80.29,VinuChain,2025-11-03T01:15:59.015954
Metropolis AMM,5504,27652,310345,28.9,Sonic,2025-11-03T01:15:59.015955
Metropolis DLMM,5505,232504,3138907,21.64,Sonic,2025-11-03T01:15:59.015956
UtyabSwap,5508,0,0,0.0,TON,2025-11-03T01:15:59.015957
NEBY DEX,5512,0,10,-100.0,Oasis Sapphire,2025-11-03T01:15:59.015958
Mantis,5514,0,0,0.0,"Solana,Ethereum",2025-11-03T01:15:59.015959
Sonic Market AMM,5521,1,106,0.0,Sonic,2025-11-03T01:15:59.015961
Sonic Market OrderBook,5522,0,0,0.0,Sonic,2025-11-03T01:15:59.015962
DataDex,5524,127444,1813943,-64.7,Vana,2025-11-03T01:15:59.015963
KongSwap,5528,837019,3095360,65.16,ICP,2025-11-03T01:15:59.015964
SilverSwap,5529,26338,301852,47.44,Sonic,2025-11-03T01:15:59.015965
Goblins AMM,5531,206,1745,28.75,"smartBCH,BSC,Base",2025-11-03T01:15:59.015966
Elys DEX,5544,32463,492765,-54.27,Elys,2025-11-03T01:15:59.015968
Shadow Exchange CLMM,5570,6122455,61159706,9.97,Sonic,2025-11-03T01:15:59.015969
SwapX V2,5578,7620,173015,17.63,Sonic,2025-11-03T01:15:59.015970
SwapX Algebra,5579,1729536,14079073,31.49,Sonic,2025-11-03T01:15:59.015971
dappOS IntentEX,5597,0,0,0.0,opBNB,2025-11-03T01:15:59.015972
Verus Market,5601,238728,1400078,24.45,Verus,2025-11-03T01:15:59.015973
2THICK,5603,590158,4813763,33.39,Sonic,2025-11-03T01:15:59.015974
VinuNFT,5613,0,0,0.0,VinuChain,2025-11-03T01:15:59.015976
Kyo Finance,5622,553337,6719653,5.81,Soneium,2025-11-03T01:15:59.015981
LN Exchange Spot,5638,840675,5553924,12.05,Bitcoin,2025-11-03T01:15:59.015982
Sonex,5640,568024,932208,1179.85,Soneium,2025-11-03T01:15:59.015983
SailFish Finance,5643,0,0,0.0,EDU Chain,2025-11-03T01:15:59.015984
Sologenic,5644,89406,611322,356.18,XRPL,2025-11-03T01:15:59.015986
Metastable,5645,18928365,87806509,735.83,Sui,2025-11-03T01:15:59.015987
Sailor,5647,707168,6091576,-34.69,Sei,2025-11-03T01:15:59.015988
O.LAB,5648,0,0,0.0,Base,2025-11-03T01:15:59.015989
InfinityPools,5662,0,0,0.0,Base,2025-11-03T01:15:59.015990
ArtexSwap,5665,0,0,0.0,Artela,2025-11-03T01:15:59.015991
NOXA,5677,0,0,0.0,Abstract,2025-11-03T01:15:59.015993
Reservoir Tools AMM,5678,713147,6540474,-7.25,"Ink,Zero Network,Shape,Abstract",2025-11-03T01:15:59.015994
Reservoir Tools CLMM,5679,504541,8692655,-17.03,"Abstract,Zero Network,Shape",2025-11-03T01:15:59.015995
Beets DEX V3,5680,345022,5470030,-20.02,Sonic,2025-11-03T01:15:59.015996
Shadow Exchange Legacy,5682,213346,1814325,-6.09,Sonic,2025-11-03T01:15:59.015997
XPress Protocol,5686,1537202,13280694,-6.66,Sonic,2025-11-03T01:15:59.015998
Uniswap V4,5690,446719491,5759510395,10.12,"Ethereum,Unichain,OP Mainnet,Base,Arbitrum,Polygon,Blast,Zora,World Chain,Ink,Soneium,Avalanche,BSC",2025-11-03T01:15:59.015999
Rooster Protocol V1,5704,94181,2084139,13.33,"Plume Mainnet,Plume (Deprecated)",2025-11-03T01:15:59.016001
Bunni V2,5734,0,0,0.0,"Ethereum,Arbitrum,Base,Unichain,BSC",2025-11-03T01:15:59.016002
waveX,5737,70467,539463,8.96,Soneium,2025-11-03T01:15:59.016003
Penumbra Dex,5739,0,0,0.0,Penumbra,2025-11-03T01:15:59.016004
BEX,5742,671643,12742384,-33.11,Berachain,2025-11-03T01:15:59.016005
Kodiak V2,5743,12269,64051,194.72,Berachain,2025-11-03T01:15:59.016006
Kodiak V3,5744,5151302,70870195,30.11,Berachain,2025-11-03T01:15:59.016007
BurrBear,5745,154940,1239088,135.14,Berachain,2025-11-03T01:15:59.016008
Voltage V4,5754,81501,532056,-15.23,Fuse,2025-11-03T01:15:59.016010
Beralis V3,5759,0,0,0.0,Berachain,2025-11-03T01:15:59.016011
Hyperliquid Spot Orderbook,5761,182378150,1957853221,13.45,Hyperliquid L1,2025-11-03T01:15:59.016012
Mondrian Swap,5765,0,0,0.0,Abstract,2025-11-03T01:15:59.016013
Bulla Exchange,5766,380717,7902036,23.78,Berachain,2025-11-03T01:15:59.016014
Magma,5774,28431278,517996970,0.0,Sui,2025-11-03T01:15:59.016015
PiperX V2,5779,17717,328236,-86.14,Story,2025-11-03T01:15:59.016016
PiperX V3,5780,191562,2577523,-57.24,Story,2025-11-03T01:15:59.016017
Story Hunt,5781,149198,2593406,-50.85,Story,2025-11-03T01:15:59.016018
Haedal AMM Protocol,5784,1089679,11421395,97.77,Sui,2025-11-03T01:15:59.016019
KittyPunch StableKitty,5790,36019,2270516,-49.94,Flow,2025-11-03T01:15:59.016021
PulseX StableSwap,5795,382513,5211281,-19.68,PulseChain,2025-11-03T01:15:59.016022
StellaSwap V4,5802,539723,4909055,5.96,Moonbeam,2025-11-03T01:15:59.016023
Ginseng Swap,5803,312,3681,19.08,Conflux,2025-11-03T01:15:59.016024
STEAMM,5824,2892,1462428,-24.29,Sui,2025-11-03T01:15:59.016025
Fibonacci Dex,5832,0,0,0.0,Form Network,2025-11-03T01:15:59.016026
HyperSwap V2,5836,162770,2416878,-27.2,Hyperliquid L1,2025-11-03T01:15:59.016027
HyperSwap V3,5837,38708109,440860105,-4.89,Hyperliquid L1,2025-11-03T01:15:59.016028
Wasabee,5845,185267,1885194,49.61,Berachain,2025-11-03T01:15:59.016029
Degen Express,5857,0,0,0.0,Sonic,2025-11-03T01:15:59.016031
Tea-Fi,5875,0,0,0.0,"Polygon,Ethereum",2025-11-03T01:15:59.016032
Kittenswap AMM,5876,9858,96476,55.59,Hyperliquid L1,2025-11-03T01:15:59.016033
Meridian AMM,5885,4069446,82757255,-17.61,Movement,2025-11-03T01:15:59.016034
Puppyfun,5895,0,86,0.0,BSC,2025-11-03T01:15:59.016035
Yuzu Finance,5906,74122,512231,-52.81,Movement,2025-11-03T01:15:59.016036
DefiTuna AMM,5907,7381410,157775602,27.86,Solana,2025-11-03T01:15:59.016037
Unchain X,5917,171366,1415164,107.07,BSC,2025-11-03T01:15:59.016038
Hanji Protocol,5919,219365,1475965,15.02,Etherlink,2025-11-03T01:15:59.016039
SquadSwap Dynamo,5921,79089,383890,239.8,BSC,2025-11-03T01:15:59.016041
PumpSwap,5936,339943413,1694872602,0.0,Solana,2025-11-03T01:15:59.016042
Gacha,5942,10553,96133,-1.24,Abstract,2025-11-03T01:15:59.016043
Umbra,5943,0,0,0.0,Eclipse,2025-11-03T01:15:59.016044
JustBet,5950,79403,1423049,-53.77,WINR,2025-11-03T01:15:59.016045
Sandglass,5965,2,6067,-99.88,"Solana,Eclipse",2025-11-03T01:15:59.016046
SaucerSwap V2,5966,8858879,119792521,-51.56,Hedera,2025-11-03T01:15:59.016048
Katana DEX V3,5972,768452,8962680,34.41,Ronin,2025-11-03T01:15:59.016049
SyncSwap V3,5982,0,0,0.0,"ZKsync Era,Linea,Sophon",2025-11-03T01:15:59.016050
GooseFX V2,5998,0,0,0.0,Solana,2025-11-03T01:15:59.016051
HARD Swap,5999,108635,589974,97.32,Kava,2025-11-03T01:15:59.016052
1DEX,6003,12698045,117863897,35.16,Vaulta,2025-11-03T01:15:59.016053
Kittenswap CL,6004,75164,1053840,-49.68,Hyperliquid L1,2025-11-03T01:15:59.016054
Momentum,6005,101250413,1220228262,39.88,Sui,2025-11-03T01:15:59.016055
Interest Protocol Stable Swap,6034,186,2305,-68.37,Sui,2025-11-03T01:15:59.016057
KittyPunch PunchSwap V3,6051,72746,2471986,-69.55,Flow,2025-11-03T01:15:59.016058
Razor DEX,6054,1,450,0.0,Movement,2025-11-03T01:15:59.016059
Interest Curve,6055,32949,1737095,-37.07,Movement,2025-11-03T01:15:59.016060
ZORA Coins,6069,2363809,11925989,87.79,Base,2025-11-03T01:15:59.016061
Copump,6070,0,0,0.0,"CORE,Sonic,Sophon,Morph,Celo,Soneium,Scroll,Linea,Taiko",2025-11-03T01:15:59.016062
LaunchLab,6074,66763,5892287,-72.0,Solana,2025-11-03T01:15:59.016063
Beezie,6075,24028,702522,-58.56,Flow,2025-11-03T01:15:59.016065
Titan Dex,6076,0,0,0.0,TON,2025-11-03T01:15:59.016066
Sonicxswap,6083,0,0,0.0,Sonic,2025-11-03T01:15:59.016067
PepeTeam DEX,6086,1398,12591,-2.78,Waves,2025-11-03T01:15:59.016068
Haven1 hSwap,6089,4874,30473,7.93,Haven1,2025-11-03T01:15:59.016070
Swaps.io,6092,104231,1053310,1.24,"Ethereum,OP Mainnet,BSC,Gnosis,Polygon,Sonic,Arbitrum,Base,Avalanche,Blast",2025-11-03T01:15:59.016071
HumanFi,6094,57,743,-35.96,World Chain,2025-11-03T01:15:59.016072
Mosaic AMM,6098,28695,373348,-0.28,Movement,2025-11-03T01:15:59.016073
Yaka V3,6114,6066,232782,-26.7,Sei,2025-11-03T01:15:59.016074
BetterSwap,6118,42977,348901,68.8,VeChain,2025-11-03T01:15:59.016075
UniDerp,6126,141,344,4600.0,Unichain,2025-11-03T01:15:59.016076
boop.fun,6129,17530,85685,876400.0,Solana,2025-11-03T01:15:59.016078
PancakeSwap Infinity,6133,487211434,2549264940,-0.2,"BSC,Base",2025-11-03T01:15:59.016079
InitiaDEX,6138,344304,2255125,41.55,Initia,2025-11-03T01:15:59.016080
Arena DEX,6154,65895,986782,-39.12,Avalanche,2025-11-03T01:15:59.016081
Arena Launch,6155,506,30932,-65.79,Avalanche,2025-11-03T01:15:59.016082
THENA INTEGRAL,6179,13368008,103267874,16.7,BSC,2025-11-03T01:15:59.016083
GT3,6184,185,3146,-66.24,Polygon,2025-11-03T01:15:59.016085
FastJPEG,6229,0,52,0.0,Base,2025-11-03T01:15:59.016086
SMARDEX USDN,6238,70257,602328,232.77,Ethereum,2025-11-03T01:15:59.016087
Skate AMM,6246,248733,3732635,-11.26,"Ethereum,Base,Arbitrum,Solana,Eclipse,Hyperliquid L1,Plume Mainnet,Mantle,Sui",2025-11-03T01:15:59.016088
Saros DLMM,6250,10983,131923,22.21,Solana,2025-11-03T01:15:59.016089
Hybra V2,6255,281,4751,11.51,Hyperliquid L1,2025-11-03T01:15:59.016090
Permute,6256,4739,65141,-8.07,"Bitcoin,Ethereum,Avalanche,Arbitrum,BSC,Tron,Litecoin,Bitcoincash,Doge,Solana,Berachain",2025-11-03T01:15:59.016092
X3X,6272,648,5428,-2.7,World Chain,2025-11-03T01:15:59.016093
Meteora DAMM V2,6288,184846162,1613643669,-25.31,Solana,2025-11-03T01:15:59.016094
Meteora Dynamic Bonding Curve,6290,354680759,2416511930,-0.88,Solana,2025-11-03T01:15:59.016095
Gliquid,6294,811884,9552766,3.58,Hyperliquid L1,2025-11-03T01:15:59.016096
Oxium,6301,3448654,38432763,-43.85,Sei,2025-11-03T01:15:59.016098
Alpha Arcade,6302,115672,379402,58.11,Algorand,2025-11-03T01:15:59.016099
GarudaDefi,6324,8464,56706,132.59,Terra Classic,2025-11-03T01:15:59.016100
Volta Markets,6345,0,1112,0.0,CORE,2025-11-03T01:15:59.016101
Hybra V3,6350,6357167,83309796,-2.68,Hyperliquid L1,2025-11-03T01:15:59.016102
Tapp Exchange,6352,5352160,54120551,-47.59,Aptos,2025-11-03T01:15:59.016103
EulerSwap,6358,422561,258913272,-16.42,"Ethereum,Unichain,BSC",2025-11-03T01:15:59.016104
Byreal,6368,8631336,179582630,5.32,Solana,2025-11-03T01:15:59.016105
Moai V2,6376,0,0,0.0,XRPL EVM,2025-11-03T01:15:59.016106
Moai V3,6377,0,2364,0.0,XRPL EVM,2025-11-03T01:15:59.016108
Arch Swap,6384,794,17758,-68.02,Botanix,2025-11-03T01:15:59.016109
1776.MEME,6396,0,0,0.0,Ethereum,2025-11-03T01:15:59.016110
EagleFi,6399,48,3775,-82.09,Massa,2025-11-03T01:15:59.016111
YeiSwap,6400,2592,215918,-32.09,Sei,2025-11-03T01:15:59.016112
Full Sail,6413,1030609,6950020,26.65,Sui,2025-11-03T01:15:59.016114
CobaltX,6425,2,38,0.0,"Soon Network,svmBNB,soonBase",2025-11-03T01:15:59.016115
Blackhole AMM,6430,547578,6609213,-27.64,Avalanche,2025-11-03T01:15:59.016116
Blackhole CLMM,6431,91427049,823581968,12.42,Avalanche,2025-11-03T01:15:59.016117
LiquidLaunch,6441,344,73985,6780.0,Hyperliquid L1,2025-11-03T01:15:59.016118
Project X,6444,116386760,1402189604,-2.84,Hyperliquid L1,2025-11-03T01:15:59.016119
Nexapia,6458,0,0,0.0,Flare,2025-11-03T01:15:59.016121
Pangolin V3,6466,4210970,32293682,97.83,Avalanche,2025-11-03T01:15:59.016122
HyperBrick,6481,34097,579441,-31.96,Hyperliquid L1,2025-11-03T01:15:59.016123
Angstrom,6483,3080224,36257350,29.21,Ethereum,2025-11-03T01:15:59.016124
Prophet.fun,6495,0,0,0.0,Solana,2025-11-03T01:15:59.016125
Orca Wavebreak,6499,189,422,9350.0,Solana,2025-11-03T01:15:59.016127
Etherex Legacy,6501,2995983,33696360,-43.0,Linea,2025-11-03T01:15:59.016128
Etherex CL,6502,43750338,320266812,33.05,Linea,2025-11-03T01:15:59.016129
Omni Exchange V3,6506,770399,16086219,30.51,"Base,Arbitrum,BSC,Avalanche,OP Mainnet,Sonic,Plasma",2025-11-03T01:15:59.016130
Consensus Liquidity DEX,6533,12229,61690,999.73,Kaia,2025-11-03T01:15:59.016131
Omni Exchange V2,6539,5463,54714,-12.07,"Base,Arbitrum,OP Mainnet,Avalanche,Sonic,Plasma,BSC",2025-11-03T01:15:59.016133
Omni Exchange Flux,6540,34,763,-62.22,"Base,Arbitrum,OP Mainnet,Avalanche,Sonic,Plasma,BSC",2025-11-03T01:15:59.016134
KuraSwap CL,6548,0,2477,0.0,Sei,2025-11-03T01:15:59.016135
KuraSwap Legacy,6549,1412,7881,562.91,Sei,2025-11-03T01:15:59.016136
SolFi,6553,5886803,77387822,0.0,Solana,2025-11-03T01:15:59.016137
HumidiFi,6554,720559137,7491595872,-13.43,Solana,2025-11-03T01:15:59.016139
ZeroFi,6555,18648030,181383280,8.38,Solana,2025-11-03T01:15:59.016140
GoonFi,6556,53598932,425701741,0.0,Solana,2025-11-03T01:15:59.016141
Tessera V,6557,105900332,1391000172,-19.07,Solana,2025-11-03T01:15:59.016142
Earnium,6568,273346,2582556,-30.92,Aptos,2025-11-03T01:15:59.016143
Aqua,6575,0,0,0.0,Solana,2025-11-03T01:15:59.016144
Quickswap V4,6576,1526988,11211853,0.0,"Base,Soneium,Somnia",2025-11-03T01:15:59.016145
Fluid DEX Lite,6586,15280513,168809872,3.73,Ethereum,2025-11-03T01:15:59.016147
HX Finance,6591,118635,1143692,13.46,Hyperliquid L1,2025-11-03T01:15:59.016148
Heaven,6592,5322,960162,-79.75,Solana,2025-11-03T01:15:59.016149
OkieSwap V2,6601,1804,20110,-44.98,X Layer,2025-11-03T01:15:59.016150
OkieSwap V3,6602,16308,216204,-51.54,X Layer,2025-11-03T01:15:59.016151
OkieLaunch,6612,0,0,0.0,X Layer,2025-11-03T01:15:59.016152
BrownFi,6616,1651986,11144683,-1.59,"Berachain,Base,Arbitrum,Hyperliquid L1,Linea,BSC",2025-11-03T01:15:59.016154
Thirdfy,6620,34997,743850,-68.22,Base,2025-11-03T01:15:59.016155
Kittenswap Algebra,6622,2970751,25064698,0.26,Hyperliquid L1,2025-11-03T01:15:59.016156
Football.Fun,6625,401389,4098363,-53.66,Base,2025-11-03T01:15:59.016157
Upheaval V2,6632,8,34,300.0,Hyperliquid L1,2025-11-03T01:15:59.016158
Upheaval V3,6633,1404313,13056891,51.42,Hyperliquid L1,2025-11-03T01:15:59.016159
PancakeSwap Prediction,6643,604624,5061001,-8.37,BSC,2025-11-03T01:15:59.016161
Mintiq Market,6646,0,0,0.0,XRPL EVM,2025-11-03T01:15:59.016162
Myriad Markets,6649,179480,20317170,-9.53,"Abstract,Linea",2025-11-03T01:15:59.016163
Ondo Global Markets,6650,0,5878569,0.0,Ethereum,2025-11-03T01:15:59.016164
Standard Protocol Somnia,6651,0,3,0.0,Somnia,2025-11-03T01:15:59.016165
W-DEX,6660,2623576,18239313,-46.35,Polygon,2025-11-03T01:15:59.016166
SummitX Finance,6661,0,0,0.0,Camp Network,2025-11-03T01:15:59.016167
Drip.Trade,6662,45070,206233,-8.08,Hyperliquid L1,2025-11-03T01:15:59.016169
WinnieSwap,6666,21722,276057,-0.35,Berachain,2025-11-03T01:15:59.016170
SpinUp Launchpad,6671,619,11962,-84.09,Hyperliquid L1,2025-11-03T01:15:59.016171
SpinUp DEX,6672,38700,385772,-28.39,Hyperliquid L1,2025-11-03T01:15:59.016172
Gala Swap,6673,0,0,0.0,Gala,2025-11-03T01:15:59.016173
ThalaSwap V3,6676,830293,4192440,161.04,Aptos,2025-11-03T01:15:59.016174
OkieSwap Stableswap,6688,854,4340,-51.17,X Layer,2025-11-03T01:15:59.016175
Kalshi,6689,296113889,954456349,0.0,Off Chain,2025-11-03T01:15:59.016176
ColorPool,6693,37373,191170,0.0,Chromia,2025-11-03T01:15:59.016177
MachineX Legacy,6704,362,3896,24.4,Peaq,2025-11-03T01:15:59.016179
MachineX CL,6705,197603,3919547,-41.12,Peaq,2025-11-03T01:15:59.016180
Somnex DEX,6709,1127,61751,-36.83,Somnia,2025-11-03T01:15:59.016181
Ultrasolid V3,6722,7555535,76248658,35.65,Hyperliquid L1,2025-11-03T01:15:59.016182
Somnex V3,6725,5736,142091,-31.07,Somnia,2025-11-03T01:15:59.016183
Somnia Exchange,6727,27636,586473,-7.32,Somnia,2025-11-03T01:15:59.016184
Aster Spot,6735,316442122,891072037,235.94,Off Chain,2025-11-03T01:15:59.016185
BabyDoge Algebra,6738,0,0,0.0,BSC,2025-11-03T01:15:59.016186
Injective Spot,6750,1049988,8940647,-14.26,Injective,2025-11-03T01:15:59.016187
PacaSwap DEX,6779,23431,297074,5.39,Pacaswap,2025-11-03T01:15:59.016188
Legion,6784,0,0,0.0,Ethereum,2025-11-03T01:15:59.016190
Lithos,6798,1141697,7913327,70.94,Plasma,2025-11-03T01:15:59.016191
Lotus Finance,6801,1231838,13826529,-46.13,Sui,2025-11-03T01:15:59.016192
ShibaSwap V2,6815,1997,75141,-69.44,"Ethereum,Shibarium",2025-11-03T01:15:59.016193
Aborean AMM,6835,748870,9488861,-12.45,Abstract,2025-11-03T01:15:59.016194
Aborean CL,6836,5945426,55162466,19.37,Abstract,2025-11-03T01:15:59.016195
Ferra CLMM,6837,753300,2672898,-32.71,Sui,2025-11-03T01:15:59.016196
Ferra DLMM,6838,1378843,11646930,-14.39,Sui,2025-11-03T01:15:59.016197
DyorSwap Launchpad,6841,0,0,0.0,Plasma,2025-11-03T01:15:59.016198
Pharaoh V3 Legacy,6853,40753,628100,122.8,Avalanche,2025-11-03T01:15:59.016199
Pharaoh V3,6854,50989590,367634259,10.54,Avalanche,2025-11-03T01:15:59.016201
Punk.Coffee,6860,6054,41043,-21.6,BSC,2025-11-03T01:15:59.016202
Cetus DLMM,6866,36733,231293,35.4,Sui,2025-11-03T01:15:59.016203
Coinhain,6878,24499,504115,47.34,BSC,2025-11-03T01:15:59.016204
