Coin Symbol,Coinalyze Symbol,Data Points,Avg FR %,Std FR %,Min FR %,Max FR %,First Date,Last Date
SCRT,SCRTUSDT_PERP.A,339,0.2292,1.3204,-12.1618,3.433,2024-11-21,2025-10-25
SFP,SFPUSDT_PERP.A,365,0.8442,0.8687,-6.4853,4.6768,2024-10-26,2025-10-25
SKL,SKLUSDT_PERP.A,365,-3.3801,16.0492,-175.8319,5.2689,2024-10-26,2025-10-25
SKY,SKYUSDT_PERP.A,47,-0.264,3.0258,-17.4692,3.9919,2025-09-09,2025-10-25
SLP,SLPUSDT_PERP.A,95,0.4252,0.2871,-1.3597,0.5,2025-07-23,2025-10-25
SNT,SNTUSDT.6,365,-5.7682,20.936,-200.0,14.0557,2024-10-26,2025-10-25
SNX,SNXUSDT_PERP.A,365,0.6579,0.9489,-7.3865,6.0515,2024-10-26,2025-10-25
SPELL,SPELLUSDT_PERP.A,365,-2.9858,14.8664,-175.3007,6.3696,2024-10-26,2025-10-25
SSV,SSVUSDT_PERP.A,365,0.7,0.876,-3.8109,4.9541,2024-10-26,2025-10-25
STEEM,STEEMUSDT_PERP.A,365,-1.8307,6.3921,-47.272,2.893,2024-10-26,2025-10-25
STG,STGUSDT_PERP.A,365,-0.7874,5.4416,-58.6564,6.5317,2024-10-26,2025-10-25
STORJ,STORJUSDT_PERP.A,365,0.3121,3.35,-46.2915,6.4532,2024-10-26,2025-10-25
STRAX,STRAX.H,365,0.0,0.0,0.0,0.0,2024-10-26,2025-10-25
SUN,SUNUSDT_PERP.A,365,0.1569,1.2989,-14.7712,3.4841,2024-10-26,2025-10-25
SUPER,SUPERUSDT_PERP.A,365,-0.1857,1.9262,-21.5219,3.2732,2024-10-26,2025-10-25
SUSHI,SUSHIUSDT_PERP.A,365,0.6626,0.7775,-2.5071,5.4956,2024-10-26,2025-10-25
SXP,SXPUSDT_PERP.A,365,-0.8753,9.3753,-114.5012,7.3,2024-10-26,2025-10-25
SYN,SYNUSDT_PERP.A,365,0.0553,2.8942,-31.8886,3.8868,2024-10-26,2025-10-25
SYRUP,SYRUPUSDT_PERP.A,172,-0.1224,1.8421,-17.7247,0.9731,2025-05-07,2025-10-25
SYS,SYSUSDT_PERP.A,365,-0.1316,3.3762,-17.4981,17.4613,2024-10-26,2025-10-25
T,TUSDT_PERP.A,365,-1.4176,8.3944,-112.8989,6.9859,2024-10-26,2025-10-25
TOSHI,TOSHIUSDT_PERP.A,39,-4.616,7.0704,-31.9643,0.5,2025-09-17,2025-10-25
TRB,TRBUSDT_PERP.A,365,0.4946,0.5304,-2.983,3.5282,2024-10-26,2025-10-25
TROY,TROY-USD.8,196,0.125,0.0,0.125,0.125,2025-04-10,2025-10-25
TRUMP,TRUMPUSDT_PERP.A,281,-0.2608,1.8438,-14.8541,17.2785,2025-01-18,2025-10-25
TURBO,TURBOUSDT_PERP.A,365,0.1476,1.2671,-14.8414,4.0305,2024-10-26,2025-10-25
TWT,TWTUSDT_PERP.A,365,0.4314,0.4251,-1.4353,3.5192,2024-10-26,2025-10-25
UMA,UMAUSDT_PERP.A,365,-0.0869,3.2926,-50.3669,5.1787,2024-10-26,2025-10-25
UNIBOT,UNIBOT.H,365,0.0,0.0,0.0,0.0,2024-10-26,2025-10-25
USD1,USD1USDT.6,102,-0.2555,1.3023,-5.7153,0.5,2025-07-16,2025-10-25
USELESS,USELESSUSDT_PERP.A,72,0.851,0.7369,0.5,3.7483,2025-08-15,2025-10-25
USTC,USTCUSDT_PERP.A,365,0.1396,1.137,-13.6168,3.0318,2024-10-26,2025-10-25
USUAL,USUALUSDT_PERP.A,312,-2.2752,9.2207,-121.3632,0.5,2024-12-18,2025-10-25
VANA,VANAUSDT_PERP.A,314,-1.9932,12.1003,-200.0,0.5,2024-12-16,2025-10-25
VELO,VELOUSDT.6,365,1.1123,4.6604,-51.4232,15.1458,2024-10-26,2025-10-25
VIC,VICUSDT_PERP.A,228,-0.3574,5.0265,-66.4537,0.5,2025-03-12,2025-10-25
VTHO,VTHOUSDT_PERP.A,277,-1.6874,13.5749,-200.0,0.5,2025-01-22,2025-10-25
W,WUSDT_PERP.A,365,0.1863,1.5813,-21.8714,3.7026,2024-10-26,2025-10-25
WAL,WALUSDT_PERP.A,213,-3.1041,11.9388,-162.7966,0.5,2025-03-27,2025-10-25
WAVES,WAVESUSDT.6,365,0.0553,3.8669,-33.9659,8.0044,2024-10-26,2025-10-25
WAXP,WAXPUSDT_PERP.A,365,0.1498,2.0566,-26.3019,3.4646,2024-10-26,2025-10-25
WIN,WINUSDT_PERP.4,365,1.2107,2.6657,1.0,42.7681,2024-10-26,2025-10-25
WLFI,WLFIUSDC_PERP.A,48,0.3561,0.606,-3.3693,0.5,2025-09-08,2025-10-25
WOO,WOOUSDT_PERP.A,365,0.7799,0.7799,-3.1562,5.955,2024-10-26,2025-10-25
XAI,XAIUSDT_PERP.A,365,0.0849,1.5415,-17.7493,2.962,2024-10-26,2025-10-25
XAN,XANUSDT_PERP.A,27,-3.3597,6.1865,-22.317,5.9794,2025-09-29,2025-10-25
XAUT,XAUTUSDT.6,206,0.2245,0.9022,-7.8731,4.2918,2025-04-03,2025-10-25
XCH,XCHUSDT.6,365,2.351,3.0767,1.0,21.4391,2024-10-26,2025-10-25
XCN,XCNUSDT_PERP.A,198,-1.8386,5.4373,-41.8203,1.5598,2025-04-11,2025-10-25
XNO,XNOUSDT.6,365,-0.4026,5.5602,-31.2776,11.8315,2024-10-26,2025-10-25
XPL,XPLUSDT_PERP.A,65,0.5597,0.4747,-0.3092,3.31,2025-08-22,2025-10-25
XVG,XVGUSDT_PERP.A,365,-0.4967,6.5614,-61.4266,4.7238,2024-10-26,2025-10-25
XVS,XVSUSDT_PERP.A,365,0.6057,1.2763,-13.0106,4.9292,2024-10-26,2025-10-25
XYO,XYO-USD.8,308,0.0951,0.0536,0.0,0.1625,2024-12-19,2025-10-25
YFI,YFIUSDT_PERP.A,365,0.6778,0.7903,-3.0141,5.3354,2024-10-26,2025-10-25
YGG,YGGUSDT_PERP.A,365,0.2746,0.8746,-11.8355,2.971,2024-10-26,2025-10-25
ZBCN,ZBCNUSDT.6,365,-5.5076,24.7635,-296.7942,27.5111,2024-10-26,2025-10-25
ZEC,ZECUSDT_PERP.A,365,-0.5411,7.7258,-108.858,7.0612,2024-10-26,2025-10-25
ZEN,ZENUSDT_PERP.A,365,0.7702,1.0018,-6.778,7.2162,2024-10-26,2025-10-25
ZEREBRO,ZEREBROUSDT_PERP.A,297,1.1641,2.0443,-2.3844,26.0775,2025-01-02,2025-10-25
ZETA,ZETAUSDT_PERP.A,365,0.1279,2.5052,-34.1094,7.5658,2024-10-26,2025-10-25
ZIL,ZILUSDT_PERP.A,365,0.7058,0.9656,-5.0648,5.6786,2024-10-26,2025-10-25
ZK,ZKUSDT_PERP.A,365,0.3726,0.652,-7.8073,4.058,2024-10-26,2025-10-25
ZKJ,ZKJUSDT_PERP.A,166,0.1977,3.6358,-37.0566,6.833,2025-05-13,2025-10-25
ZORA,ZORAUSDT_PERP.A,93,-3.1044,9.2329,-61.608,6.4508,2025-07-25,2025-10-25
ZRO,ZROUSDT_PERP.A,365,-0.4791,1.7252,-12.5246,4.1323,2024-10-26,2025-10-25
ZRX,ZRXUSDT_PERP.A,365,0.1139,2.0392,-16.4327,5.9927,2024-10-26,2025-10-25
