symbol,name,cmc_rank,market_cap,price,volume_24h,percent_change_24h,percent_change_7d,market_cap_dominance,timestamp,trading_symbol
TRUMP,OFFICIAL TRUMP,53,1535529248.1403527,7.677675603042917,724963522.3472055,1.41757533,-7.43094557,0.0442,2025-11-08T01:49:13.016626,TRUMP/USDC:USDC
XAUt,Tether Gold,54,1515230603.2794938,3990.2038588962296,17981663458.633045,0.02571985,-0.25573309,0.0436,2025-11-08T01:49:13.016627,XAUt/USDC:USDC
VET,VeChain,55,1471050997.17062,0.017108219953543606,74926420.68904214,15.67841669,8.99242084,0.0424,2025-11-08T01:49:13.016628,VET/USDC:USDC
ATOM,Cosmos,56,1467982522.0892415,3.0795228530676524,182264497.12799707,14.5631861,3.79555427,0.0423,2025-11-08T01:49:13.016630,ATOM/USDC:USDC
PUMP,Pump.fun,57,1452040895.3661604,0.0041018104388874585,351548534.32007635,11.20335435,-10.97672597,0.0418,2025-11-08T01:49:13.016632,PUMP/USDC:USDC
KAS,Kaspa,58,1395187678.576427,0.05187682987180402,83446068.64427428,0.31019268,-1.55824988,0.0402,2025-11-08T01:49:13.016633,KAS/USDC:USDC
PAXG,PAX Gold,59,1330688027.2604156,3996.6373139604925,156298849.83424732,-6.775e-05,-0.17959433,0.0383,2025-11-08T01:49:13.016636,PAXG/USDC:USDC
IP,Story,60,1280208783.0165975,3.96395771870379,62394366.40371931,19.44445162,-9.38697603,0.0369,2025-11-08T01:49:13.016637,IP/USDC:USDC
SKY,Sky,61,1260671651.4951272,0.05506615517624616,21417327.15916873,10.39425789,-1.8610032,0.0363,2025-11-08T01:49:13.016638,SKY/USDC:USDC
RENDER,Render,62,1243982765.3898513,2.3988038337725577,280630729.84480345,22.10211043,7.70423767,0.0358,2025-11-08T01:49:13.016639,RENDER/USDC:USDC
FLR,Flare,63,1235988779.6761806,0.01578554886580582,11642036.43233833,6.75918294,-1.40630357,0.0356,2025-11-08T01:49:13.016640,FLR/USDC:USDC
DASH,Dash,64,1209371178.5558693,96.93900214144183,937970621.1794167,-17.29107194,73.37159137,0.0348,2025-11-08T01:49:13.016641,DASH/USDC:USDC
