date,symbol,open,high,low,close,volume
2025-08-24,AVAX/USD,26.25,26.56,24.93,25.82,1334732.27201902
2025-08-24,AVAX/USDC,26.25,26.56,24.93,25.82,1334732.27201902
2025-08-24,BONK/USD,2.302e-05,2.333e-05,2.178e-05,2.232e-05,827791208399.0
2025-08-24,BTC/USD,115383.87,115616.53,110635.0,113478.0,4602.76322486
2025-08-24,BTC/USDC,115383.87,115616.53,110635.0,113478.0,4602.76322486
2025-08-24,BTC/USDT,115409.47,115642.67,110643.0,113492.21,207.6638547
2025-08-24,CLANKER/USD,53.57,56.34,51.64,53.86,15447.5044
2025-08-24,CLANKER/USDC,53.57,56.34,51.64,53.86,15447.5044
2025-08-24,DIA/USD,0.69287,0.70632,0.65758,0.68471,1425208.51
2025-08-24,DIA/USDC,0.69287,0.70632,0.65758,0.68471,1425208.51
2025-08-24,DOGE/USD,0.2362,0.245,0.22762,0.23181,301501241.2
2025-08-24,DOGE/USDC,0.2362,0.245,0.22762,0.23181,301501241.2
2025-08-24,ENA/USD,0.7399,0.7473,0.6817,0.6942,24999513.0
2025-08-24,ENA/USDC,0.7399,0.7473,0.6817,0.6942,24999513.0
2025-08-24,ETH/USD,4776.73,4955.9,4710.0,4779.87,158333.15493157
2025-08-24,ETH/USDC,4776.73,4955.9,4710.0,4779.87,158333.15493157
2025-08-24,ETH/USDT,4779.59,4956.85,4710.86,4780.12,8500.6520363
2025-08-24,HBAR/USD,0.25332,0.26066,0.24304,0.24818,127755224.6
2025-08-24,HBAR/USDC,0.25332,0.26066,0.24304,0.24818,127755224.6
2025-08-24,LINK/USD,26.276,26.62,25.234,25.82,2538394.68
2025-08-24,LINK/USDC,26.276,26.62,25.234,25.82,2538394.68
2025-08-24,LTC/USD,121.42,124.75,117.08,118.19,169247.2474019
2025-08-24,LTC/USDC,121.42,124.75,117.08,118.19,169247.2474019
2025-08-24,PENGU/USD,0.03629,0.03642,0.03354,0.03411,1156326023.0
2025-08-24,PENGU/USDC,0.03629,0.03642,0.03354,0.03411,1156326023.0
2025-08-24,PUMP/USD,0.003139,0.003223,0.002901,0.002914,3560925949.0
2025-08-24,PUMP/USDC,0.003139,0.003223,0.002901,0.002914,3560925949.0
2025-08-24,SOL/USD,204.07,211.98,201.02,205.98,2069269.61385279
2025-08-24,SOL/USDC,204.07,211.98,201.02,205.98,2069269.61385279
2025-08-24,SUI/USD,3.7349,3.8488,3.602,3.6804,13441301.0
2025-08-24,SUI/USDC,3.7349,3.8488,3.602,3.6804,13441301.0
2025-08-24,TAO/USD,364.55,377.84,349.95,361.01,15432.2744
2025-08-24,TAO/USDC,364.55,377.84,349.95,361.01,15432.2744
2025-08-24,USDT/USD,0.99962,0.99991,0.9995,0.99987,41078051.2
2025-08-24,USELESS/USD,0.2806,0.2918,0.2528,0.2637,17292633.7
2025-08-24,USELESS/USDC,0.2806,0.2918,0.2528,0.2637,17292633.7
2025-08-24,XLM/USD,0.416524,0.424,0.402232,0.407798,60960688.03258572
2025-08-24,XLM/USDC,0.416524,0.424,0.402232,0.407798,60960688.03258572
2025-08-24,XRP/USD,3.0477,3.1278,2.9876,3.0253,67174101.84705
2025-08-24,XRP/USDC,3.0477,3.1278,2.9876,3.0253,67174101.84705
2025-08-24,ZEC/USD,44.88,45.04,41.5,42.66,15650.49014495
2025-08-24,ZEC/USDC,44.88,45.04,41.5,42.66,15650.49014495
2025-08-24,ZORA/USD,0.10664,0.1271,0.10573,0.11533,497182576.0
2025-08-24,ZORA/USDC,0.10664,0.1271,0.10573,0.11533,497182576.0
2025-08-25,ADA/USD,0.9087,0.94,0.83,0.8373,87625823.4892742
2025-08-25,ADA/USDC,0.9087,0.94,0.83,0.8373,87625823.4892742
2025-08-25,AVAX/USD,25.82,25.98,23.04,23.34,915184.40937445
2025-08-25,AVAX/USDC,25.82,25.98,23.04,23.34,915184.40937445
2025-08-25,BONK/USD,2.234e-05,2.283e-05,1.957e-05,1.996e-05,1193345193269.0
2025-08-25,BTC/USD,113478.0,113645.32,109275.74,110127.74,8509.20658676
2025-08-25,BTC/USDC,113478.0,113645.32,109275.74,110127.74,8509.20658676
2025-08-25,BTC/USDT,113500.64,113657.19,109288.4,110063.98,430.26916454
2025-08-25,CLANKER/USD,53.88,53.99,47.43,50.09,19981.47
2025-08-25,CLANKER/USDC,53.88,53.99,47.43,50.09,19981.47
2025-08-25,DIA/USD,0.68592,0.86,0.64788,0.74138,12820375.7
2025-08-25,DIA/USDC,0.68592,0.86,0.64788,0.74138,12820375.7
2025-08-25,DOGE/USD,0.23184,0.23453,0.20592,0.20954,443360188.7
2025-08-25,DOGE/USDC,0.23184,0.23453,0.20592,0.20954,443360188.7
2025-08-25,ENA/USD,0.6942,0.6991,0.6146,0.6213,24003612.8
2025-08-25,ENA/USDC,0.6942,0.6991,0.6146,0.6213,24003612.8
2025-08-25,ETH/USD,4779.52,4797.7,4335.66,4377.02,257426.71057578
2025-08-25,ETH/USDC,4779.52,4797.7,4335.66,4377.02,257426.71057578
2025-08-25,ETH/USDT,4782.55,4797.15,4335.67,4375.18,13751.86130064
2025-08-25,HBAR/USD,0.2482,0.25088,0.22686,0.23088,164274903.3
2025-08-25,HBAR/USDC,0.2482,0.25088,0.22686,0.23088,164274903.3
2025-08-25,LINK/USD,25.81,26.45,23.093,23.393,3471634.47
2025-08-25,LINK/USDC,25.81,26.45,23.093,23.393,3471634.47
