date,Breakout Signal
2023-09-22,-0.0008575862310425952
2023-09-23,-0.0037765753872104346
2023-09-24,-0.0005168717496111253
2023-09-25,-0.0002935315512792025
2023-09-26,0.003453614608221578
2023-09-27,0.00802886272133252
2023-09-28,0.0021090302842354802
2023-09-29,-0.004061350734638425
2023-09-30,0.0005985808748742993
2023-10-01,-0.004768029238247151
2023-10-02,-0.006526325665481059
2023-10-03,0.0019769374164440023
2023-10-04,0.0022005368340465292
2023-10-05,-0.004534559980779895
2023-10-06,-0.00166688349358457
2023-10-07,-0.0037260407070921486
2023-10-08,0.019331600169869345
2023-10-09,-0.003506757396784854
2023-10-10,0.0012797056303128773
2023-10-11,0.007111934207605364
2023-10-12,-0.006971780790336113
2023-10-13,0.001773446942533452
2023-10-14,-0.0011449176918211235
2023-10-15,0.0033025997848312727
