rank,symbol,name,price,market_cap,circulating_supply,total_supply,max_supply,effective_max_supply,circulating_pct,potential_dilution_pct,locked_tokens,volume_24h,market_cap_dominance,timestamp
32,WLFI,World Liberty Financial,0.133630675234036,3283441676.6834106,24571017627.0,100000000000.0,100000000000.0,100000000000.0,24.571017627,306.9835507753429,75428982373.0,122448689.30192961,0.0888,2025-11-02T17:04:02.596974
33,BGB,Bitget Token,4.479816243872109,3124404286.244653,697440277.9396346,919992035.9787906,919992035.98,919992035.98,75.80938211021605,31.909794297774692,222551758.04036546,48728407.77799688,0.0845,2025-11-02T17:04:02.596975
34,OKB,OKB,140.42597835719633,2948945545.501123,21000000.0,21000000.0,21000000.0,21000000.0,100.0,0.0,0.0,66300735.1565764,0.0798,2025-11-02T17:04:02.596977
35,USD1,World Liberty Financial USD,0.9991816751286824,2931308050.3744884,2933708777.2321,2933708777.2321,,2933708777.2321,100.0,0.0,0.0,261804047.32242996,0.0793,2025-11-02T17:04:02.596978
36,PYUSD,PayPal USD,0.9996357068432717,2813768457.8212028,2814793867.964903,2814793867.964903,,2814793867.964903,100.0,0.0,0.0,26541371.63030273,0.0761,2025-11-02T17:04:02.596980
37,PEPE,Pepe,6.573764747290678e-06,2765516431.883711,420689899653542.56,420689899653542.56,420690000000000.0,420690000000000.0,99.99997614717311,2.3852832578138886e-05,100346457.4375,209993631.28478563,0.0748,2025-11-02T17:04:02.596985
38,NEAR,NEAR Protocol,2.1373990096515554,2733576676.958725,1278926707.0,1278926707.0,,1278926707.0,100.0,0.0,0.0,116761521.92950308,0.0739,2025-11-02T17:04:02.596987
39,ENA,Ethena,0.37508424206349483,2684196607.266885,7156250000.0,15000000000.0,15000000000.0,15000000000.0,47.708333333333336,109.60698689956332,7843750000.0,213300393.829362,0.0726,2025-11-02T17:04:02.596989
40,ETC,Ethereum Classic,16.082746879593365,2479418956.626971,154166385.58012673,210700000.0,210700000.0,210700000.0,73.16866899863632,36.6705194567141,56533614.41987327,93054545.8822171,0.0671,2025-11-02T17:04:02.596990
41,M,MemeCore,2.3480033254943784,2440751959.8229513,1039501066.0,5264317858.42,10000000000.0,10000000000.0,10.395010659999999,861.9999754766967,8960498934.0,9730885.86939653,0.066,2025-11-02T17:04:02.596992
42,ASTER,Aster,1.1772014867286276,2375239439.7723517,2017700000.0,8000000000.0,8000000000.0,8000000000.0,25.22125,296.4910541705903,5982300000.0,1529614116.142849,0.0642,2025-11-02T17:04:02.596997
43,APT,Aptos,3.3027399829132356,2376837683.447368,719656314.3765377,1182504126.2745378,,1182504126.2745378,60.858672573414566,64.31511857142262,462847811.8980001,101830417.8698984,0.0643,2025-11-02T17:04:02.596999
