symbol,name,max_supply,start_date,end_date,years_elapsed,circ_supply_start,circ_supply_end,circ_pct_start,circ_pct_end,tokens_unlocked,dilution_velocity_tokens_per_year,dilution_velocity_pct_per_year,price_start,price_end,price_return_pct,market_cap_start,market_cap_end,rank_start,rank_end
ZEC,Zcash,21000000.0,2021-01-01,2025-10-01,4.747433264887063,10817875.0,16242225.1655448,51.513690476190476,77.34392935973715,5424350.1655448,1142585.8696454663,5.44088509354984,56.79283185,120.04973285,111.38183981927993,614377755.8180543,1949874791.945169,43,57
OKB,OKB,21000000.0,2021-01-01,2025-10-01,4.747433264887063,60000000.0,21000000.0,285.7142857142857,100.0,-39000000.0,-8214965.397923876,-39.11888284725655,9.21025037,191.80302674,1982.4952529493505,552615022.4805366,4027863561.6382976,47,32
FTT,FTX Token,352170015.0,2021-01-01,2025-10-01,4.747433264887063,94346957.5237492,328895103.813207,26.790173355261153,93.39100144945814,234548146.28945777,49405253.997822635,14.028807647869352,5.82100255,0.93409754,-83.95297834047504,549193880.6577386,307220107.35906976,48,166
DCR,Decred,21000000.0,2021-01-01,2025-10-01,4.747433264887063,12435692.86010744,17045882.33986872,59.21758504813067,81.17086828508914,4610189.47976128,971090.9501054254,4.624242619549643,41.10793036,17.71706506,-56.90110179509412,511205596.0520976,302003006.3726007,49,170
ALGO,Algorand,10000000000.0,2021-01-01,2025-10-01,4.747433264887063,1194352298.307448,8791843970.747173,11.94352298307448,87.91843970747173,7597491672.439726,1600336697.4386446,16.003366974386445,0.39812911,0.22083153,-44.53268438472133,475506413.9947341,1941516316.176915,50,59
NEXO,Nexo,1000000000.0,2021-01-01,2025-10-01,4.747433264887063,560000011.0,646145839.5746847,56.0000011,64.61458395746847,86145828.57468474,18145769.254269667,1.814576925426966,0.58120718,1.2584166,116.51773125032628,325476029.97093505,813120648.4273952,58,90
AVAX,Avalanche,715748719.0,2021-01-01,2025-10-01,4.747433264887063,76937055.27646953,422275285.4891608,10.749171215278071,58.997700488956205,345338230.21269125,72742092.6096802,10.163076884204694,3.66482291,30.70465538,737.8209843705655,281960682.51495993,12965817117.227436,64,14
RSR,Reserve Rights,100000000000.0,2021-01-01,2025-10-01,4.747433264887063,9349998999.99994,60299452790.0,9.34999899999994,60.29945279,50949453790.00006,10731999998.153128,10.731999998153126,0.02532359,0.0069069,-72.72543110988607,236775556.36398587,416482510.85467935,70,140
HBAR,Hedera,50000000000.0,2021-01-01,2025-10-01,4.747433264887063,6760907519.0,42392926541.61497,13.521815038000002,84.78585308322994,35632019022.61497,7505533418.690956,15.011066837381913,0.03292482,0.22408359,580.5916934397819,222601630.0870891,9499559134.977789,72,18
QNT,Quant,14881364.0,2021-01-01,2025-10-01,4.747433264887063,12072738.0,12072738.0,81.1265553345782,81.1265553345782,0.0,0.0,0.0,11.03564648,104.5125863,847.0454358012381,133230468.59342012,1261753072.1077192,93,73
ZEN,Horizen,21000000.0,2021-01-01,2025-02-01,4.084873374401095,10607593.75,15841493.75,50.51235119047619,75.43568452380953,5233900.0,1281288.186997319,6.101372319034854,11.7912332,17.02539615,44.39029286605915,125076611.57837312,269707706.75100523,98,194
CRV,Curve DAO Token,3030303030.299,2021-01-01,2025-10-01,4.747433264887063,155297960.60620522,1395161570.269693,5.124832700011589,46.0403318189611,1239863609.6634877,261165042.3469371,8.618446397460387,0.62233418,0.73311814,17.80136196279626,96647228.59583531,1022818258.9821742,111,81
HNT,Helium,223000000.0,2021-01-01,2025-10-01,4.747433264887063,63844611.95028748,186321438.2959488,28.62987082972533,83.55221448248825,122476826.34566131,25798535.653259974,11.568850068726446,1.3566573,2.63703403,94.37731474263988,86615259.05181742,491335973.9166197,117,125
KCS,KuCoin Token,200000000.0,2021-01-01,2025-10-01,4.747433264887063,80118638.0,129775851.73556717,40.059319,64.88792586778358,49657213.73556717,10459802.374230629,5.2299011871153125,0.68829844,15.54476954,2158.4345157022294,55145533.15466524,2017335706.513813,148,53
FET,Artificial Superintelligence Alliance,2719493897.0,2021-01-01,2025-10-01,4.747433264887063,746113681.0,2373167815.1186724,27.435754933043704,87.26505390347167,1627054134.1186724,342722908.0085612,12.602451816002777,0.05346741,0.59372946,1010.4511327554487,39892762.40890799,1409019636.636777,173,68
GT,GateToken,300000000.0,2021-01-01,2025-10-01,4.747433264887063,73456543.77969088,82370401.95855549,24.485514593230292,27.456800652851832,8913858.178864613,1877616.3205480394,0.625872106849347,0.51723732,16.35185223,3061.3829083330643,37994465.69165423,1346908640.9703462,178,70
CAKE,PancakeSwap,450000000.0,2021-02-01,2025-10-01,4.662559890485968,105448579.29459365,344286217.52437586,23.43301762102081,76.50804833875019,238837638.22978222,51224572.73248853,11.38323838499745,2.85291476,2.58413044,-9.421393298129942,300835808.71437865,889680496.4429033,88,88
SHIB,Shiba Inu,589552695333683.0,2021-06-01,2025-10-01,4.334017796030117,394796000000000.0,589245811601425.8,66.96534561283755,99.94794634395089,194449811601425.75,44865946738737.05,7.610167351256567,8.82e-06,1.238e-05,40.362811791383216,3482161988.39124,7296424658.370066,31,21
SUN,Sun [New],19900730000.0,2021-06-01,2025-10-01,4.334017796030117,5084084.36,19170355616.200584,0.02554722545353864,96.3299115972157,19165271531.840584,4422056492.106616,22.220574280976706,27.54454439,0.02544843,-99.90760990764748,140038787.32846692,487855514.2086111,200,127
STRK,Starknet,10000000000.0,2021-07-01,2025-10-01,4.251882272416153,2917057.95100507,4318575355.348971,0.029170579510050698,43.18575355348971,4315658297.397966,1014999480.4408289,10.149994804408289,44.00570845,0.1575419,-99.64199667372927,128367201.7231063,680356576.8152272,185,105
XEC,eCash,21000000000000.0,2021-10-01,2025-10-01,4.0,18858654673313.0,19927726547580.0,89.80311749196666,94.89393594085715,1069071874267.0,267267968566.75,1.272704612222622,0.00025691,1.839e-05,-92.84185123194894,4844962046.134439,366474464.74880207,35,153
RAY,Raydium,555000000.0,2021-10-01,2025-10-01,4.0,71080819.764217,268127089.855586,12.807354912471533,48.31118736136685,197046270.09136897,49261567.52284224,8.87595811222383,11.00701582,2.85494162,-74.06252823937524,782387707.6226149,765487187.6319917,110,95
GALA,Gala,50000000000.0,2021-12-01,2025-10-01,3.8329911019849416,6977205436.0,46095893464.44359,13.954410872,92.19178692888718,39118688028.44359,10205786287.420729,20.41157257484146,0.64556762,0.01543142,-97.60963537793299,4504257880.245681,711325259.3403996,42,104
IMX,Immutable,2000000000.0,2021-12-01,2025-10-01,3.8329911019849416,188160768.0,1939938090.389814,9.4080384,96.99690451949068,1751777322.389814,457026190.71634257,22.851309535817126,7.39029702,0.70008857,-90.5269224213129,1390563963.5867743,1358128481.6496336,88,69
NFT,APENFT,999990000000000.0,2022-01-01,2025-10-01,3.7481177275838466,277080562500000.0,999990000000000.0,27.708333333333336,100.0,722909437500000.0,192872660370252.0,19.287458911614316,2.85e-06,4.3e-07,-84.91228070175438,788332972.1547662,430283153.527436,113,135
TWT,Trust Wallet Token,999860531.46,2022-03-01,2025-10-01,3.586584531143053,346951186.0,429860515.46,34.69995815250159,42.992047584108164,82909329.45999998,23116513.423866406,2.3119737899956503,0.75593491,1.31789086,74.33919806666952,262272513.69199908,566509245.3952429,178,119
APE,ApeCoin,1000000000.0,2022-04-01,2025-10-01,3.5017111567419574,277500000.0,752651515.0,27.750000000000004,75.2651515,475151515.0,135691236.00762314,13.569123600762316,12.79120917,0.55871171,-95.63206493948687,3549560543.584919,420515211.9373462,45,138
OP,Optimism,4294967296.0,2022-08-01,2025-10-01,3.167693360711841,234748364.0,1778634390.0,5.465661268681288,41.41205898486078,1543886026.0,487384936.03846157,11.347814836503508,1.52050416,0.70432329,-53.678305621998426,356935865.072602,1252733632.5208485,101,74
XCN,Onyxcoin,68892071756.90897,2022-11-01,2025-10-01,2.915811088295688,21472783889.0,35276059013.57495,31.168730075019933,51.20481662686712,13803275124.574951,4733940130.752113,6.871531092077169,0.06463593,0.01169383,-81.90815851183699,1387913270.9165976,412512151.55112296,38,143
JASMY,JasmyCoin,50000000000.0,2023-01-01,2025-10-01,2.74880219028063,46299999998.88511,49444999677.16958,92.59999999777023,98.88999935433915,3144999678.2844696,1144134594.1169348,2.288269188233865,0.0032979,0.01309185,296.97534794869466,152692695.8428934,647326718.0955384,130,108
SUI,Sui,10000000000.0,2023-06-01,2025-10-01,2.3353867214236823,528273718.0,3568833706.3227763,5.28273718,35.68833706322776,3040559988.3227763,1301951390.0760775,13.019513900760776,0.94560502,3.52252842,272.515833302154,499538280.5075432,12571318143.987778,79,16
PEPE,Pepe,420690000000000.0,2023-06-01,2025-10-01,2.3353867214236823,391790000000000.0,420689899653542.56,93.13033349972663,99.99997614717311,28899899653542.562,12374781182246.684,2.9415439354980397,1.24e-06,9.77e-06,687.9032258064516,487143040.6275779,4111148073.859298,81,31
MNT,Mantle,6219316795.0,2023-08-01,2025-10-01,2.1683778234086244,3234268324.7631407,3252944055.7368407,52.00359511133635,52.30388100429351,18675730.973700047,8612766.083515078,0.1384841191952035,0.52271011,1.89650352,262.8212815703909,1690584745.906375,6169219855.406991,33,25
BGB,Bitget Token,919992035.98,2023-10-01,2025-10-01,2.001368925393566,1400000000.0,696214296.4304284,152.17523035497612,75.67612209694863,-703785703.5695716,-351652158.9997073,-38.22339164328939,0.45350396,5.29409263,1067.375171321547,634905544.632753,3685822975.34479,58,34
KAS,Kaspa,28704026601.0,2023-12-01,2025-10-01,1.834360027378508,21754018904.61972,26762416916.64936,75.78734233705681,93.23575848315652,5008398012.02964,2730324438.6475015,9.511991040840174,0.1377185,0.07977096,-42.07680159165253,2995930853.763087,2134863790.4225588,26,52
BONK,Bonk,88872433754423.19,2024-01-01,2025-10-01,1.7494866529774127,60837624528359.0,81394651393185.84,68.45500000199006,91.58593723009733,20557026864826.844,11750319346444.451,13.221556842826574,1.494e-05,2.055e-05,37.55020080321287,908651838.2438031,1672396568.0711432,78,63
PYTH,Pyth Network,10000000000.0,2024-01-01,2025-10-01,1.7494866529774127,1499994960.17826,5749983370.48613,14.9999496017826,57.4998337048613,4249988410.30787,2429277412.934193,24.292774129341932,0.3566389,0.15736981,-55.874188149413875,534956545.3374842,904873775.79373,108,86
JUP,Jupiter,7000000000.0,2024-02-01,2025-10-01,1.6646132785763177,1350000000.0,3165216666.6400003,19.28571428571429,45.217380952,1815216666.6400003,1090473499.161612,15.57819284516588,0.59917393,0.46206248,-22.88341383611266,808884805.9812458,1462527850.8486235,76,67
WIF,dogwifhat,998840592.989347,2024-02-01,2025-10-01,1.6646132785763177,998920172.89,998839938.842,100.00796722732453,99.99993450933496,-80234.04799997807,-48199.8125526184,-0.0048255760619876934,0.22770637,0.76419816,235.60684314628526,227460482.26082423,763311638.6753962,189,97
TAO,Bittensor,21000000.0,2024-03-01,2025-10-01,1.5852156057494866,6343476.0,9996574.49220552,30.207028571428573,47.602735677169136,3653098.492205519,2304480.5255234297,10.973716788206806,668.1377034,319.37180774,-52.19970282850528,4238315486.2243857,3192624066.7633457,30,37
ETHFI,ether.fi,1000000000.0,2024-04-01,2025-10-01,1.5003422313483916,115200000.0,515873411.0,11.52,51.587341099999996,400673411.0,267054677.6783759,26.705467767837586,5.71753701,1.42979759,-74.99277070704962,658660263.4662527,737594558.4954901,132,99
W,Wormhole,10000000000.0,2024-05-01,2025-10-01,1.4182067077344285,1800000000.0,4691995264.0,18.0,46.91995264,2891995264.0,2039191641.2664092,20.39191641266409,0.6884485,0.1126296,-83.64008346303319,1239207297.3433394,528457552.510252,68,123
ENA,Ethena,15000000000.0,2024-05-01,2025-10-01,1.4182067077344285,1425000000.0,6889062500.0,9.5,45.927083333333336,5464062500.0,3852796965.492278,25.685313103281857,0.79875388,0.57978697,-27.413564488725868,1138224278.530487,3994188655.610653,71,33
ZK,ZKsync,21000000000.0,2024-07-01,2025-10-01,1.2511978097193703,3675000000.0,8050311731.27238,17.5,38.33481776796371,4375311731.27238,3496898489.8188987,16.651897570566184,0.18356069,0.05468611,-70.2081584025425,674585544.4856288,440240195.7279523,100,133
ZRO,LayerZero,1000000000.0,2024-07-01,2025-10-01,1.2511978097193703,110000000.0,256874081.29195333,11.0,25.687408129195333,146874081.29195333,117386779.41331717,11.738677941331717,3.77684652,2.17635358,-42.37643577849174,415453117.09663016,559048826.9194018,139,120
RENDER,Render,644168762.0,2024-08-01,2025-10-01,1.1663244353182751,392459381.4554916,518584616.1640741,60.92493219276777,80.50446509606968,126125234.70858252,108139065.67443608,16.787381204063433,5.60742161,3.54886232,-36.71133424904,2200685215.4005256,1840385402.032145,39,60
ATH,Aethir,42000000000.0,2024-12-01,2025-10-01,0.8323066392881588,5217818110.0,12210160394.0,12.423376452380952,29.07181046190476,6992342284.0,8401161247.470394,20.00276487492951,0.07617714,0.05184016,-31.947878326752623,397478442.5905175,632976664.2530371,193,111
HYPE,Hyperliquid,999533278.0,2025-01-01,2025-10-01,0.7474332648870636,333928180.0,336685219.0,33.408410440137445,33.68424307729752,2757039.0,3688675.804945055,0.3690398194971384,26.32218152,47.15204271,79.13425098969533,8789718168.616331,15875395826.76218,21,11
VIRTUAL,Virtuals Protocol,1000000000.0,2025-01-01,2025-10-01,0.7474332648870636,1000000000.0,655623249.5297925,100.0,65.56232495297925,-344376750.47020745,-460745817.2499754,-46.074581724997536,4.6198959,1.08558446,-76.5019713972343,4619895901.650706,711734408.1098527,32,103
FARTCOIN,Fartcoin,1000000000.0,2025-01-01,2025-10-01,0.7474332648870636,999998256.0,999998256.0,99.99982560000001,99.99982560000001,0.0,0.0,0.0,0.97569289,0.62960133,-35.4713623054074,975691188.2519238,629600236.659437,100,109
SPX,SPX6900,1000000000.0,2025-01-01,2025-10-01,0.7474332648870636,930993090.07,930993090.07,93.099309007,93.099309007,0.0,0.0,0.0,0.94909785,1.11520439,17.501518942435695,883603538.7271762,1038247585.0291884,109,80
MORPHO,Morpho,1000000000.0,2025-01-01,2025-10-01,0.7474332648870636,163062218.94832292,338801056.2017905,16.306221894832294,33.88010562017905,175738837.2534676,235123114.67702946,23.512311467702943,3.35728713,1.83386194,-45.37667262317239,547446689.6229315,621314362.1539216,150,112
TRUMP,OFFICIAL TRUMP,999999993.45,2025-02-01,2025-10-01,0.6625598904859685,200000000.0,199999262.127381,20.000000131,19.999926343737616,-737.8726190030575,-1113.6693144250692,-0.00011136693217211937,19.73673858,7.58202209,-61.58421990914368,3947347715.102326,1516398823.4997756,35,66
DEEP,DeepBook Protocol,10000000000.0,2025-02-01,2025-10-01,0.6625598904859685,2872000000.0,4230443948.66667,28.720000000000002,42.3044394866667,1358443948.6666698,2050296083.6797569,20.50296083679757,0.23265619,0.1306439,-43.84679814450671,668188579.2833817,552681715.6208774,113,121
TOSHI,Toshi,420690000000.0,2025-02-01,2025-10-01,0.6625598904859685,408069300000.0,420677423248.5014,97.0,99.99701044676637,12608123248.501404,19029409159.15346,4.523380436700065,0.00080792,0.00075879,-6.081047628478066,329685421.5473196,319204419.5843287,170,163
PI,Pi,100000000000.0,2025-04-01,2025-10-01,0.5010266940451745,6784128873.278967,8246343748.494971,6.784128873278967,8.24634374849497,1462214875.2160044,2918437066.517189,2.918437066517187,0.70935206,0.26987966,-61.954059878250014,4812335785.855007,2225520421.5079074,26,51
WAL,Walrus,5000000000.0,2025-05-01,2025-10-01,0.4188911704312115,1315416667.0,1446250000.0,26.30833334,28.925,130833333.0,312332515.5441176,6.246650310882353,0.67498438,0.40470571,-40.042211050869064,887885707.7948173,585305627.2369941,77,117
AB,AB,98823661261.46,2025-05-01,2025-10-01,0.4188911704312115,56974704483.95,79914132611.95,57.652897855312936,80.86538344346438,22939428128.0,54762262246.7451,55.4141200070086,0.01083144,0.00832489,-23.14142902513424,617118138.062155,665276520.1934958,101,106
SKY,Sky,23462665147.0,2025-06-01,2025-10-01,0.33401779603011633,21353126325.56406,23412299098.528103,91.00895483007108,99.78533534806749,2059172772.9640427,6164859469.878005,26.27518839506714,0.06679208,0.07079344,5.9907701631690395,1426219709.1520448,1657437161.7177312,57,64
A,Vaulta,2100000000.0,2025-06-01,2025-10-01,0.33401779603011633,1568943314.3264,1594401036.0238,74.71158639649525,75.92385885827618,25457721.697399855,76216662.70471555,3.629364890700685,0.64650651,0.40974771,-36.62125536833342,1014332066.3447068,653302166.0969992,73,107
ZBCN,Zebec Network,100000000000.0,2025-06-01,2025-10-01,0.33401779603011633,79176332710.36726,92082737978.57832,79.17633271036726,92.08273797857832,12906405268.21106,38639873149.29582,38.639873149295816,0.00678309,0.00411494,-39.33531767970055,537060568.2442738,378914882.69739735,109,151
PUMP,Pump.fun,1000000000000.0,2025-08-01,2025-10-01,0.16700889801505817,354000000000.0,354000000000.0,35.4,35.4,0.0,0.0,0.0,0.00256964,0.0070457,174.19015893276878,909653097.9984572,2494176925.0896525,80,46
M,MemeCore,10000000000.0,2025-08-01,2025-10-01,0.16700889801505817,1579304706.0,1039501066.0,15.793047060000001,10.395010659999999,-539803640.0,-3232184910.0000005,-32.321849100000016,0.35882646,2.27788325,534.8147374638983,566696321.8385261,2367862067.1303835,108,49
ZORA,ZORA,10000000000.0,2025-08-01,2025-10-01,0.16700889801505817,3220038160.047801,4469999999.0,32.20038160047801,44.69999999,1249961838.952199,7484402650.447389,74.8440265044739,0.06756722,0.0516181,-23.60481902318905,217569038.79749137,230732916.60340208,188,192
WLFI,World Liberty Financial,100000000000.0,2025-09-01,2025-10-01,0.08213552361396304,24669070265.0,24608537537.0,24.669070265000002,24.608537537,-60532728.0,-736985963.4,-0.7369859634000228,0.23359591,0.20570403,-11.940226179473768,5762594004.320363,5062075309.619972,26,29
