date,portfolio_value,return,n_positions,valid_positions,rolling_30d
2024-10-21,6191.7143433527435,0.06894249794114797,5,5,8.02379402731007
2024-10-22,6295.611581711988,0.01678004387763563,5,5,17.593961726941625
2024-10-23,6510.14086279663,0.03407600330805423,5,5,22.319751134639667
2024-10-24,6304.484327146084,-0.031590182145797674,5,5,24.57562221295475
2024-10-25,6680.68684940832,0.05967221151496395,5,5,32.753203347146474
2024-10-26,6314.59266480905,-0.054798884134449985,5,5,24.170237514137295
2024-10-27,6917.694662240206,0.09550924809326433,5,5,39.74742676289079
2024-10-28,6925.860042047976,0.001180361407441257,5,3,40.96707042408008
2024-10-29,6739.452708426431,-0.026914683878946025,5,3,38.728569279460515
2024-10-30,6801.1550174702315,0.009155388681139404,5,3,39.44721937628549
2024-10-31,6842.094543899283,0.006019496147917348,5,3,44.54316895143049
2024-11-01,7201.304461575411,0.052499993294657904,5,3,48.480601609066206
2024-11-02,7081.544072557431,-0.016098387451251035,4,2,45.8167156799988
2024-11-03,7062.73629354185,-0.002655886742054629,4,2,46.22170391060866
2024-11-04,7122.521186394847,0.008464834359972414,4,2,43.404916450308846
2024-11-05,7300.826327293061,0.02503399235074289,4,2,40.50417419402946
2024-11-06,7926.857686705861,0.08574801417648781,4,2,48.38523462336853
2024-11-07,8077.088929651843,0.018952181164793035,4,2,48.99553366062898
2024-11-08,8523.526887785103,0.055272136040788206,4,2,50.108036079288055
2024-11-09,8261.619217452428,-0.03072761707457147,4,2,34.60468401000022
2024-11-10,8151.864569892868,-0.013284883346802799,4,2,29.741221922601756
2024-11-11,7878.274055565206,-0.033561709959965214,4,2,34.11282556576517
2024-11-12,7427.03204897826,-0.05727675927549,4,2,24.162691554997068
2024-11-13,7034.652634866318,-0.052831253658845015,4,2,23.294866452278196
2024-11-14,6853.667263388377,-0.02572769131213543,4,2,13.851398041069638
2024-11-15,6974.2830323959415,0.017598719688637472,4,2,14.079934937908547
2024-11-16,7973.929126427892,0.14333316978799648,4,2,27.722448405768485
2024-11-17,8010.394211374487,0.004573038506918628,4,2,31.9304977527578
2024-11-18,7881.523208609445,-0.01608797262212761,4,2,27.195837834759974
2024-11-19,7515.7295145293665,-0.046411548173898705,4,2,29.484387056622342
2024-11-20,7502.964835731423,-0.0016983951821666794,4,2,22.42029774429087
2024-11-21,8046.550733712341,0.07244947962333431,4,2,27.98724131886074
2024-11-22,7867.400339701776,-0.02226424712143864,4,2,22.353216275911457
2024-11-23,8194.61356174803,0.04159102218238683,4,2,29.67133670872991
2024-11-24,8530.748401576708,0.041018998308563884,4,2,27.8060153880899
2024-11-25,7858.094311029402,-0.07885053677388747,4,2,25.400850124146153
2024-11-26,8462.756986130413,0.07694774981923078,4,2,23.544700296742796
2024-11-27,9187.081841081039,0.08558970275735454,4,2,31.985634431734123
2024-11-28,8850.086378506712,-0.0366814477549785,4,2,31.008958044130875
