date,portfolio_value,return,n_positions,n_long,n_short,rolling_return_30d
2021-06-22,1.768334344532287,-0.04912689795035357,6,2,4,-29.553541965054947
2021-06-23,1.7873568751331064,0.010757315583242132,6,2,4,-28.50540890750769
2021-06-24,1.7854708230867709,-0.0010552185031291374,6,2,4,-36.38388322016297
2021-06-25,1.8503830763258067,0.036355818532399206,6,2,4,-24.4806486942685
2021-06-26,1.8439817538808285,-0.0034594579505607117,6,2,4,-24.024003891689606
2021-06-27,1.8270364503386556,-0.00918951801258882,6,2,4,-18.196371965670462
2021-06-28,1.8187716231273872,-0.0045236246982026575,6,2,4,-16.354513129712203
2021-06-29,1.9045450475841965,0.04716008506297323,6,2,4,-14.733580773172331
2021-06-30,1.8974051884435184,-0.00374885285582223,6,2,4,-9.782216994044726
2021-07-01,1.9087666566570005,0.005987897726158396,6,2,4,-7.771643648238344
2021-07-02,1.937265078303412,0.014930280528015673,5,1,4,0.43356178419431574
2021-07-03,2.0076457645729655,0.03632992049347752,5,1,4,7.8871948066382815
2021-07-04,1.9344065012512122,-0.03648017225654932,5,1,4,5.905940936865262
2021-07-05,1.9130462073000805,-0.011042298471037756,5,1,4,3.284229776615481
2021-07-06,1.8135900368850568,-0.051988378553274955,5,1,4,-3.1561517251141007
2021-07-07,1.7612814625604714,-0.028842557171536057,5,1,4,-6.731963212544895
2021-07-08,1.7756901054088883,0.008180772440238142,5,1,4,-5.050705056287523
2021-07-09,1.758664202631676,-0.009588330038755002,5,1,4,-5.159346978699821
2021-07-10,1.7608205445317155,0.001226124860455361,5,1,4,-6.916712093395875
2021-07-11,1.760178297470727,-0.00036474305288129727,5,1,4,-10.873632065056588
2021-07-12,1.7555767624044818,-0.002614243723409855,5,1,4,-9.298704613531523
2021-07-13,1.718951666487945,-0.020862144396565297,5,1,4,-11.57957261941756
2021-07-14,1.7275002731121438,0.00497315124727427,5,1,4,-10.129724471625037
2021-07-15,1.7218806789929908,-0.003253020683481141,5,1,4,-10.209998575407562
2021-07-16,1.7367539972887696,0.008637833316346427,5,1,4,-7.699714885583414
2021-07-17,1.7441107641192857,0.004235929119495845,5,1,4,-4.770578480951122
2021-07-18,1.7509389682439256,0.0039150060105775115,5,1,4,-5.9911580146533385
2021-07-19,1.8338559482443235,0.04735572256042602,5,1,4,-2.9819346509693165
2021-07-20,1.8305877966243789,-0.0017821201403923105,5,1,4,-0.8691276162941443
2021-07-21,1.790088746405195,-0.022123522452113086,5,1,4,-2.9999243429573488
2021-07-22,1.7343310709701987,-0.031147995062796367,5,1,4,-1.2020340542016283
2021-07-23,1.795289551524875,0.03514812227896938,5,1,4,1.2370466153710964
2021-07-24,1.9311402016664263,0.07567060702055729,5,1,4,8.90962916773974
2021-07-25,1.847067961456272,-0.04353502668403171,5,1,4,0.920544646096648
