date,symbol,signal,kurtosis,kurtosis_rank,kurtosis_percentile,returns_mean_30d,returns_std_30d
2022-05-09,OXT/USD,SHORT,3.2178816360746145,6.0,85.71428571428571,-0.022265700855582347,0.05550580629111048
2022-05-09,ZRX/USD,SHORT,6.5151275090231096,7.0,100.0,-0.015727304053075503,0.10682687814936317
2022-05-16,CRO/USD,LONG,0.3525407350709511,1.0,14.285714285714285,-0.024917128805381963,0.07117488174848519
2022-05-16,GRT/USD,SHORT,5.1554128271469,7.0,100.0,-0.024514758107435433,0.12362243083454258
2022-05-16,ZRX/USD,SHORT,3.308410628695693,6.0,85.71428571428571,-0.019819185166315593,0.12321457958014828
2022-05-23,CRO/USD,LONG,-0.23806695675042722,1.0,16.666666666666664,-0.026125937504344,0.07529976755409833
2022-05-23,GRT/USD,SHORT,4.320253265538744,6.0,100.0,-0.027615192566015096,0.12652950526080992
2022-05-23,OXT/USD,SHORT,0.879384439136373,5.0,83.33333333333334,-0.01984705515710048,0.09445077795973836
2022-05-30,CRO/USD,LONG,-0.37263115377345013,1.0,14.285714285714285,-0.02041925804146653,0.07842260776524422
2022-05-30,GRT/USD,SHORT,4.660999194729017,7.0,100.0,-0.02240584291878344,0.12604649287924538
2022-05-30,ROSE/USD,SHORT,4.138443137566462,6.0,85.71428571428571,-0.027779647678035733,0.12527718762053042
2022-06-06,XLM/USD,LONG,-0.052325133242593136,1.0,14.285714285714285,-0.004853295346327888,0.06465504821915556
2022-06-06,GRT/USD,SHORT,4.5475224204113385,7.0,100.0,-0.020343801425711676,0.1269877023687856
2022-06-06,ROSE/USD,SHORT,4.118563725408027,6.0,85.71428571428571,-0.027264899637950757,0.12549319418076588
2022-06-13,XLM/USD,LONG,-0.802183636092074,1.0,14.285714285714285,-0.008582167279081235,0.051688130850289254
2022-06-13,CRO/USD,SHORT,0.8797472233511701,7.0,100.0,-0.016053707840498463,0.057048552602176866
2022-06-13,ROSE/USD,SHORT,0.1784323044317082,6.0,85.71428571428571,-0.014011756948555946,0.07719204143760743
2022-06-20,LINK/USD,LONG,-0.9182779307548343,1.0,11.11111111111111,-0.000361288952357261,0.07776978632289448
2022-06-20,CRO/USD,SHORT,0.7738406995098783,9.0,100.0,-0.01661851770580588,0.05798167588107409
2022-06-20,ZRX/USD,SHORT,-0.35614712681936833,8.0,88.88888888888889,-0.01564392477782913,0.060888061618802836
2022-06-27,LINK/USD,LONG,-0.8877558907618468,1.0,11.11111111111111,-0.0001168967679188312,0.07776836072406779
2022-06-27,CRO/USD,SHORT,1.1081152234398113,9.0,100.0,-0.010495452971732577,0.05819211312183467
2022-06-27,ZRX/USD,SHORT,-0.024076170298633848,8.0,88.88888888888889,-0.005326207684123396,0.06100025177829527
2022-07-04,XTZ/USD,LONG,-0.8458387296047616,1.0,11.11111111111111,-0.007303209473965881,0.06817432188241206
2022-07-04,CRO/USD,SHORT,1.6778634159917525,9.0,100.0,-0.013945135029870038,0.05453057363363282
2022-07-04,OXT/USD,SHORT,0.06711584186551933,8.0,88.88888888888889,-0.007444460938920162,0.0515615421700959
2022-07-11,ROSE/USD,LONG,-0.5085710523687075,1.0,16.666666666666664,-0.007166687998167905,0.056346484980807326
2022-07-11,CRO/USD,SHORT,1.8540808239103903,6.0,100.0,-0.010137480091856436,0.054830988259638114
2022-07-11,ZRX/USD,SHORT,0.12391021071048947,5.0,83.33333333333334,-0.005352839930816294,0.061043203765387036
2022-07-18,ALGO/USD,LONG,-1.1210843979717988,1.0,16.666666666666664,0.006562649489009334,0.038858634332793254
2022-07-18,ROSE/USD,SHORT,-0.2182754101333506,6.0,100.0,0.007903087723057992,0.04558363364625802
2022-07-18,ZRX/USD,SHORT,-0.30540140930215065,5.0,83.33333333333334,0.00865301211593303,0.047375438246654356
2022-07-25,ALGO/USD,LONG,-0.7323182959654981,1.0,20.0,-0.00405422434436488,0.040971998406556055
2022-07-25,CRO/USD,SHORT,0.1702310895596022,5.0,100.0,-0.0023867583878928057,0.0347593856707444
2022-07-25,ROSE/USD,SHORT,-0.2967347906813469,4.0,80.0,-0.004594236654156412,0.04589210370084122
2022-08-01,GRT/USD,LONG,-0.21943023134914164,1.0,20.0,0.009054345448042426,0.05694253022408817
2022-08-01,CRO/USD,SHORT,0.22558702479323545,4.0,80.0,0.006793629986891814,0.03646722205184131
2022-08-01,ROSE/USD,SHORT,5.829135893378297,5.0,100.0,0.016595549304116185,0.07466436215999273
2022-08-08,XLM/USD,LONG,-0.4106109289218738,1.0,20.0,0.004814639571313119,0.03467781824355406
2022-08-08,CRO/USD,SHORT,-0.06902028479088651,4.0,80.0,0.006361528307350092,0.040257882903250435
2022-08-08,ROSE/USD,SHORT,3.1762318772366305,5.0,100.0,0.025040816059185043,0.0841006822200487
2022-08-15,GRT/USD,LONG,-0.1740262887598072,1.0,20.0,0.009407748922807206,0.06199746009966651
2022-08-15,CRO/USD,SHORT,0.3573254606805851,4.0,80.0,0.006917916169935285,0.03798320368226126
2022-08-15,ROSE/USD,SHORT,3.053487490254656,5.0,100.0,0.020195792779775443,0.08584386222533996
2022-08-22,GRT/USD,LONG,0.08125200522890186,1.0,20.0,0.0015663867511172278,0.060762442820786036
2022-08-22,CRO/USD,SHORT,2.55640867093964,4.0,80.0,0.0004985006982914475,0.04329410304601416
2022-08-22,ROSE/USD,SHORT,3.164404706914655,5.0,100.0,0.00788906553269448,0.08917114007854364
2022-08-29,XLM/USD,LONG,0.005371604092412774,1.0,20.0,-0.0040685343994725605,0.029433245696003352
2022-08-29,CRO/USD,SHORT,2.7540315271839564,4.0,80.0,-0.0038657256362071304,0.04176544330154042
2022-08-29,ROSE/USD,SHORT,3.2867124276518673,5.0,100.0,-0.008156357382135982,0.06580393085199258
2022-09-05,XLM/USD,LONG,0.20320896956634638,1.0,20.0,-0.004953295060668445,0.028297621493341703
2022-09-05,CRO/USD,SHORT,4.740856065776148,5.0,100.0,-0.006128103358757247,0.03643703530568611
2022-09-05,ROSE/USD,SHORT,4.191121861921446,4.0,80.0,-0.009637402319570158,0.06369735425983045
2022-09-12,GRT/USD,LONG,-0.13453397747409657,1.0,20.0,-0.0038452370583205247,0.04985745983446549
2022-09-12,CRO/USD,SHORT,3.763342734214172,5.0,100.0,-0.007862336861781078,0.03752620638234159
2022-09-12,XLM/USD,SHORT,1.9288022399323097,4.0,80.0,-0.003597802420366857,0.030942293218020233
2022-09-19,ALGO/USD,LONG,-0.05446912223790612,1.0,16.666666666666664,0.0018250171590469347,0.03988683236072628
2022-09-19,GRT/USD,SHORT,1.4674623560995803,6.0,100.0,-0.0005552961995546272,0.057028562859456206
2022-09-19,ROSE/USD,SHORT,0.9040224873721234,5.0,83.33333333333334,-0.005374505714779121,0.05206550588845531
2022-09-26,ALGO/USD,LONG,-0.40955782178448086,1.0,16.666666666666664,0.008130089925596972,0.04434519502661141
2022-09-26,CRO/USD,SHORT,1.4245875699477368,5.0,83.33333333333334,-0.001387319827536462,0.04383529927026673
2022-09-26,GRT/USD,SHORT,1.671346664684557,6.0,100.0,-0.0003236271375653564,0.054144298122436714
2022-10-03,XLM/USD,LONG,-0.34863432211485623,1.0,16.666666666666664,0.003456890655275625,0.04529717393463189
2022-10-03,CRO/USD,SHORT,1.570828226110522,5.0,83.33333333333334,-0.002971398384288347,0.043525405431473256
2022-10-03,GRT/USD,SHORT,2.099388983607138,6.0,100.0,-0.0013702848355895052,0.0524963535985727
2022-10-10,XLM/USD,LONG,-0.16168443538017163,1.0,20.0,0.0025137851222746957,0.042051298270934144
2022-10-10,CRO/USD,SHORT,2.7772912414870667,4.0,80.0,-0.006141859779126183,0.04085582453562989
2022-10-10,GRT/USD,SHORT,3.2641112896821447,5.0,100.0,-0.008454303437602778,0.04782323525128585
2022-10-17,XLM/USD,LONG,0.24650994745179133,1.0,20.0,0.00025893055338252496,0.03884411887399127
2022-10-17,CRO/USD,SHORT,4.307206062458157,5.0,100.0,-0.0004227109788133267,0.03556004592418511
2022-10-17,ROSE/USD,SHORT,1.6930163504553546,4.0,80.0,-0.002239090742724427,0.03619816481394046
