date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,expected_funding_daily,daily_return,log_return
2024-06-23,36015.90910281416,1,2,0.5,0.4999999999999999,8.326672684688674e-17,0.9999999999999999,0.027303264335159998,0.04496985169957268,0.043988034952347876
2024-06-24,36464.103754493975,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.061410925104213795,0.01244435203344052,0.012367557533521896
2024-06-25,35542.48202074697,1,3,0.5,0.5,2.7755575615628914e-17,1.0,0.020945690483429997,-0.025274767205362147,-0.0255996602192197
2024-06-26,36550.8175573711,2,2,0.5,0.5,5.551115123125783e-17,1.0,0.03323039075669757,0.02836986837428923,0.027974896460997142
2024-06-27,35691.655694201945,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.02507768714898879,-0.02350595473878503,-0.023786626726787174
2024-06-28,35573.05901342851,2,4,0.5,0.5,5.551115123125783e-17,1.0,0.02231209862447487,-0.0033228125304566314,-0.0033283453317203013
2024-06-29,35637.35356488061,2,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.03770518281716258,0.001807394506832427,0.001805763134773582
2024-06-30,36475.438788022366,2,3,0.5,0.49999999999999994,9.71445146547012e-17,1.0,0.053578100281924175,0.023517044317445057,0.02324477895313717
2024-07-01,36135.86644845146,3,3,0.5,0.5,0.0,1.0,0.03602853882223464,-0.009309616302200951,-0.009353221623594527
2024-07-02,36181.27631519995,2,3,0.5,0.5,0.0,1.0,0.030133902183849558,0.0012566425330708952,0.0012558536186960073
2024-07-03,35929.693098797994,1,3,0.5,0.5,-1.3877787807814457e-17,1.0,0.049808518944887616,-0.0069534091116699726,-0.006977696714046301
2024-07-04,36629.084774729185,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.033655407775215,0.019465562202494624,0.01927853135688732
2024-07-05,37171.75857901868,4,1,0.5,0.5,1.3877787807814457e-17,1.0,0.09065293155713167,0.014815379844376864,0.014706704170495768
2024-07-06,36869.078151042784,4,4,0.49999999999999994,0.5,-8.326672684688674e-17,1.0,0.06869504917516064,-0.008142752442891976,-0.008176085724661282
2024-07-07,37320.85103631134,4,1,0.49999999999999994,0.5,-4.163336342344337e-17,1.0,0.0567395337774459,0.012253435885154484,0.012178970229292036
2024-07-08,37661.38259949942,3,2,0.5,0.5,2.7755575615628914e-17,1.0,0.05477086529505022,0.009124431885456197,0.009083055755508796
2024-07-09,37807.74005866403,2,2,0.5,0.49999999999999994,8.326672684688674e-17,1.0,0.06924001773136662,0.0038861414282373996,0.0038786098867549116
2024-07-10,36965.30826912715,2,2,0.5,0.5,0.0,1.0,0.03848734136940005,-0.02228199274089726,-0.022533986660062382
2024-07-11,36169.36537866138,2,2,0.5,0.5,0.0,1.0,0.04337835862227563,-0.021532158873689866,-0.021767358167630944
2024-07-12,37136.041695937216,2,1,0.5,0.5,2.7755575615628914e-17,1.0,0.05896594380914162,0.026726383146499444,0.026375472028266504
2024-07-13,37346.331609708264,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.0285585,0.005662690587566077,0.005646717826055974
2024-07-14,37810.88349729522,4,3,0.5,0.5,2.7755575615628914e-17,1.0,0.03913357323841259,0.012439023260485182,0.012362294244761303
2024-07-15,37194.94944505148,3,4,0.5,0.5,0.0,1.0,0.05117353508465433,-0.01628986141748834,-0.016423999936775444
2024-07-16,37383.79701056092,3,4,0.5,0.5,0.0,1.0,0.05025435643550601,0.005077236784215122,0.005064391079642418
2024-07-17,36992.68012197978,4,1,0.5,0.5,2.7755575615628914e-17,1.0,0.047882928314644274,-0.010462203410494975,-0.01051731700404147
2024-07-18,37814.92925931609,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.025605589687206425,0.0222273469947305,0.021983920070618647
2024-07-19,38222.28346501326,2,3,0.5,0.49999999999999994,1.3877787807814457e-17,1.0,0.022537319715402723,0.010772311721218175,0.010714703716297128
2024-07-20,40338.478021398536,1,0,0.5,0.0,0.5,0.5,0.0022935,0.05536546654315755,0.053887120725611304
2024-07-21,41295.98957599134,2,1,0.5,0.5,0.0,1.0,0.020380772301787253,0.02373692815293804,0.023459587510644236
2024-07-22,41030.845209286555,2,2,0.5,0.5,2.7755575615628914e-17,1.0,0.03371126434299682,-0.006420583921760148,-0.006441284524920093
2024-07-23,40193.781055814114,4,0,0.5,0.0,0.5,0.5,0.02758456674413292,-0.02040085085264065,-0.02061182247600082
2024-07-24,39700.91217501235,3,2,0.5,0.5,8.326672684688674e-17,1.0,0.046785598563596396,-0.01226231690214341,-0.012338119423806072
2024-07-25,40504.19271506801,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.033737406667282234,0.020233301857513597,0.020031328453364118
2024-07-26,41576.890429200255,4,1,0.5,0.5,0.0,1.0,0.03698335409850889,0.026483621625994935,0.0261390017976798
2024-07-27,41064.88126022421,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.023241375601660647,-0.012314753789678612,-0.012391208700810548
2024-07-28,41884.96718184064,5,1,0.5,0.5,2.7755575615628914e-17,1.0,0.03705041397798794,0.0199704929479676,0.01977369839535839
2024-07-29,41054.13098002415,3,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.02508343864943497,-0.019836143077526458,-0.020035520352739398
2024-07-30,40860.24301702877,3,2,0.5,0.5,0.0,1.0,0.054985959818081506,-0.004722739426386124,-0.004733926797487534
2024-07-31,42240.98052964219,1,2,0.5,0.5,0.0,1.0,0.033273,0.03379171073549392,0.03323331549992285
2024-08-01,41323.80441184972,5,1,0.5,0.5,0.0,1.0,0.048212431086515795,-0.021712945729298383,-0.021952140489165644
2024-08-02,40302.059301741974,3,3,0.5,0.5,-5.551115123125783e-17,1.0,0.07491618970088568,-0.024725339901540133,-0.02503614498994853
2024-08-03,40255.49620174695,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,0.053362624702175294,-0.0011553528728247553,-0.0011560208074714992
2024-08-04,41451.75842580109,4,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.06549662596366077,0.02971674272896485,0.0292837573609114
