date,portfolio_value,num_positions,positions
2022-11-21,101226.02856233178,0,None
2022-11-22,101226.02856233178,0,None
2022-11-23,101226.02856233178,0,None
2022-11-24,101226.02856233178,0,None
2022-11-25,101226.02856233178,0,None
2022-11-26,101226.02856233178,0,None
2022-11-27,101226.02856233178,0,None
2022-11-28,101226.02856233178,0,None
2022-11-29,101226.02856233178,0,None
2022-11-30,101226.02856233178,0,None
2022-12-01,101226.02856233178,0,None
2022-12-02,101226.02856233178,0,None
2022-12-03,101226.02856233178,0,None
2022-12-04,101226.02856233178,0,None
2022-12-05,101226.02856233178,1,LTC/USD
2022-12-06,100809.56441290441,1,LTC/USD
2022-12-07,97061.38706805806,1,LTC/USD
2022-12-08,98802.9644202089,1,LTC/USD
2022-12-09,96316.79964938488,1,LTC/USD
2022-12-10,96379.90027808602,1,LTC/USD
2022-12-11,96556.58203844915,0,None
2022-12-12,96556.58203844915,0,None
2022-12-13,96556.58203844915,0,None
2022-12-14,96556.58203844915,0,None
2022-12-15,96556.58203844915,0,None
2022-12-16,96556.58203844915,0,None
2022-12-17,96556.58203844915,0,None
2022-12-18,96556.58203844915,0,None
2022-12-19,96556.58203844915,0,None
2022-12-20,96556.58203844915,0,None
2022-12-21,96556.58203844915,0,None
2022-12-22,96556.58203844915,0,None
2022-12-23,96556.58203844915,0,None
2022-12-24,96556.58203844915,0,None
2022-12-25,96556.58203844915,0,None
2022-12-26,96556.58203844915,0,None
2022-12-27,96556.58203844915,0,None
2022-12-28,96556.58203844915,0,None
2022-12-29,96556.58203844915,0,None
2022-12-30,96556.58203844915,0,None
2022-12-31,96556.58203844915,0,None
2023-01-01,96556.58203844915,0,None
2023-01-02,96556.58203844915,0,None
2023-01-03,96556.58203844915,0,None
2023-01-04,96556.58203844915,0,None
2023-01-05,96556.58203844915,0,None
2023-01-06,96556.58203844915,0,None
2023-01-07,96556.58203844915,0,None
2023-01-08,96556.58203844915,0,None
2023-01-09,96556.58203844915,0,None
2023-01-10,96556.58203844915,0,None
2023-01-11,96556.58203844915,1,LTC/USD
2023-01-12,98888.08984787049,1,LTC/USD
2023-01-13,99071.85401018943,1,LTC/USD
2023-01-14,100898.01037323372,1,LTC/USD
2023-01-15,100346.71788627697,1,LTC/USD
2023-01-16,98704.32568555158,1,LTC/USD
2023-01-17,99921.76326091445,1,LTC/USD
2023-01-18,94914.1898377238,1,LTC/USD
2023-01-19,96740.3462007681,1,LTC/USD
2023-01-20,103700.41384859731,2,"LCX/USD, LTC/USD"
2023-01-21,99664.49885355317,2,"LCX/USD, LTC/USD"
2023-01-22,101548.63334030096,2,"LCX/USD, LTC/USD"
2023-01-23,103664.85424776902,2,"LCX/USD, LTC/USD"
2023-01-24,103550.6520986801,2,"LCX/USD, LTC/USD"
2023-01-25,113255.2509296756,2,"LCX/USD, LTC/USD"
2023-01-26,108533.41436359257,2,"LCX/USD, LTC/USD"
2023-01-27,112717.20516691463,2,"LCX/USD, LTC/USD"
2023-01-28,111933.96278385224,2,"LCX/USD, LTC/USD"
2023-01-29,116137.47687639535,2,"LCX/USD, LTC/USD"
2023-01-30,111574.00937302256,3,"DASH/USD, LCX/USD, LTC/USD"
2023-01-31,113183.3844636232,4,"DASH/USD, EGLD/USD, LTC/USD, MAGIC/USD"
2023-02-01,120924.38506739671,4,"DASH/USD, EGLD/USD, LTC/USD, MAGIC/USD"
2023-02-02,120221.91884443982,4,"DASH/USD, EGLD/USD, LTC/USD, MAGIC/USD"
2023-02-03,123504.46579824352,3,"DASH/USD, LTC/USD, MAGIC/USD"
2023-02-04,121690.08591807034,3,"DASH/USD, LTC/USD, MAGIC/USD"
2023-02-05,117926.05893497085,3,"DASH/USD, LTC/USD, MAGIC/USD"
2023-02-06,120044.1695821014,3,"DASH/USD, LTC/USD, MAGIC/USD"
2023-02-07,127734.58226628933,3,"DASH/USD, GRT/USD, MAGIC/USD"
2023-02-08,118173.06494754017,4,"DASH/USD, EGLD/USD, GRT/USD, MAGIC/USD"
2023-02-09,104509.18281437377,4,"DASH/USD, EGLD/USD, GRT/USD, LDO/USD"
2023-02-10,103612.4086783906,4,"DASH/USD, EGLD/USD, GRT/USD, LDO/USD"
2023-02-11,108050.71665095867,4,"DASH/USD, EGLD/USD, GRT/USD, LDO/USD"
2023-02-12,108575.30742254067,4,"DASH/USD, EGLD/USD, GRT/USD, LDO/USD"
2023-02-13,105172.50820462406,3,"DASH/USD, EGLD/USD, LDO/USD"
2023-02-14,112749.37415639903,2,"DASH/USD, LDO/USD"
2023-02-15,122847.4610636456,3,"DASH/USD, IMX/USD, LTC/USD"
2023-02-16,117767.98898472569,7,"BTC/USD, DASH/USD, EGLD/USD, IMX/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-17,122274.35857328153,7,"BTC/USD, DASH/USD, EGLD/USD, IMX/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-18,123155.36414421443,7,"BTC/USD, DASH/USD, EGLD/USD, IMX/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-19,119413.29985411832,7,"BTC/USD, DASH/USD, EGLD/USD, IMX/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-20,121021.69141035281,7,"BTC/USD, DASH/USD, EGLD/USD, IMX/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-21,118649.24745366468,7,"BCH/USD, BTC/USD, DASH/USD, EGLD/USD, LDO/USD, LTC/USD, MAGIC/USD"
2023-02-22,118094.58591667587,4,"BCH/USD, BTC/USD, EGLD/USD, LDO/USD"
2023-02-23,117647.51282290994,4,"BCH/USD, BTC/USD, EGLD/USD, LDO/USD"
2023-02-24,113492.6710060539,3,"BCH/USD, BTC/USD, EGLD/USD"
2023-02-25,113216.97561353871,4,"AUDIO/USD, BCH/USD, BTC/USD, EGLD/USD"
2023-02-26,115413.99471695998,4,"AUDIO/USD, BCH/USD, BTC/USD, EGLD/USD"
2023-02-27,113775.42690143459,1,AUDIO/USD
2023-02-28,105439.60764579721,1,AUDIO/USD
2023-03-01,108671.86409186068,1,AUDIO/USD
2023-03-02,102683.68372862728,0,None
2023-03-03,102683.68372862728,0,None
2023-03-04,102683.68372862728,0,None
2023-03-05,102683.68372862728,0,None
2023-03-06,102683.68372862728,0,None
2023-03-07,102683.68372862728,0,None
2023-03-08,102683.68372862728,0,None
2023-03-09,102683.68372862728,0,None
2023-03-10,102683.68372862728,0,None
2023-03-11,102683.68372862728,0,None
2023-03-12,102683.68372862728,0,None
2023-03-13,102683.68372862728,0,None
2023-03-14,102683.68372862728,1,BTC/USD
2023-03-15,101085.16607237689,2,"BTC/USD, IMX/USD"
2023-03-16,103657.79881300232,2,"BTC/USD, IMX/USD"
2023-03-17,119749.16635364197,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-18,117553.79867951486,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-19,119563.0031160278,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-20,114758.60731284782,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-21,117560.82938250358,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-22,112750.18415772992,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-23,117116.76646887738,3,"BTC/USD, ETH/USD, IMX/USD"
2023-03-24,112015.52101937098,2,"BTC/USD, ETH/USD"
2023-03-25,111744.10914218365,2,"BTC/USD, ETH/USD"
2023-03-26,113797.2551919383,2,"BTC/USD, ETH/USD"
2023-03-27,110159.63879631934,2,"BTC/USD, ETH/USD"
2023-03-28,112298.61880267557,1,ETH/USD
2023-03-29,113546.52192981137,0,None
2023-03-30,113546.52192981137,1,BTC/USD
2023-03-31,115324.19220353,1,BTC/USD
2023-04-01,115312.28490697313,1,BTC/USD
2023-04-02,114165.62034875019,1,BTC/USD
2023-04-03,112640.47386425594,1,BTC/USD
2023-04-04,114130.384471184,2,"BTC/USD, ETH/USD"
2023-04-05,115307.10276332374,1,ETH/USD
2023-04-06,113156.08074572094,1,ETH/USD
2023-04-07,112656.53140324482,1,ETH/USD
2023-04-08,111752.87261685511,1,ETH/USD
2023-04-09,112343.63350795748,2,"BNT/USD, ETH/USD"
2023-04-10,110057.36990419017,3,"BNT/USD, BTC/USD, ETH/USD"
2023-04-11,109243.31009153339,2,"BNT/USD, BTC/USD"
2023-04-12,108828.75248451084,2,"BNT/USD, BTC/USD"
2023-04-13,110076.121793522,3,"BNT/USD, BTC/USD, ETH/USD"
2023-04-14,112427.92618211228,3,"BNT/USD, BTC/USD, ETH/USD"
2023-04-15,111865.37062901724,3,"BNT/USD, BTC/USD, ETH/USD"
2023-04-16,112427.92097925793,2,"BTC/USD, ETH/USD"
2023-04-17,109583.79164059689,3,"AUDIO/USD, BTC/USD, ETH/USD"
2023-04-18,111281.20629301327,3,"AUDIO/USD, BTC/USD, ETH/USD"
2023-04-19,102851.51442276577,3,"AUDIO/USD, BTC/USD, ETH/USD"
2023-04-20,100794.48435907654,2,"AUDIO/USD, ETH/USD"
2023-04-21,95422.12184589873,2,"AUDIO/USD, ETH/USD"
2023-04-22,98270.24467507712,2,"ARB/USD, AUDIO/USD"
2023-04-23,93826.31140583195,1,ARB/USD
2023-04-24,93567.60557663336,0,None
2023-04-25,93567.60557663336,0,None
2023-04-26,93567.60557663336,0,None
2023-04-27,93567.60557663336,0,None
2023-04-28,93567.60557663336,0,None
2023-04-29,93567.60557663336,0,None
2023-04-30,93567.60557663336,0,None
2023-05-01,93567.60557663336,0,None
2023-05-02,93567.60557663336,0,None
2023-05-03,93567.60557663336,0,None
2023-05-04,93567.60557663336,0,None
2023-05-05,93567.60557663336,0,None
2023-05-06,93567.60557663336,0,None
2023-05-07,93567.60557663336,0,None
2023-05-08,93567.60557663336,0,None
2023-05-09,93567.60557663336,0,None
2023-05-10,93567.60557663336,0,None
2023-05-11,93567.60557663336,0,None
2023-05-12,93567.60557663336,0,None
2023-05-13,93567.60557663336,0,None
2023-05-14,93567.60557663336,0,None
2023-05-15,93567.60557663336,0,None
2023-05-16,93567.60557663336,0,None
2023-05-17,93567.60557663336,0,None
2023-05-18,93567.60557663336,0,None
2023-05-19,93567.60557663336,0,None
2023-05-20,93567.60557663336,0,None
2023-05-21,93567.60557663336,0,None
2023-05-22,93567.60557663336,0,None
2023-05-23,93567.60557663336,1,KAVA/USD
2023-05-24,83698.78349591383,1,KAVA/USD
2023-05-25,78406.28747439587,1,KAVA/USD
2023-05-26,80375.75487076589,1,KAVA/USD
2023-05-27,80655.06115606926,1,KAVA/USD
2023-05-28,82939.64333585846,1,KAVA/USD
2023-05-29,80776.81004966304,0,None
2023-05-30,80776.81004966304,0,None
2023-05-31,80776.81004966304,0,None
2023-06-01,80776.81004966304,0,None
2023-06-02,80776.81004966304,0,None
2023-06-03,80776.81004966304,0,None
2023-06-04,80776.81004966304,0,None
2023-06-05,80776.81004966304,0,None
2023-06-06,80776.81004966304,0,None
2023-06-07,80776.81004966304,0,None
2023-06-08,80776.81004966304,0,None
2023-06-09,80776.81004966304,0,None
2023-06-10,80776.81004966304,0,None
2023-06-11,80776.81004966304,0,None
2023-06-12,80776.81004966304,0,None
2023-06-13,80776.81004966304,0,None
2023-06-14,80776.81004966304,0,None
2023-06-15,80776.81004966304,0,None
2023-06-16,80776.81004966304,0,None
2023-06-17,80776.81004966304,0,None
2023-06-18,80776.81004966304,0,None
2023-06-19,80776.81004966304,0,None
2023-06-20,80776.81004966304,0,None
2023-06-21,80776.81004966304,0,None
2023-06-22,80776.81004966304,0,None
2023-06-23,80776.81004966304,2,"BCH/USD, BTC/USD"
2023-06-24,83784.54227707718,2,"BCH/USD, BTC/USD"
2023-06-25,81755.94288526016,2,"BCH/USD, BTC/USD"
2023-06-26,84255.83949815284,2,"BCH/USD, BTC/USD"
2023-06-27,85719.3056202534,2,"BCH/USD, BTC/USD"
2023-06-28,83952.98896281407,2,"BCH/USD, BTC/USD"
2023-06-29,87120.02794677034,1,BCH/USD
2023-06-30,104703.66585838994,2,"BCH/USD, LTC/USD"
2023-07-01,101970.51621120945,2,"BCH/USD, LTC/USD"
2023-07-02,106743.05423999448,2,"BCH/USD, LTC/USD"
2023-07-03,102174.35766973889,2,"BCH/USD, LTC/USD"
2023-07-04,97646.14374527789,2,"BCH/USD, LTC/USD"
2023-07-05,96678.08957216513,2,"BCH/USD, LTC/USD"
2023-07-06,92873.44844773799,2,"BTC/USD, LTC/USD"
2023-07-07,94657.73487822585,2,"BTC/USD, LTC/USD"
2023-07-08,94412.66737348525,2,"BTC/USD, LTC/USD"
2023-07-09,93488.24037048433,1,BTC/USD
2023-07-10,94267.64010409881,1,BTC/USD
2023-07-11,94908.05499395913,1,BTC/USD
2023-07-12,94149.63468937956,0,None
2023-07-13,94149.63468937956,1,BTC/USD
2023-07-14,90735.34579777917,2,"BTC/USD, OSMO/USD"
2023-07-15,89453.03535447632,2,"BTC/USD, OSMO/USD"
2023-07-16,88025.43149994595,2,"BTC/USD, OSMO/USD"
2023-07-17,87561.53490762234,2,"BTC/USD, OSMO/USD"
2023-07-18,86751.77686104653,2,"BTC/USD, OSMO/USD"
2023-07-19,86684.05383445485,1,OSMO/USD
2023-07-20,87862.38317144802,0,None
2023-07-21,87862.38317144802,0,None
2023-07-22,87862.38317144802,0,None
2023-07-23,87862.38317144802,0,None
2023-07-24,87862.38317144802,0,None
2023-07-25,87862.38317144802,0,None
2023-07-26,87862.38317144802,0,None
2023-07-27,87862.38317144802,0,None
2023-07-28,87862.38317144802,0,None
2023-07-29,87862.38317144802,0,None
2023-07-30,87862.38317144802,0,None
2023-07-31,87862.38317144802,0,None
2023-08-01,87862.38317144802,0,None
2023-08-02,87862.38317144802,0,None
2023-08-03,87862.38317144802,0,None
2023-08-04,87862.38317144802,0,None
2023-08-05,87862.38317144802,0,None
2023-08-06,87862.38317144802,0,None
2023-08-07,87862.38317144802,0,None
2023-08-08,87862.38317144802,1,BNT/USD
2023-08-09,84644.21428647386,1,BNT/USD
2023-08-10,98138.21946257839,1,BNT/USD
2023-08-11,88149.15069585167,1,BNT/USD
2023-08-12,83481.21265972577,1,BNT/USD
2023-08-13,77857.38287558776,1,BNT/USD
2023-08-14,77299.77935591401,1,BNT/USD
2023-08-15,69190.63102694447,0,None
2023-08-16,69190.63102694447,0,None
2023-08-17,69190.63102694447,0,None
2023-08-18,69190.63102694447,0,None
2023-08-19,69190.63102694447,0,None
2023-08-20,69190.63102694447,0,None
2023-08-21,69190.63102694447,1,BLZ/USD
2023-08-22,63267.11657211971,1,BLZ/USD
2023-08-23,64909.77184110472,1,BLZ/USD
2023-08-24,62172.01305946304,1,BLZ/USD
2023-08-25,58588.0379271321,1,BLZ/USD
