date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-03-19,11082.832835608788,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-20,11298.962611831064,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-21,11310.63683882353,0,3,0.0,0.49999999999999994,-0.49999999999999994,0.49999999999999994,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-22,11304.18862798367,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-23,11171.85299749352,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-24,10991.723942972914,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-25,10983.944037303025,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-26,11102.39433150735,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-27,11089.230834861683,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-28,11357.73421710856,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-29,11529.944149902776,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-30,11556.306303323126,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-31,11537.445274185267,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-01,11353.177676141288,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-02,11648.253300847302,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-03,11608.713509420253,0,4,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-04,11517.342979818912,0,4,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-05,11549.68873640844,0,4,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-04-06,12211.16164449939,0,4,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
