date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_spread_long,avg_spread_short
2021-10-06,10512.7116275525,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-07,10507.730060515223,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-08,10602.253131181622,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-09,10017.547187343023,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-10,9840.71337783735,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-11,9985.737651578727,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-12,10013.36918587786,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-13,10368.553133711175,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-14,10354.07180673133,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-15,10194.72593302947,0,5301.126565590811,5301.126565590811,0.0,10602.253131181622,2,1,11.029375587485882,-18.15721484957459
2021-10-16,10345.510137340416,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-17,10264.128304257227,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-18,10240.258239546136,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-19,10334.301204430816,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-20,10274.95828068433,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-21,10267.626154282874,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-22,10217.891662384634,0,5097.362966514735,5097.362966514735,0.0,10194.72593302947,2,1,3.3433113185819003,-26.934812866897214
2021-10-23,9969.66719840524,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-24,10282.231658607321,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-25,10548.529887100258,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-26,10423.259827916718,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-27,10409.849838293465,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-28,10332.28431024936,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2021-10-29,10232.379751881688,0,5108.945831192317,5108.945831192317,0.0,10217.891662384634,2,1,-15.155160946731911,-58.76557983861025
2022-06-18,9686.969478525309,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-19,9899.199497390036,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-20,10039.884529079776,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-21,9749.50988645514,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-22,9810.312695148323,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-23,9786.445863934503,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-24,9788.93789541785,0,5116.189875940844,5116.189875940844,0.0,10232.379751881688,2,1,-5.683606729482333,-39.177035593220346
2022-06-25,9983.727012714455,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-06-26,9969.759571394403,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-06-27,9412.352166263683,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-06-28,9481.078364629557,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-06-29,9489.306720060486,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-06-30,9765.642325873772,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-07-01,9789.362737833619,0,4894.468947708925,4894.468947708925,0.0,9788.93789541785,2,1,10.706812339433352,-29.565671544715457
2022-07-02,9955.668267973108,0,4894.681368916809,4894.681368916809,0.0,9789.362737833619,2,1,8.833781892878878,-8.851339024390246
2022-07-03,9955.694199076383,0,4894.681368916809,4894.681368916809,0.0,9789.362737833619,2,1,8.833781892878878,-8.851339024390246
2022-07-04,9941.658847068975,0,4894.681368916809,4894.681368916809,0.0,9789.362737833619,2,1,8.833781892878878,-8.851339024390246
2022-07-05,9777.35404193424,0,4894.681368916809,4894.681368916809,0.0,9789.362737833619,2,1,8.833781892878878,-8.851339024390246
