date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions,daily_return,log_return
2025-08-25,50302.558626807186,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.028376552358383322,-0.028786949125949556
2025-08-26,51496.53421546528,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.02373588185674924,0.02345856547393275
2025-08-27,51280.059058421524,8,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.004203684002073049,-0.0042125443210396605
2025-08-28,51476.712991888744,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.003834900682216036,0.0038275661959654515
2025-08-29,50485.29146915871,8,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.019259612067426657,-0.01944749467201078
2025-08-30,50499.586907322744,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.0002831604562048007,0.0002831203738491352
2025-08-31,50376.93413083575,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.00242878771883992,-0.0024317420082622023
2025-09-01,50236.69955043376,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.0027837061310197475,-0.0027875878463083526
2025-09-02,50914.86859849276,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.013499474569943937,0.01340916847854889
2025-09-03,51171.380118724264,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.005038047377757593,0.00502539888176076
2025-09-04,50715.89744755229,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.008901121488519403,-0.008940973129512537
2025-09-05,50970.81531878813,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.005026389831698452,0.005013799705293109
2025-09-06,50729.31761626015,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.004737960360601923,-0.004749220074253751
2025-09-07,51218.77785084926,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.009648468727523785,0.009602219504614816
2025-09-08,51947.71365043375,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.01423180775041466,0.014131486291265687
2025-09-09,52077.99456801335,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.0025079239955831945,0.0025047844023446033
2025-09-10,52669.760746843654,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.011363075397564648,0.011299000590697396
2025-09-11,53215.423030927275,9,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XPL/USDC:USDC, XRP/USDC:USDC",None,0.01036006764310815,0.010306769938147995
