date,symbol,signal,slope,norm_slope,r_squared,trendline_score,trendline_rank,percentile,weight,price,volatility,market_cap,volume_30d_avg,p_value
2021-02-21,ZRX/USD,LONG,0.050926410011123475,500.0,0.800836759553648,500.0,7.0,100.0,0.25,1.725676,2.0868494850431,294490417.9531757,40560497.91513367,2.559217946705654e-11
2021-02-21,ALGO/USD,SHORT,0.038130322580645165,500.0,0.8002678771821181,500.0,1.0,14.285714285714285,-0.5,1.3087,1.8389003292408637,506613483.19005257,64078799.46666667,2.664351233699097e-11
2021-02-28,OXT/USD,LONG,0.007486051167964407,500.0,0.30526026120082755,500.0,7.0,87.5,0.25,0.4539,1.8446727587841454,84970405.6500807,60622896.733333334,0.0015458381278659766
2021-02-28,ZRX/USD,LONG,0.021629278531701882,500.0,0.2785124711731798,500.0,8.0,100.0,0.25,1.212262,2.2103438540300955,294490417.9531757,43191994.10684066,0.002725001367256598
2021-02-28,XLM/USD,SHORT,0.004172984427141268,374.7430344044548,0.26200688131621064,374.7430344044548,1.0,12.5,-0.5,0.406449,1.367393022769759,2989656210.8862576,343853603.23333335,0.0038350938015336913
2021-03-07,BNT/USD,LONG,0.17339159065628473,500.0,0.7986162899344995,500.0,8.0,100.0,0.25,8.4617,1.900509690046869,133939953.40059274,5766432.1120844,2.99277402053483e-11
2021-03-07,GRT/USD,LONG,0.015026006674082305,292.1478951707261,0.09710190982822026,292.1478951707261,7.0,87.5,0.25,1.8773,2.28378944260811,369564933.9037584,81898411.73566668,0.09368409832954307
2021-03-07,ZRX/USD,SHORT,-0.010287870300333705,-265.0262875314992,0.3064345224277025,-265.0262875314992,1.0,12.5,-0.5,1.416868,1.2650155225926472,294490417.9531757,29120419.089336667,0.001507241542071021
2021-03-14,BNT/USD,LONG,0.17051617352614015,500.0,0.7444963342765353,500.0,7.0,100.0,0.25,7.7636,1.917585725687969,133939953.40059274,5691912.276291833,8.65505926352424e-10
2021-03-14,OXT/USD,LONG,-0.002762335928809788,-161.06271789386145,0.11160545691799448,-161.06271789386145,6.0,85.71428571428571,0.25,0.626,1.2822306741475376,84970405.6500807,43792610.2,0.07118630736124855
2021-03-14,XLM/USD,SHORT,-0.004395352836484983,-412.62426803076573,0.6275728119471823,-412.62426803076573,1.0,14.285714285714285,-0.5,0.388805,1.0884016705794304,2989656210.8862576,217678087.8,1.8281152141386855e-07
2021-03-21,ALGO/USD,LONG,0.0036307007786429337,112.29605831748756,0.118048830315888,112.29605831748756,4.0,80.0,0.25,1.1801,1.189594345883346,506613483.19005257,53854346.1,0.06303256773667085
2021-03-21,OXT/USD,LONG,0.0068328587319243595,305.63645063142053,0.38163587743353256,305.63645063142053,5.0,100.0,0.25,0.816,1.3661519160002091,84970405.6500807,39428704.96666667,0.0002754426405872227
2021-03-21,GRT/USD,SHORT,-0.009226473859844268,-198.09782110842104,0.21725433498712735,-198.09782110842104,1.0,20.0,-0.5,1.7,1.3726602140719963,369564933.9037584,43588840.97466667,0.009429240254304775
2021-03-28,OXT/USD,LONG,0.009300222469410455,500.0,0.6745544160827471,500.0,5.0,100.0,0.25,0.6757,1.4331445374022502,84970405.6500807,33773957.233333334,2.6787495743503014e-08
2021-03-28,ZRX/USD,LONG,0.003321743270300332,83.35032236165156,0.1652475675214771,83.35032236165156,4.0,80.0,0.25,1.454627,0.9499932985156924,294490417.9531757,9178707.859969668,0.025802125611463018
2021-03-28,GRT/USD,SHORT,-0.012579911012235816,-252.97049856570285,0.3777415481519433,-252.97049856570285,1.0,20.0,-0.5,1.8151,1.4556873609910046,369564933.9037584,29100513.79566667,0.00030207347757902784
2021-04-04,OXT/USD,LONG,0.007255261401557285,326.6523265780694,0.538224338735499,326.6523265780694,5.0,100.0,0.25,0.8107,1.5357987220723093,84970405.6500807,33362893.666666668,3.975132081592703e-06
2021-04-04,ZRX/USD,LONG,0.01565162580645161,311.4143559441454,0.49907645329142114,311.4143559441454,4.0,80.0,0.25,1.834483,1.048561447821897,294490417.9531757,9638506.742313,1.2842790192756011e-05
2021-04-04,GRT/USD,SHORT,-0.007902803114571748,-164.02383355047695,0.16872193961774204,-164.02383355047695,1.0,20.0,-0.5,1.7586,1.3325834451421323,369564933.9037584,25193642.62866666,0.024147445899977686
