date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2022-08-17,7653.282441317878,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-08-18,7685.4396739794665,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-08-19,7712.1701282967815,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-08-20,7713.655515253503,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-08-21,7708.387679299899,0.5,0.5,0.0,1.0
2022-08-22,7617.546699239562,0.5,0.5,0.0,1.0
2022-08-23,7626.538421786388,0.5,0.5,0.0,1.0
2022-08-24,7656.831745969984,0.5,0.5,0.0,1.0
2022-08-25,7647.979975986986,0.5,0.5,0.0,1.0
2022-08-26,7615.068482617222,0.5,0.5,0.0,1.0
2022-08-27,7543.218069007062,0.5,0.5,0.0,1.0
2022-08-28,7510.4361422744905,0.5,0.5,0.0,1.0
2022-08-29,7544.74618219628,0.5,0.5,0.0,1.0
2022-08-30,7599.206077392361,0.5,0.5,0.0,1.0
2022-08-31,7562.807541150111,0.5,0.5,0.0,1.0
2022-09-01,7496.660475486761,0.5,0.5,0.0,1.0
2022-09-02,7513.77067517194,0.5,0.5,0.0,1.0
2022-09-03,7481.3676724802535,0.5,0.5,0.0,1.0
2022-09-04,7347.986034537578,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-05,7413.89552611451,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-06,7350.334276500459,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-07,7316.670386565305,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-08,7403.691195312011,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-09,7436.04555572738,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-10,7340.373227443675,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-11,7340.971045838279,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-12,7344.591159791921,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-13,7297.29626280319,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-14,7318.4003869752705,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-15,7375.307099375984,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-16,7233.024209406091,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-17,7273.409349425184,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-18,7316.557797310713,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-19,7322.079316316481,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-20,7379.1219789199395,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-21,7305.06182804063,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-22,7310.424623623535,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-23,7340.948448697865,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-24,7410.5770085915665,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-09-25,7422.31663819217,0.5,0.5,0.0,1.0
2022-09-26,7385.219724169395,0.5,0.5,0.0,1.0
2022-09-27,7427.293388849751,0.5,0.5,0.0,1.0
2022-09-28,7405.682173768943,0.5,0.5,0.0,1.0
2022-09-29,7394.920678757044,0.5,0.5,0.0,1.0
2022-09-30,7399.95930241234,0.5,0.5,0.0,1.0
2022-10-01,7425.6086840782755,0.5,0.5,0.0,1.0
2022-10-02,7334.559749444981,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-03,7387.609734187165,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-04,7388.105825558582,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-05,7388.490652819356,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-06,7368.420339278392,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-07,7326.0975219384545,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-08,7317.189705171084,0.5,0.49999999999999994,5.551115123125783e-17,1.0
2022-10-09,7319.94770696202,0.5,0.5,0.0,1.0
2022-10-10,7286.277644380192,0.5,0.5,0.0,1.0
2022-10-11,7287.894829983499,0.5,0.5,0.0,1.0
2022-10-12,7316.221308135852,0.5,0.5,0.0,1.0
2022-10-13,7303.433345992451,0.5,0.5,0.0,1.0
2022-10-14,7299.826882996533,0.5,0.5,0.0,1.0
2022-10-15,7261.536688728303,0.5,0.5,0.0,1.0
2022-10-16,7251.796233608689,0.5,0.5,0.0,1.0
2022-10-17,7261.289842750287,0.5,0.5,0.0,1.0
2022-10-18,7249.980121382966,0.5,0.5,0.0,1.0
2022-10-19,7249.440121619361,0.5,0.5,0.0,1.0
2022-10-20,7250.7037587016175,0.5,0.5,0.0,1.0
2022-10-21,7281.342160482422,0.5,0.5,0.0,1.0
2022-10-22,7274.14982190143,0.5,0.5,0.0,1.0
2022-10-23,7273.097614141547,0.5,0.5,0.0,1.0
2022-10-24,7304.062119114091,0.5,0.5,0.0,1.0
2022-10-25,7310.659583657765,0.5,0.5,0.0,1.0
2022-10-26,7285.215566157366,0.5,0.5,0.0,1.0
2022-10-27,7314.8238625691365,0.5,0.5,0.0,1.0
2022-10-28,7356.872348340534,0.5,0.5,0.0,1.0
2022-10-29,7401.557384405735,0.5,0.5,0.0,1.0
2022-10-30,7402.866264420021,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-10-31,7439.925065217787,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-11-01,7246.290284112301,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
2022-11-02,7017.419730281693,0.49999999999999994,0.5,-5.551115123125783e-17,1.0
