date,Dilution Factor
2021-07-20,-0.0012931008675658995
2021-07-21,-0.021933743895972302
2021-07-22,-0.031044743438152902
2021-07-23,0.03519331159720453
2021-07-24,0.07529935586389845
2021-07-25,-0.04483390618641053
2021-07-26,-0.0078651747950629
2021-07-27,-0.010023253064802038
2021-07-28,0.0007415290984128377
2021-07-29,-0.017945232668332
2021-07-30,-0.020679206315198415
2021-07-31,0.002784157624660105
2021-08-01,-0.006425846547374936
2021-08-02,-0.11123873842606836
2021-08-03,0.05084750787528733
2021-08-04,0.02997101662174259
2021-08-05,-0.033740634824245316
2021-08-06,-0.09968238191598291
2021-08-07,-0.08517740948725945
2021-08-08,0.05082411199197422
2021-08-09,-0.054948252088048585
2021-08-10,-0.02292953386977438
2021-08-11,-0.01794711849790067
2021-08-12,-0.00601904581028244
