date,portfolio_value,method
2020-08-05,7893.8573671802715,Top/Bottom Deciles (10%)
2020-08-06,8046.681215688144,Top/Bottom Deciles (10%)
2020-08-07,8095.4881220181405,Top/Bottom Deciles (10%)
2020-08-08,8134.574115591743,Top/Bottom Deciles (10%)
2020-08-09,8014.215682978135,Top/Bottom Deciles (10%)
2020-08-10,8019.584184623267,Top/Bottom Deciles (10%)
2020-08-11,8029.172230863457,Top/Bottom Deciles (10%)
2020-08-12,8032.303444843605,Top/Bottom Deciles (10%)
2020-08-13,8156.78879341466,Top/Bottom Deciles (10%)
2020-08-14,7991.017697297431,Top/Bottom Deciles (10%)
2020-08-15,7981.305583245167,Top/Bottom Deciles (10%)
2020-08-16,7727.535022117273,Top/Bottom Deciles (10%)
2020-08-17,7899.684167151802,Top/Bottom Deciles (10%)
2020-08-18,7944.693588782096,Top/Bottom Deciles (10%)
2020-08-19,8066.454170354898,Top/Bottom Deciles (10%)
2020-08-20,7892.6527500641505,Top/Bottom Deciles (10%)
2020-08-21,8041.885123054853,Top/Bottom Deciles (10%)
2020-08-22,7987.6014362890355,Top/Bottom Deciles (10%)
2020-08-23,7945.316734744335,Top/Bottom Deciles (10%)
2020-08-24,7998.556440239795,Top/Bottom Deciles (10%)
2020-08-25,8046.29880779482,Top/Bottom Deciles (10%)
2020-08-26,8027.982309509891,Top/Bottom Deciles (10%)
2020-08-27,8109.243892387206,Top/Bottom Deciles (10%)
2020-08-28,8093.748995318389,Top/Bottom Deciles (10%)
2020-08-29,8056.297421522808,Top/Bottom Deciles (10%)
2020-08-30,8100.485300505567,Top/Bottom Deciles (10%)
2020-08-31,8107.739585873372,Top/Bottom Deciles (10%)
2020-09-01,8206.073801750232,Top/Bottom Deciles (10%)
2020-09-02,8182.217483026319,Top/Bottom Deciles (10%)
2020-09-03,8289.711341712149,Top/Bottom Deciles (10%)
2020-09-04,8235.531659283188,Top/Bottom Deciles (10%)
2020-09-05,8427.520005703567,Top/Bottom Deciles (10%)
2020-09-06,8361.234562297892,Top/Bottom Deciles (10%)
2020-09-07,8319.215383882385,Top/Bottom Deciles (10%)
2020-09-08,8284.389183131221,Top/Bottom Deciles (10%)
2020-09-09,8273.257324065184,Top/Bottom Deciles (10%)
2020-09-10,8177.067979251905,Top/Bottom Deciles (10%)
2020-09-11,8034.115507660025,Top/Bottom Deciles (10%)
2020-09-12,8082.697766410676,Top/Bottom Deciles (10%)
2020-09-13,8177.579823553587,Top/Bottom Deciles (10%)
2020-09-14,8271.12894495203,Top/Bottom Deciles (10%)
2020-09-15,8498.379558259696,Top/Bottom Deciles (10%)
2020-09-16,8376.334753208419,Top/Bottom Deciles (10%)
2020-09-17,8369.7356399847,Top/Bottom Deciles (10%)
2020-09-18,8490.526103062452,Top/Bottom Deciles (10%)
2020-09-19,8496.630600363877,Top/Bottom Deciles (10%)
2020-09-20,8491.52555977561,Top/Bottom Deciles (10%)
2020-09-21,8647.866096703223,Top/Bottom Deciles (10%)
2020-09-22,8636.385285272534,Top/Bottom Deciles (10%)
2020-09-23,8721.862374918406,Top/Bottom Deciles (10%)
2020-09-24,8711.31461260874,Top/Bottom Deciles (10%)
2020-09-25,8443.865602006661,Top/Bottom Deciles (10%)
2020-09-26,8546.525206542967,Top/Bottom Deciles (10%)
2020-09-27,8658.982259029995,Top/Bottom Deciles (10%)
2020-09-28,8617.662110608855,Top/Bottom Deciles (10%)
2020-09-29,8629.212301310623,Top/Bottom Deciles (10%)
2020-09-30,8565.531034958463,Top/Bottom Deciles (10%)
2020-10-01,8632.002029373596,Top/Bottom Deciles (10%)
2020-10-02,8672.88152231284,Top/Bottom Deciles (10%)
2020-10-03,8652.326435619467,Top/Bottom Deciles (10%)
2020-10-04,8586.111393108864,Top/Bottom Deciles (10%)
2020-10-05,8598.604058872132,Top/Bottom Deciles (10%)
2020-10-06,8587.333352463991,Top/Bottom Deciles (10%)
2020-10-07,8644.274666329069,Top/Bottom Deciles (10%)
2020-10-08,8745.868729943892,Top/Bottom Deciles (10%)
