date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2025-02-25,8621.850502151,0,4310.9252510755,-4310.9252510755,0.0,8621.850502151,2,1,1.9398218088500214,1.6693120710535094,,,-0.0270658238698559
2025-02-26,8599.615291419987,0,4299.807645709993,-4299.807645709993,0.0,8599.615291419987,2,1,1.99667279676958,1.768929124285772,,,-0.0025789371696325336
2025-02-27,8605.200839486288,0,4302.600419743144,-4302.600419743144,0.0,8605.200839486288,2,1,1.95524326452457,1.7327412467905816,,,0.0006495113882447612
2025-02-28,8513.467077966794,0,4256.733538983397,-4256.733538983397,0.0,8513.467077966794,2,1,1.9938073807028283,1.7410107569884798,,,-0.010660269670704214
2025-03-01,8411.55138407794,0,4205.77569203897,-4205.77569203897,0.0,8411.55138407794,2,1,1.9995697298531887,1.7410440526859656,,,-0.01197111505283388
2025-03-02,8722.628436154368,0,4361.314218077184,-4361.314218077184,0.0,8722.628436154368,2,1,1.792388975883384,1.676970589405512,,,0.03698212587338623
2025-03-03,8646.658815681953,0,4323.329407840976,-4323.329407840976,0.0,8646.658815681953,2,1,1.8488994986285614,1.6349096553459,,,-0.008709487172184116
2025-03-04,8659.076078616461,0,4329.5380393082305,-4329.5380393082305,0.0,8659.076078616461,2,1,2.022481012257805,1.8462257525389023,,,0.0014360764312786323
2025-03-05,8683.176670343333,0,4341.588335171667,-4341.588335171667,0.0,8683.176670343333,3,2,2.246276524883287,1.9646227443414301,,,0.002783275202580704
2025-03-06,8700.63705937984,0,4350.31852968992,-4350.31852968992,0.0,8700.63705937984,3,2,2.2484127674066356,2.0036976251484084,,,0.0020108296421217364
2025-03-07,8510.710898462508,0,4255.355449231254,-4255.355449231254,0.0,8510.710898462508,3,2,2.2426819928239214,2.005564754172738,,,-0.02182899477602962
2025-03-08,8638.378444728405,0,4319.189222364203,-4319.189222364203,0.0,8638.378444728405,3,2,2.1955686247424935,1.951242395354599,,,0.015000808720803782
2025-03-09,8293.355942871269,0,4146.677971435634,-4146.677971435634,0.0,8293.355942871269,3,2,2.211073223191135,2.0200304175742114,,,-0.039940655999817554
2025-03-10,8844.078886061849,0,4422.039443030924,-4422.039443030924,0.0,8844.078886061849,3,2,2.087699332552408,1.935517394170919,,,0.06640531854465559
2025-03-11,8765.5170449177,0,4382.758522458849,-4382.75852245885,-9.094947017729282e-13,8765.517044917699,3,2,2.026129305852691,2.0103594737470205,,,-0.008882987381304441
2025-03-12,8939.914083036374,0,4469.957041518186,-4469.957041518187,-9.094947017729282e-13,8939.914083036372,3,2,2.203599881879787,1.9187263227255809,,,0.019895807312335423
2025-03-13,8867.86428221859,0,4433.932141109295,-4433.932141109295,0.0,8867.86428221859,3,2,2.1724732535059315,1.9797242738957763,,,-0.008059339289904321
2025-03-14,8474.231416930043,0,4237.115708465021,-4237.115708465021,0.0,8474.231416930043,3,2,2.191456721458362,1.9924990637091327,,,-0.04438868850054922
2025-03-15,8685.419999119895,0,4342.709999559947,-4342.709999559947,0.0,8685.419999119895,3,2,2.190562854620124,1.9875871348799699,,,0.024921266814585064
2025-03-16,8896.200536363553,0,4448.100268181775,-4448.100268181776,-9.094947017729282e-13,8896.20053636355,3,2,2.1821944923589065,1.9400188327838506,,,0.024268318315638915
2025-03-17,8944.129818475409,0,4472.064909237704,-4472.064909237704,0.0,8944.129818475409,3,2,2.176598462285336,2.066879489662033,,,0.005387612601126079
2025-03-18,8667.975386160846,0,4333.987693080423,-4333.987693080423,0.0,8667.975386160846,3,2,2.1542781693726005,2.081579211407449,,,-0.030875494645004498
2025-03-19,8670.611407523143,0,4335.305703761572,-4335.305703761572,0.0,8670.611407523143,3,2,2.184949263382855,1.9035871598231657,,,0.0003041103885119689
2025-03-20,8778.440261689928,0,4389.220130844964,-4389.220130844964,0.0,8778.440261689928,3,2,2.2154702687637706,1.9590180626813813,,,0.012436130406354717
2025-03-21,8749.086580986877,0,4374.543290493439,-4374.543290493439,0.0,8749.086580986877,3,2,2.2770642518413915,2.0168606367785817,,,-0.0033438378377025346
2025-03-22,9083.09826362315,0,4541.549131811575,-4541.549131811575,0.0,9083.09826362315,3,2,2.280340315125727,2.012939042418748,,,0.03817674902910784
2025-03-23,9045.188651274766,0,4522.594325637383,-4522.594325637383,0.0,9045.188651274766,3,2,2.2722849058267003,1.9944802252740277,,,-0.004173643315101727
2025-03-24,8932.223642548508,0,4466.111821274253,-4466.111821274254,-9.094947017729282e-13,8932.223642548506,3,2,2.2541510482729765,2.028226029242063,,,-0.012488961046748015
2025-03-25,8854.207764554958,0,4427.103882277479,-4427.103882277479,0.0,8854.207764554958,3,2,2.248300820212135,2.0265598931390314,,,-0.008734205626236502
2025-03-26,8602.278814365696,0,4301.139407182848,-4301.139407182848,0.0,8602.278814365696,3,2,2.3226389691477256,1.940955792795548,,,-0.028453019952590197
2025-03-27,8426.523323103776,0,4213.261661551888,-4213.261661551888,0.0,8426.523323103776,3,2,2.3095707417377795,2.0004788540202063,,,-0.020431271184608746
2025-03-28,8391.074589986893,0,4195.537294993446,-4195.537294993446,0.0,8391.074589986893,3,2,2.346818688673944,2.018992413112602,,,-0.004206804129965547
2025-03-29,8365.323493092737,0,4182.661746546369,-4182.661746546369,0.0,8365.323493092737,3,2,2.29675038155578,2.0094579790882445,,,-0.0030688675947279087
2025-03-30,8501.24454441663,0,4250.622272208315,-4250.622272208315,0.0,8501.24454441663,3,2,2.268954798656994,1.9456367795972418,,,0.016248152439785724
2025-03-31,8399.329861314947,0,4199.664930657474,-4199.664930657474,0.0,8399.329861314947,3,2,2.2931547565460964,1.9895338494011492,,,-0.011988207440593701
2025-04-01,8334.340331349566,0,4167.170165674783,-4167.170165674783,0.0,8334.340331349566,3,2,2.2935732889352987,1.9922908367846501,,,-0.0077374660881823765
2025-04-02,8307.704736983205,0,4153.852368491603,-4153.852368491603,0.0,8307.704736983205,3,2,2.194489794696613,1.8618081096152541,,,-0.0031958851339644045
2025-04-03,8282.455692706952,0,4141.227846353475,-4141.227846353476,-9.094947017729282e-13,8282.45569270695,3,2,2.2959234042547405,2.004663784760264,,,-0.0030392322639793967
2025-04-04,8324.606816574294,0,4162.303408287147,-4162.303408287147,0.0,8324.606816574294,3,2,2.3165704727677734,2.0211121030353087,,,0.005089206079841535
2025-04-05,8564.790403039162,0,4282.395201519581,-4282.395201519581,0.0,8564.790403039162,3,2,2.2751289614746546,1.959100537986481,,,0.02885224392660346
2025-04-06,8463.325670592649,0,4231.662835296324,-4231.662835296324,0.0,8463.325670592649,3,2,2.334641726232533,2.0226307357519664,,,-0.011846726851658773
2025-04-07,8379.981637500689,0,4189.990818750344,-4189.990818750344,0.0,8379.981637500689,3,2,2.2490820413302557,1.9608025964563411,,,-0.009847669383863389
2025-04-08,8125.048400018562,0,4062.524200009281,-4062.524200009281,0.0,8125.048400018562,3,2,2.3454886214688737,2.068474193341077,,,-0.030421694045401293
2025-04-09,8174.503116969337,0,4087.251558484668,-4087.2515584846683,-4.547473508864641e-13,8174.503116969336,3,2,2.387854386019861,1.9693028658976068,,,0.006086698135935098
2025-04-10,8336.08945383711,0,4168.044726918555,-4168.044726918555,0.0,8336.08945383711,3,2,2.3788100784155515,2.03349821863667,,,0.01976711422769406
2025-04-11,8168.816580780491,0,4084.4082903902454,-4084.4082903902454,0.0,8168.816580780491,3,2,2.4741502784532785,2.0597709055514564,,,-0.020066108213321
2025-04-12,8350.877502023204,0,4175.438751011602,-4175.438751011602,0.0,8350.877502023204,3,2,2.4780823768745734,2.090044515844906,,,0.02228730678946378
2025-04-13,8307.013354020459,0,4153.506677010229,-4153.506677010229,0.0,8307.013354020459,3,2,2.425825105869331,1.986552186128924,,,-0.00525263937737297
2025-04-14,8317.1914370732,0,4158.5957185366,-4158.5957185366,0.0,8317.1914370732,3,2,2.4486525363745453,2.09550359433664,,,0.0012252397605470033
2025-04-15,8261.281363755272,0,4130.640681877636,-4130.640681877636,0.0,8261.281363755272,3,2,2.4210288634233286,2.110364738631469,,,-0.006722229942756064
2025-04-16,8275.7072820713,0,4137.85364103565,-4137.85364103565,0.0,8275.7072820713,4,3,2.3767943504564064,2.053566378385793,,,0.0017462083278412255
2025-04-17,8171.404874946703,0,4085.7024374733514,-4085.702437473351,4.547473508864641e-13,8171.404874946702,4,3,2.39705685015248,2.113411356970939,,,-0.012603443255002622
2025-04-18,8225.446017292581,0,4112.7230086462905,-4112.72300864629,9.094947017729282e-13,8225.44601729258,4,3,2.3968726397063147,2.109072531895357,,,0.006613445689316766
2025-04-19,8054.827341072155,0,4027.4136705360775,-4027.413670536077,4.547473508864641e-13,8054.827341072154,4,3,2.3805289423163627,2.0894170811105615,,,-0.020742787182814082
2025-04-20,8026.212657947635,0,4013.1063289738177,-4013.1063289738177,0.0,8026.212657947635,4,3,2.3865646813798707,2.1345325938327453,,,-0.0035524887018509865
2025-04-21,7515.412600634321,0,3757.7063003171606,-3757.7063003171606,0.0,7515.412600634321,4,3,2.3986056730008722,2.1134827698299197,,,-0.06364148061882147
2025-04-22,7035.47352671225,0,3517.736763356125,-3517.7367633561244,4.547473508864641e-13,7035.473526712249,4,3,2.3813141100671973,2.1200472790456413,,,-0.06386064204666064
2025-04-23,6989.707821671728,0,3494.853910835864,-3494.853910835864,0.0,6989.707821671728,4,3,2.256747790197035,1.620868735154425,,,-0.006504992857518155
2025-04-24,7003.787118971404,0,3501.893559485702,-3501.8935594857016,4.547473508864641e-13,7003.787118971404,4,3,2.274470054463814,1.557406458835285,,,0.0020142898185275815
2025-04-25,6701.804510838466,0,3350.902255419233,-3350.9022554192325,4.547473508864641e-13,6701.804510838465,4,3,2.269343535695809,1.6769620207467664,,,-0.04311704553597118
2025-04-26,6351.177927323642,0,3175.588963661821,-3175.5889636618203,4.547473508864641e-13,6351.177927323641,4,3,2.3092519997749785,1.6324728739879386,,,-0.05231823502875599
2025-04-27,6494.024913870357,0,3247.0124569351783,-3247.0124569351783,0.0,6494.024913870357,4,3,2.338627632292557,1.6036185993551788,,,0.02249141626660589
2025-04-28,6583.714971687365,0,3291.8574858436823,-3291.857485843682,4.547473508864641e-13,6583.714971687365,4,3,2.3368471219172005,1.582309248103516,,,0.0138111662653837
2025-04-29,6520.478764217538,0,3260.239382108769,-3260.2393821087685,4.547473508864641e-13,6520.478764217538,4,3,2.2555639607245297,1.6309652806026966,,,-0.009604943066607197
2025-04-30,6527.072100591296,0,3263.536050295648,-3263.536050295648,0.0,6527.072100591296,4,3,2.3240358929223697,1.6229618600060929,,,0.00101117365950798
2025-05-01,6282.575033846651,0,3141.2875169233257,-3141.2875169233257,0.0,6282.575033846651,4,3,2.247090777861533,1.6110564439540154,,,-0.03745891924841693
