symbol,category,signal,entry_date,exit_date,entry_price,exit_price,entry_z_score,exit_z_score,position_size,return_pct,pnl,hold_days,exit_reason,market_cap
XLM,Dino Coins,SHORT,2021-11-27,2021-11-30,0.326087,0.336166,1.9161669124593368,-0.4880268163345521,10000.0,-0.03090892921214272,-339.0892921214272,3,mean_revert,2989656210.8862576
ALGO,Dino Coins,SHORT,2021-12-02,2021-12-08,1.8896,1.7039,2.011148222168196,-0.2820214843017918,10000.0,0.09827476714648598,952.7476714648598,6,mean_revert,506613483.19005257
XLM,Dino Coins,SHORT,2021-12-03,2021-12-08,0.3262,0.306487,1.530141121073384,0.2055577428629627,10000.0,0.06043225015328013,574.3225015328013,5,mean_revert,2989656210.8862576
ALGO,Dino Coins,SHORT,2021-12-30,2022-01-02,1.7299,1.6739,1.940055709953852,0.1338600031365053,10000.0,0.032371813399618476,293.71813399618475,3,mean_revert,506613483.19005257
XLM,Dino Coins,SHORT,2022-03-10,2022-03-11,0.178633,0.183591,2.0454543580715128,-0.493917503530291,10000.0,-0.027755229996697217,-307.55229996697216,1,mean_revert,7216429668.542691
XLM,Dino Coins,SHORT,2022-03-12,2022-03-13,0.18515,0.176342,2.6316682352608227,-0.1239510449119019,10000.0,0.047572238725357874,445.72238725357875,1,mean_revert,7216429668.542691
XLM,Dino Coins,SHORT,2022-03-29,2022-03-30,0.233124,0.234742,1.861261139962258,-0.2676267647435253,10000.0,-0.006940512345361194,-99.40512345361194,1,mean_revert,7216429668.542691
XLM,Dino Coins,SHORT,2022-04-30,2022-05-05,0.169004,0.171062,1.8679877966479663,0.1950991561867854,10000.0,-0.012177226574519029,-151.77226574519028,5,mean_revert,7216429668.542691
ALGO,Dino Coins,SHORT,2022-05-04,2022-05-05,0.7153,0.6344,3.415263060088886,-0.1950991561867859,10000.0,0.11309939885362796,1100.9939885362796,1,mean_revert,10669967912.89091
ALGO,Dino Coins,SHORT,2022-05-07,2022-05-09,0.7484,0.5738,3.0159178651143743,0.2327301995221466,10000.0,0.23329770176376263,2302.9770176376264,2,mean_revert,10669967912.89091
XLM,Dino Coins,SHORT,2022-05-12,2022-05-15,0.120434,0.144986,2.4716778181621124,-0.0787764561271347,10000.0,-0.20386269658069978,-2068.6269658069978,3,mean_revert,7216429668.542691
XLM,Dino Coins,SHORT,2022-06-01,2022-06-03,0.136879,0.146016,1.77022668528335,0.317357850590324,10000.0,-0.06675238714485054,-697.5238714485055,2,mean_revert,7216429668.542691
ALGO,L1 Smart Contract,SHORT,2022-07-01,2022-07-03,0.3061,0.3094,1.9171132554228547,0.0209437987911629,10000.0,-0.010780790591310208,-137.80790591310208,2,mean_revert,10669967912.89091
ALGO,Dino Coins,SHORT,2022-07-15,2022-07-16,0.3275,0.3404,1.8480791816814608,-0.256784913217873,10000.0,-0.039389312977099245,-423.89312977099246,1,mean_revert,10669967912.89091
ALGO,L1 Smart Contract,SHORT,2022-07-15,2022-07-17,0.3275,0.3365,1.5399968763179388,0.155403028821464,10000.0,-0.027480916030534264,-304.80916030534263,2,mean_revert,10669967912.89091
ROSE,L1 Smart Contract,SHORT,2022-07-29,2022-08-01,0.07962,0.0805,5.623654380046046,-0.2603263385463174,10000.0,-0.011052499372017133,-140.52499372017132,3,mean_revert,1452500495.9648013
ROSE,L1 Smart Contract,SHORT,2022-08-03,2022-08-08,0.081,0.11272,2.104290025655958,3.351640172432039,10000.0,-0.3916049382716049,-3946.049382716049,5,stop_loss,1452500495.9648013
XLM,Dino Coins,SHORT,2022-08-07,2022-08-08,0.123873,0.130156,2.331670689149144,-0.1265511420214463,10000.0,-0.0507213032702849,-537.213032702849,1,mean_revert,7216429668.542691
ROSE,L1 Smart Contract,SHORT,2022-08-08,2022-08-09,0.11272,0.10295,3.351640172432039,0.3351168316962206,10000.0,0.08667494677075938,836.7494677075938,1,mean_revert,1452500495.9648013
ALGO,L1 Smart Contract,SHORT,2022-08-19,2022-08-20,0.303,0.3003,1.5801165855339652,-0.3168989291687734,10000.0,0.008910891089108808,59.10891089108807,1,mean_revert,10669967912.89091
XLM,Dino Coins,SHORT,2022-09-01,2022-09-04,0.105077,0.106324,1.6056440976591475,0.251542544744118,10000.0,-0.011867487651912478,-148.67487651912478,3,mean_revert,7216429668.542691
ALGO,Dino Coins,SHORT,2022-09-22,2022-09-23,0.3698,0.3992,3.5482515519333684,-0.320167580168343,10000.0,-0.07950243374797172,-825.0243374797172,1,mean_revert,10669967912.89091
ALGO,Dino Coins,SHORT,2022-09-24,2022-09-25,0.3853,0.3884,3.1907724654539584,0.1801677177750389,10000.0,-0.008045678691928515,-110.45678691928515,1,mean_revert,10669967912.89091
XLM,Dino Coins,SHORT,2022-10-09,2022-10-10,0.1288,0.123692,1.984955442449104,0.3160394604920654,10000.0,0.03965838509316766,366.5838509316766,1,mean_revert,7216429668.542691
ROSE,L1 Smart Contract,SHORT,2022-10-20,2022-10-22,0.05604,0.05861,1.6610516318382047,0.3667462967998194,10000.0,-0.0458600999286225,-488.600999286225,2,mean_revert,1452500495.9648013
ALGO,Dino Coins,SHORT,2022-10-31,2022-11-01,0.3588,0.36,2.636059250334762,-0.1291341366929475,10000.0,-0.0033444816053511683,-63.44481605351169,1,mean_revert,10669967912.89091
ALGO,Dino Coins,SHORT,2022-11-05,2022-11-09,0.4239,0.2661,1.7600503520919162,-3.797426684031125,10000.0,0.3722576079263977,3692.576079263977,4,take_profit,10669967912.89091
XLM,Dino Coins,SHORT,2022-11-13,2022-11-14,0.087941,0.091065,1.5526312410271086,0.3584745722252536,10000.0,-0.03552381710464947,-385.2381710464947,1,mean_revert,7216429668.542691
ALGO,Dino Coins,SHORT,2022-11-19,2022-11-20,0.2979,0.2562,2.9195252502414504,-0.3945478453529699,10000.0,0.13997985901309173,1369.7985901309173,1,mean_revert,10669967912.89091
