date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_adf_long,avg_adf_short,daily_return
2025-01-28,3265.3664063234755,0,1632.6832031617378,0.0,1632.6832031617378,1632.6832031617378,1,0,-3.2675616219032215,0,0.003120134930042262
2025-01-29,3296.801401302232,0,1648.400700651116,0.0,1648.400700651116,1648.400700651116,1,0,-3.345203427562976,0,0.0096267894830675
2025-01-30,3280.3741215337855,0,1640.1870607668927,0.0,1640.1870607668927,1640.1870607668927,1,0,-3.2677646658282424,0,-0.004982793249832307
2025-01-31,3202.748260233842,0,1601.374130116921,0.0,1601.374130116921,1601.374130116921,1,0,-3.271608727115502,0,-0.02366372200974698
2025-02-01,2992.9747303489157,0,1496.4873651744579,0.0,1496.4873651744579,1496.4873651744579,1,0,-3.122388674593149,0,-0.06549797637533017
2025-02-02,3068.217950040366,0,1534.108975020183,0.0,1534.108975020183,1534.108975020183,1,0,-3.707971894606315,0,0.025139944861037433
2025-02-03,2958.2437958410474,0,1479.1218979205237,0.0,1479.1218979205237,1479.1218979205237,1,0,-3.4185471241164938,0,-0.03584300593700385
2025-02-04,2894.2641100830447,0,1447.1320550415223,0.0,1447.1320550415223,1447.1320550415223,1,0,-3.894519523260946,0,-0.021627590615739933
2025-02-05,2809.3725758792298,0,1404.6862879396149,0.0,1404.6862879396149,1404.6862879396149,1,0,-3.8871962803897615,0,-0.029330956324293167
2025-02-06,2785.76384724043,0,1392.881923620215,0.0,1392.881923620215,1392.881923620215,1,0,-3.8807925158527703,0,-0.008403559158190688
2025-02-07,2784.287554655362,0,1392.143777327681,0.0,1392.143777327681,1392.143777327681,1,0,-2.844094523404389,0,-0.0005299417560216124
2025-02-08,2770.9371124419367,0,1385.4685562209684,0.0,1385.4685562209684,1385.4685562209684,1,0,-2.738991543035444,0,-0.004794922202307372
2025-02-09,2787.1588561593067,0,1393.5794280796533,0.0,1393.5794280796533,1393.5794280796533,1,0,-2.6940532704385975,0,0.005854244632450101
