date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2021-10-11,ZRX/USD,SHORT,1.244628073989028,12.0,92.3076923076923,-0.16666666666666666,1.1528539491772831,294490417.9531757,6579434.795662333
2021-11-10,ALGO/USD,LONG,1.0159412279075453,1.0,20.0,0.5,0.8672525211261696,506613483.19005257,27570779.166666668
2021-11-10,OXT/USD,SHORT,1.2259626627002298,5.0,100.0,-0.25,1.7873579180907948,84970405.6500807,57183139.6
2021-11-10,XLM/USD,SHORT,1.1887780104056602,4.0,80.0,-0.25,0.9415586751135464,2989656210.8862576,170446997.86666667
2021-12-10,ALGO/USD,LONG,0.857325198995148,1.0,20.0,0.5,1.1029018201556149,506613483.19005257,40729189.93333333
2021-12-10,GRT/USD,SHORT,1.0307199061190746,4.0,80.0,-0.25,1.311490361286581,369564933.9037584,25809075.71133333
2021-12-10,OXT/USD,SHORT,1.1543308478594316,5.0,100.0,-0.25,1.0444399780057099,84970405.6500807,21605250.233333334
2022-02-08,XLM/USD,LONG,1.0256238510762548,1.0,20.0,0.5,0.8374984977447871,7216429668.542691,125742592.46666667
2022-02-08,GRT/USD,SHORT,1.3138116779501803,5.0,100.0,-0.25,0.9951346219827023,3190739450.3534613,21472139.655666668
2022-02-08,ZRX/USD,SHORT,1.1488576603627216,4.0,80.0,-0.25,0.9246796631936084,753755582.6144379,6503594.744253334
2022-03-10,OXT/USD,LONG,0.859231204138408,1.0,20.0,0.5,0.8648531717619391,263691628.991675,10166204.666666666
2022-03-10,CRO/USD,SHORT,1.1626633961583537,4.0,80.0,-0.25,0.9529902864053398,14847022636.659174,36876926.71000001
2022-03-10,GRT/USD,SHORT,1.2368169191908795,5.0,100.0,-0.25,1.2214221873135087,3190739450.3534613,22691700.328999996
2022-04-09,OXT/USD,LONG,0.8554010367584038,1.0,16.666666666666664,0.5,0.9111011880783565,263691628.991675,11267440.5
2022-04-09,CRO/USD,SHORT,1.1173483067391294,5.0,83.33333333333334,-0.25,0.5491255468384126,14847022636.659174,19175018.65
2022-04-09,GRT/USD,SHORT,1.1682767324085166,6.0,100.0,-0.25,1.1987787010884912,3190739450.3534613,34415915.36633333
2022-05-09,OXT/USD,LONG,0.9847400772550795,1.0,14.285714285714285,0.5,1.0604369402230347,263691628.991675,5851902.2
2022-05-09,GRT/USD,SHORT,1.2975094732065,6.0,85.71428571428571,-0.25,1.2487615010758697,3190739450.3534613,22604258.831000004
2022-05-09,IMX/USD,SHORT,1.4182885739787183,7.0,100.0,-0.25,1.4805901484915172,931877880.3067251,5154598.376666667
2022-06-08,XLM/USD,LONG,1.1949380318365077,1.0,16.666666666666664,0.5,1.1346478184545679,7216429668.542691,96758804.03333333
2022-06-08,GRT/USD,SHORT,1.774692938193835,6.0,100.0,-0.25,2.307878473648102,3190739450.3534613,47875791.924
2022-06-08,ZRX/USD,SHORT,1.541335803812406,5.0,83.33333333333334,-0.25,1.6372501137751636,753755582.6144379,7674770.036638666
2022-07-08,XLM/USD,LONG,1.0141652745407017,1.0,12.5,0.5,0.8867332056217346,7216429668.542691,86646959.8
2022-07-08,GRT/USD,SHORT,1.3443026590147023,7.0,87.5,-0.25,1.0180268504523105,3190739450.3534613,29967471.547333334
2022-07-08,ROSE/USD,SHORT,1.4650160193921657,8.0,100.0,-0.25,1.052380732131779,1452500495.9648013,25855598.566666666
2022-08-07,XLM/USD,LONG,0.9750804365802429,1.0,20.0,0.5,0.6432456111613271,7216429668.542691,67149667.86666666
2022-08-07,GRT/USD,SHORT,1.3592555179783035,4.0,80.0,-0.25,1.1297040021344178,3190739450.3534613,33738989.17233334
2022-08-07,ROSE/USD,SHORT,1.4701969954365213,5.0,100.0,-0.25,1.605975376602701,1452500495.9648013,40733987.02666666
2022-09-06,XLM/USD,LONG,0.8372302510766334,1.0,20.0,0.5,0.5578943454292588,7216429668.542691,68466557.03333333
2022-09-06,CRO/USD,SHORT,1.1219030587954346,5.0,100.0,-0.25,0.7250867240629355,14847022636.659174,13265772.47
2022-09-06,ROSE/USD,SHORT,1.1047491617318237,4.0,80.0,-0.25,0.9279236093578227,1452500495.9648013,23775382.893333334
2022-10-06,XLM/USD,LONG,0.9048334241225652,1.0,20.0,0.5,0.8427517400921914,7216429668.542691,105906243.46666667
2022-10-06,GRT/USD,SHORT,1.4369359254779719,5.0,100.0,-0.25,0.9824478684801975,3190739450.3534613,19039360.042999998
2022-10-06,ROSE/USD,SHORT,1.2742473246762622,4.0,80.0,-0.25,0.9263683830041939,1452500495.9648013,9776307.223333333
2023-03-05,XLM/USD,LONG,0.8552229810010328,1.0,20.0,0.5,0.4752304526733417,1893577776.7076983,69612503.06666666
2023-03-05,GRT/USD,SHORT,1.5586188889238655,5.0,100.0,-0.25,2.2814683156169213,492947081.70675015,93973499.56266667
2023-03-05,ZRX/USD,SHORT,1.4975585827225388,4.0,80.0,-0.25,1.1678089287120021,127578346.47958484,5420093.64196
