date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2024-08-23,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-24,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-25,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-26,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-27,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-28,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-29,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-30,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-08-31,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-01,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-02,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-03,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-04,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-05,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-06,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-07,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-08,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-09,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-10,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-11,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-12,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-13,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-14,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-15,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-16,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-17,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-18,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-19,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-20,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-21,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-22,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-23,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-24,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-25,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-26,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-27,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-28,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-29,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-09-30,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-01,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-02,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-03,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-04,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-05,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-06,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-07,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-08,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-09,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-10,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-11,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-12,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-13,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-14,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-15,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-16,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-17,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-18,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-19,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-20,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-21,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-22,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-23,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-24,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-25,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-26,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-27,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-28,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-29,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-30,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
2024-10-31,12454.333749942303,0,0,0,0.0,0.0,0.0,0.0,0.0
