date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_rank,percentile,weight,position_size,volatility
2025-03-11,BONK/USD,LONG,-39.53623188405797,-5.422809223051001,-34.113422661006965,6.0,85.71428571428571,0.25,2436.4434775265872,1.3718156244332713
2025-03-11,FLOKI/USD,LONG,-35.07462686567165,-93.66665605469198,58.59202918902034,7.0,100.0,0.25,2436.4434775265872,1.1609245701248865
2025-03-11,PEPE/USD,SHORT,-33.75262054507338,11.437536529993,-45.19015707506638,1.0,14.285714285714285,-0.5,-4872.8869550531745,1.3912655938550649
2025-03-18,ALGO/USD,SHORT,-32.23110465116279,21.9412,-54.17230465116279,1.0,14.285714285714285,-0.5,-4696.615367151672,1.2194253258740064
2025-03-18,BONK/USD,LONG,-37.50717978173464,-6.7193333408400004,-30.78784644089464,6.0,85.71428571428571,0.25,2348.307683575836,1.390502817018894
2025-03-18,FLOKI/USD,LONG,-34.32518597236982,-93.17527622885598,58.850090256486155,7.0,100.0,0.25,2348.307683575836,1.1386808516718183
2025-03-25,ALGO/USD,SHORT,-18.34296724470135,22.513499999999997,-40.85646724470135,1.0,14.285714285714285,-0.5,-5140.894780115254,1.2723330451109627
2025-03-25,BONK/USD,LONG,-10.857142857142865,-12.347755414255,1.4906125571121347,7.0,100.0,0.25,2570.447390057627,1.4927953054133036
2025-03-25,PEPE/USD,LONG,-14.13276231263384,0.686362881701,-14.81912519433484,6.0,85.71428571428571,0.25,2570.447390057627,1.499118684499343
2025-04-01,ALGO/USD,SHORT,-35.08591065292095,15.996799999999999,-51.08271065292095,1.0,14.285714285714285,-0.5,-5089.037965909956,1.1017361592125203
2025-04-01,BONK/USD,LONG,-19.93589743589743,-20.0368309809,0.10093354500256879,7.0,100.0,0.25,2544.518982954978,1.3723005233570804
2025-04-01,PEPE/USD,LONG,-12.66968325791854,-6.136005683556,-6.533677574362541,6.0,85.71428571428571,0.25,2544.518982954978,1.3558605283600045
2025-04-08,ALGO/USD,SHORT,-23.023371456986574,12.778299999999998,-35.80167145698657,1.0,14.285714285714285,-0.5,-4879.937855917256,0.9307137854606106
2025-04-08,BONK/USD,LONG,-5.835806132542032,-22.861232942382003,17.02542680983997,7.0,100.0,0.25,2439.968927958628,1.2013311237101025
