date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_funding_cost,daily_return,log_return
2021-11-23,1.209855474386534e-14,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.045059566024997666,-0.07004336596308303,-0.07261732398988205
2021-11-24,1.165015475507143e-14,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.037626142082101355,-0.03706227713035504,-0.03776653919249571
2021-11-25,1.1135186706070218e-14,2,4,0.5,0.5,0.0,1.0,0.05969457990440049,-0.044202678833690334,-0.04520939555563973
2021-11-26,1.1063847914397446e-14,2,4,0.5,0.5,0.0,1.0,0.03,-0.00640660938661064,-0.0064272197841963065
2021-11-27,1.0567478255460112e-14,2,4,0.5,0.5,0.0,1.0,0.03,-0.04486410720554146,-0.04590165250468748
2021-11-28,1.0192961854822526e-14,2,4,0.5,0.5,0.0,1.0,0.03,-0.035440470430500026,-0.036083727888324646
2021-11-29,9.914755241911e-15,2,4,0.5,0.5,0.0,1.0,0.03,-0.027293991371104886,-0.027673391857501388
2021-11-30,9.544352993047583e-15,2,4,0.5,0.5,0.0,1.0,0.03,-0.0373586881194683,-0.03807440605862299
2021-12-01,9.306341196554457e-15,2,4,0.5,0.5,0.0,1.0,0.036378864131396356,-0.02493744695596456,-0.025253653074018664
2021-12-02,9.085566171193345e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.03,-0.023723074482037143,-0.024008997652405936
2021-12-03,8.696003040733624e-15,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.039406500000000004,-0.04287714415584454,-0.043823519755976315
2021-12-04,1.219460045027444e-14,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.34200099881961815,0.4023224685125757,0.3381297682367944
2021-12-05,1.3680252759189281e-14,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.11219423404175251,0.12182869910111793,0.11496012084661765
2021-12-06,1.3133686108078725e-14,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.023917958403395043,-0.03995296437366025,-0.04077300027638879
