date,forward_return,strategy_return,direction_class
2021-04-07,0.11773993015921329,0.056169541403872626,Down
2021-04-08,0.12718405226765117,0.10179243358758545,Down
2021-04-09,0.15746853494159088,0.059260956381152245,Down
2021-04-10,0.14217003917528304,0.05010705082454359,Down
2021-04-11,0.20846740889655518,0.15930216129695313,Down
2021-04-12,0.20481626390614296,0.19475474372246623,Up
2021-04-13,0.0429248527771277,0.054849439662626,Up
2021-04-14,-0.06233242443559017,-0.03219163925425027,Up
2021-04-15,-0.10862884519939248,-0.0780531083177468,Up
2021-04-16,-0.1995647164900474,-0.1515109068957277,Up
2021-04-17,-0.21584910373449717,-0.15273528702538108,Up
2021-04-18,-0.1578701514101429,0.07291319504335363,Down
2021-04-19,-0.14039156237280756,0.10712641327697427,Down
2021-04-20,-0.1644460200772186,0.12631708008855294,Down
2021-04-21,-0.013158598493733261,0.013158598493733261,Down
2021-04-22,0.08989519165844567,-0.07676425459326672,Down
2021-04-23,0.11013548843120374,-0.09224838337716129,Down
2021-04-24,0.18142729139592798,-0.15568038415887217,Down
2021-04-25,0.24953126942015444,-0.24953126942015444,Down
2021-04-26,0.15447185874004726,-0.017980664613244362,Up
2021-04-27,0.06948328381860933,0.06948328381860933,Up
2021-04-28,0.1358256335025041,0.1358256335025041,Up
2021-04-29,0.10103039234190357,0.10103039234190357,Up
2021-04-30,0.24309910689410366,0.24309910689410366,Up
2021-05-01,0.27580515695342983,0.27580515695342983,Up
2021-05-02,0.25243036424738163,0.25243036424738163,Up
2021-05-03,0.1863864609025297,0.1863864609025297,Up
2021-05-04,0.23311782484736987,0.1701531896861489,Up
2021-05-05,-0.03241303154623521,0.0028429154467415913,Up
2021-05-06,0.003445882755044199,0.01908509091838452,Down
2021-05-07,-0.10311195449143334,-0.08060642657177648,Down
2021-05-08,-0.09923342762156405,-0.06746649691330656,Down
2021-05-09,-0.037063862705427046,-0.037063862705427046,Up
2021-05-10,-0.045534495012396516,0.02392057916545877,Down
2021-05-11,-0.13328888798181293,0.007835071585221353,Up
2021-05-12,-0.059398607456437186,0.05682197063913716,Up
2021-05-13,-0.014257034945327814,0.052691892879038166,Up
2021-05-14,-0.39630143917869937,0.12020847545968008,Up
2021-05-15,-0.22846694013489222,0.12666432161836658,Up
2021-05-16,-0.3268438929083409,0.2504048920597384,Up
2021-05-17,-0.33535845659297975,0.19191360540557045,Up
2021-05-18,-0.4569533417414055,0.22070143081989962,Up
2021-05-19,0.02528144998933789,-0.02528144998933789,Down
2021-05-20,-0.11594951226188603,0.11594951226188603,Down
2021-05-21,0.11781258214410592,-0.11781258214410592,Down
2021-05-22,0.13858337161735704,-0.13858337161735704,Down
2021-05-23,0.20694408441194806,-0.20694408441194806,Down
2021-05-24,-0.11317064133262557,-0.0026987875554607453,Down
2021-05-25,-0.07214091279357876,0.05155719936084466,Down
2021-05-26,-0.05967556351431917,-0.0418071356025554,Up
2021-05-27,-0.02577613889967766,-0.016924781954446314,Up
2021-05-28,0.08577839574126829,0.06378729964056211,Up
2021-05-29,0.22423141122897913,-0.21486925424698472,Down
2021-05-30,0.088424881967375,0.001076771201758944,Down
2021-05-31,-0.03994214586685185,0.056786736260667436,Down
2021-06-01,0.009980927717717657,0.013306591569957478,Up
2021-06-02,-0.10672532987718908,-0.08338935764650886,Up
2021-06-03,-0.17989371952916486,-0.17989371952916486,Up
2021-06-04,-0.06247564408400941,-0.04266045888611928,Up
2021-06-05,-0.08230287126054384,0.06710146388989112,Down
2021-06-06,-0.13762104625773225,0.0751988279470253,Down
2021-06-07,-0.07952056141670975,0.07952056141670975,Down
2021-06-08,-0.00499706305237326,0.00499706305237326,Down
2021-06-09,-0.025928083718208067,0.03628969825817822,Down
2021-06-10,0.01938385507709644,-0.006781194246071627,Down
2021-06-11,0.009445935994374571,-0.005571874073966857,Down
2021-06-12,0.0290043348178946,-0.020082686313915275,Down
2021-06-13,-0.10006325717432903,0.003617316064022359,Down
2021-06-14,-0.14690544766905925,0.07514822427114125,Down
2021-06-15,-0.10767989340853848,-0.02711573687045293,Up
2021-06-16,-0.25377384963599037,0.030012193309203777,Up
2021-06-17,-0.2715402824427504,-0.18125964226960037,Up
2021-06-18,-0.156229688739372,0.156229688739372,Down
2021-06-19,-0.10590186210901378,0.10590186210901378,Down
2021-06-20,-0.20176013456750708,0.20176013456750708,Down
2021-06-21,0.026476772184900202,-0.026476772184900202,Down
2021-06-22,0.09093381827737701,-0.09093381827737701,Down
2021-06-23,0.04526935395807373,-0.04526935395807373,Down
2021-06-24,0.09612961641644069,-0.09612961641644069,Down
2021-06-25,0.21588281895842742,-0.21588281895842742,Down
2021-06-26,0.142620455162819,0.05699626442736767,Down
2021-06-27,0.09200402514654621,0.09200402514654621,Up
2021-06-28,0.07738319656372716,0.07738319656372716,Up
2021-06-29,0.00040873893129189984,0.00040873893129189984,Up
2021-06-30,-0.07834742194326326,-0.07834742194326326,Up
2021-07-01,0.01739739911860548,0.01739739911860548,Up
2021-07-02,0.032955224007142285,0.032955224007142285,Up
2021-07-03,-0.07742057378131206,-0.07742057378131206,Up
2021-07-04,-0.05256052718813462,0.009167135056833581,Up
2021-07-05,-0.02346811036456616,0.02346811036456616,Down
2021-07-06,-0.015990550131048043,-0.04866856793116698,Up
2021-07-07,-0.028420992360403578,-0.016761719416512798,Up
2021-07-08,-0.030569267520776634,0.014114914781846094,Up
2021-07-09,-0.0717597550737825,0.019940880654769958,Down
2021-07-10,-0.08100078407430437,0.056284516735086214,Down
2021-07-11,-0.1315304828049114,0.06364433042089768,Down
2021-07-12,-0.10362736032158755,0.07551139522782346,Down
2021-07-13,-0.08366498584367342,0.04924255598671669,Down
2021-07-14,-0.11640923708606933,0.11640923708606933,Down
2021-07-15,-0.11440458309470654,0.11440458309470654,Down
2021-07-16,0.027863875719263242,-0.027863875719263242,Down
