date,symbol,old_weight,new_weight,weight_change,autocorr_lag1_30d,position_type
2021-05-28,CRV/USD,0.0786236461763518,0.0,-0.0786236461763518,-0.32718302045148445,close
2021-05-28,1INCH/USD,0.08468255048321724,0.0,-0.08468255048321724,-0.33259463862096705,close
2021-05-28,ETH/USD,0.0,0.10789866579526024,0.10789866579526024,-0.2995690915986989,long
2021-05-28,BCH/USD,0.07467045839146026,0.0,-0.07467045839146026,-0.32455754549385485,close
2021-06-04,AAVE/USD,0.0,0.12487518654261202,0.12487518654261202,-0.2490951563069807,long
2021-06-04,ZEC/USD,-0.05876885982035972,-0.06478074905512302,-0.0060118892347632985,-0.46761907553080717,short
2021-06-04,EOS/USD,0.0,-0.05195398500087332,-0.05195398500087332,-0.454709383550739,short
2021-06-04,OGN/USD,0.07280322149465183,0.10508843041220399,0.032285208917552155,-0.019275526675412186,long
2021-06-04,MANA/USD,-0.06545064959869293,0.0,0.06545064959869293,-0.44054104569214264,close
2021-06-04,SKL/USD,0.07202391111698199,0.10764015036770275,0.03561623925072076,-0.17422472461114177,long
2021-06-04,XTZ/USD,0.0,-0.07084983860303601,-0.07084983860303601,-0.4524742908413045,short
2021-06-04,ALGO/USD,-0.07771460464586115,-0.08240418192636334,-0.004689577280502191,-0.4598951815484553,short
2021-06-04,ANKR/USD,-0.08603286879673448,-0.09317869228609907,-0.007145823489364586,-0.5810739428402372,short
2021-06-04,FIL/USD,-0.07342666744091114,0.0,0.07342666744091114,-0.44341085449897283,close
2021-06-04,ETC/USD,0.06282329385286957,0.0,-0.06282329385286957,-0.3408806085308894,close
2021-06-04,BTC/USD,-0.13860634969744057,0.0,0.13860634969744057,-0.38307351310316373,close
2021-06-04,DASH/USD,0.0,-0.067545853574701,-0.067545853574701,-0.4594710640983176,short
2021-06-04,NKN/USD,0.08104875951233811,0.0,-0.08104875951233811,-0.3192189302995578,close
2021-06-04,XLM/USD,0.10340214822789821,0.0,-0.10340214822789821,-0.2782856547618172,close
2021-06-04,ETH/USD,0.10789866579526024,0.16239623267748124,0.054497566882221,-0.24862001760918612,long
2021-06-04,BCH/USD,0.0,-0.06928669955380425,-0.06928669955380425,-0.4511080673051617,short
2021-06-11,MANA/USD,0.0,-0.06973202493266105,-0.06973202493266105,-0.40040323917238807,short
2021-06-11,ZEC/USD,-0.06478074905512302,-0.06088826578380781,0.0038924832713152085,-0.45370345134291856,short
2021-06-11,AAVE/USD,0.12487518654261202,0.0,-0.12487518654261202,-0.2642648021433386,close
2021-06-11,OGN/USD,0.10508843041220399,0.0019274429303738556,-0.10316098748183014,0.012730510269437011,long
2021-06-11,EOS/USD,-0.05195398500087332,0.0,0.05195398500087332,-0.30913691327464493,close
2021-06-11,RLC/USD,0.0,-0.059528123030155915,-0.059528123030155915,-0.4099019090107891,short
2021-06-11,SKL/USD,0.10764015036770275,0.001971331847868307,-0.10566881851983444,-0.1444216809823649,long
2021-06-11,ETH/USD,0.16239623267748124,0.0,-0.16239623267748124,-0.2743050032657875,close
2021-06-11,XTZ/USD,-0.07084983860303601,0.0,0.07084983860303601,-0.38456349901334014,close
2021-06-11,ALGO/USD,-0.08240418192636334,-0.07941882805164004,0.002985353874723304,-0.4087218775390168,short
2021-06-11,FIL/USD,0.0,-0.07141986730520022,-0.07141986730520022,-0.44450646488895024,short
2021-06-11,ANKR/USD,-0.09317869228609907,-0.09111000442646075,0.0020686878596383185,-0.5341616735022577,short
2021-06-11,DASH/USD,-0.067545853574701,-0.06790288647007421,-0.00035703289537321325,-0.4140453991546708,short
