date,symbol,signal,dw,dw_rank,percentile,weight,volatility,autocorr_30d,market_cap,volume_30d_avg
2021-07-25,USDT/USD,SHORT,2.3685982477684826,11.0,100.0,-0.16666666666666666,0.0021517734112997595,-0.24530630835234413,21340101768.041767,15475517.580333332
2021-08-01,ANKR/USD,LONG,1.419796152836085,1.0,9.090909090909092,0.25,1.237725116512432,0.1507003428883949,57309638.364605,103008027.7
2021-08-01,XLM/USD,LONG,1.4429414951310422,2.0,18.181818181818183,0.25,0.7811117213988036,0.2680179045847182,2989656210.8862576,97482432.86666666
2021-08-01,CHZ/USD,SHORT,2.2545957253468716,10.0,90.9090909090909,-0.16666666666666666,0.7826095092758641,-0.14001832019341195,106056605.39481974,7043537.933333334
2021-08-01,DOGE/USD,SHORT,2.1718936700573686,9.0,81.81818181818183,-0.16666666666666666,0.8189959876345991,-0.11119047229077171,1248577459.1098516,167763107.97666666
2021-08-01,USDT/USD,SHORT,2.484922655133472,11.0,100.0,-0.16666666666666666,0.0028783881946507386,-0.2873015784151409,21340101768.041767,15738560.637333333
2021-08-08,MANA/USD,LONG,1.7428551493381867,2.0,20.0,0.25,1.1302604955256335,0.08286814608583142,120814039.59466664,11821977.422
2021-08-08,XLM/USD,LONG,1.4585572385229852,1.0,10.0,0.25,0.8042924565554159,0.21747585530906605,2989656210.8862576,109958596.06666666
2021-08-08,DOGE/USD,SHORT,2.2635859210151077,10.0,100.0,-0.16666666666666666,1.1730599680108877,-0.18572418577212113,1248577459.1098516,219416030.19
2021-08-08,OXT/USD,SHORT,2.254210731371019,9.0,90.0,-0.16666666666666666,1.2543134720043716,-0.16760924873437769,84970405.6500807,11923499.633333333
2021-08-08,USDT/USD,SHORT,2.1742184464838354,8.0,80.0,-0.16666666666666666,0.003674613145046572,-0.13264057205230773,21340101768.041767,16774176.056666667
2021-08-15,ADA/USD,LONG,1.4973859489400292,1.0,9.090909090909092,0.25,0.8663186976130824,0.08220495405634108,6377915101.911628,68734409.62133333
2021-08-15,XLM/USD,LONG,1.5622867152757893,2.0,18.181818181818183,0.25,0.9254528504942736,0.10939919830351905,2989656210.8862576,129411492.56666666
2021-08-15,ALGO/USD,SHORT,2.2946568418781426,10.0,90.9090909090909,-0.16666666666666666,0.7897523918580972,-0.23379780372501846,506613483.19005257,16968271.3
2021-08-15,OXT/USD,SHORT,2.3891207212964543,11.0,100.0,-0.16666666666666666,1.1425294329744664,-0.2589750685664773,84970405.6500807,11446255.2
2021-08-15,USDT/USD,SHORT,2.192342377864872,9.0,81.81818181818183,-0.16666666666666666,0.004768432921632122,-0.10549886985669728,21340101768.041767,21150145.571666665
2021-08-22,ADA/USD,LONG,1.3065698281267335,1.0,7.6923076923076925,0.25,1.017682229826181,0.14126514581159794,6377915101.911628,93097697.64933333
2021-08-22,STORJ/USD,LONG,1.6111357428263755,2.0,15.384615384615385,0.25,0.8071312207805643,0.04795968128321218,67439688.15345588,5092890.814666667
2021-08-22,DOGE/USD,SHORT,2.372487253655729,13.0,100.0,-0.16666666666666666,1.1859388844781014,-0.270898229965349,1248577459.1098516,429464412.10333335
2021-08-22,FET/USD,SHORT,2.1367173794760324,11.0,84.61538461538461,-0.16666666666666666,1.3615367555520765,-0.20752061533710123,42417938.1292991,21407876.333333332
2021-08-22,USDT/USD,SHORT,2.185433831523226,12.0,92.3076923076923,-0.16666666666666666,0.005698070979641377,-0.10347043040971744,21340101768.041767,24341129.003333334
2021-08-29,ADA/USD,LONG,1.8052224635634877,1.0,8.333333333333332,0.25,1.2462093721867755,-0.05416904024177498,6377915101.911628,117566713.14033334
2021-08-29,USDT/USD,LONG,2.0710004129135116,2.0,16.666666666666664,0.25,0.005805457879611257,-0.037437275462999825,21340101768.041767,26380563.587
2021-08-29,ANKR/USD,SHORT,2.5087986315677266,10.0,83.33333333333334,-0.16666666666666666,1.0479515145915208,-0.29689596410395025,57309638.364605,139015638.33333334
2021-08-29,OXT/USD,SHORT,2.580073204395903,11.0,91.66666666666666,-0.16666666666666666,1.2528359550304717,-0.348190745834473,84970405.6500807,15241830.366666667
2021-08-29,ZRX/USD,SHORT,2.6737094051609045,12.0,100.0,-0.16666666666666666,0.8726816443172942,-0.4417947743865243,294490417.9531757,6601970.774296333
2021-09-05,ADA/USD,LONG,1.8036307851887226,1.0,7.142857142857142,0.25,1.2812144656632518,-0.027413765851230735,6377915101.911628,131615061.76099999
2021-09-05,IOTX/USD,LONG,1.8236773375990698,2.0,14.285714285714285,0.25,1.2524195777520384,-0.004808266403433133,38866649.66163049,145980790.84
2021-09-05,MANA/USD,SHORT,2.7165964151673805,13.0,92.85714285714286,-0.16666666666666666,0.9998548756699164,-0.4357043204060476,120814039.59466664,9219790.994666666
2021-09-05,XTZ/USD,SHORT,2.8247801359130675,14.0,100.0,-0.16666666666666666,1.49246546540489,-0.48108659712443347,1611874059.9112284,5220557.492333334
2021-09-05,ZRX/USD,SHORT,2.417161559002038,12.0,85.71428571428571,-0.16666666666666666,0.8939231411590663,-0.3253245150486367,294490417.9531757,6554939.661215667
2021-09-12,IOTX/USD,LONG,1.9003599645567488,2.0,14.285714285714285,0.25,1.2462850581258893,-0.02668061787929721,38866649.66163049,125913339.96666667
2021-09-12,USDT/USD,LONG,1.8515999370145397,1.0,7.142857142857142,0.25,0.0046872157807738655,0.016730515383632016,21340101768.041767,32002114.649
2021-09-12,CHZ/USD,SHORT,2.4151379120335243,12.0,85.71428571428571,-0.16666666666666666,1.2622667596621167,-0.21662282484147038,106056605.39481974,16347700.923333334
2021-09-12,FET/USD,SHORT,2.4344506953965386,13.0,92.85714285714286,-0.16666666666666666,1.5141075905040717,-0.3199954336316218,42417938.1292991,29819093.446666665
2021-09-12,MANA/USD,SHORT,2.456570340966054,14.0,100.0,-0.16666666666666666,1.229915091912138,-0.23013748594405972,120814039.59466664,9590358.271666666
2021-09-19,ALGO/USD,LONG,2.224854506022163,3.0,20.0,0.16666666666666666,2.0550080764795284,-0.15376280396546776,506613483.19005257,68518382.46666667
2021-09-19,IOTX/USD,LONG,2.080403478920023,2.0,13.333333333333334,0.16666666666666666,1.1486678109611195,-0.0734171868322069,38866649.66163049,112064369.43333334
2021-09-19,USDT/USD,LONG,2.0365636151774194,1.0,6.666666666666667,0.16666666666666666,0.0037170262578988325,-0.10323750681622836,21340101768.041767,33736269.781666666
2021-09-19,CHZ/USD,SHORT,2.498598470916614,14.0,93.33333333333333,-0.125,1.2652169972136587,-0.2916932694891978,106056605.39481974,16104536.123333333
2021-09-19,FET/USD,SHORT,2.4890141139007693,13.0,86.66666666666667,-0.125,1.557163521823886,-0.3002036504250313,42417938.1292991,31532365.26333333
2021-09-19,MANA/USD,SHORT,2.532041765751413,15.0,100.0,-0.125,1.2005696720836478,-0.27846171081717785,120814039.59466664,9185943.148666667
2021-09-19,OXT/USD,SHORT,2.41909095324123,12.0,80.0,-0.125,1.2538553558667014,-0.2149168398325769,84970405.6500807,17979214.266666666
2021-09-26,DOGE/USD,LONG,1.8613600979569744,3.0,18.75,0.16666666666666666,1.0198510714654099,0.018042111650714288,1248577459.1098516,309141008.37333333
2021-09-26,EOS/USD,LONG,1.7011161528236163,2.0,12.5,0.16666666666666666,1.3898064228219786,0.13787742733165884,2625024378.6311483,5241821.89
2021-09-26,XTZ/USD,LONG,1.6573301705351433,1.0,6.25,0.16666666666666666,1.9652030697101488,0.15770684607978108,1611874059.9112284,11632667.201666666
2021-09-26,CRV/USD,SHORT,2.082280207641202,13.0,81.25,-0.125,1.9078128657613547,-0.06294719117098559,104403922.04616404,6769082.190333333
2021-09-26,GRT/USD,SHORT,2.0872741918121407,14.0,87.5,-0.125,1.4017031055562699,-0.0659316282149141,369564933.9037584,31846705.682
2021-09-26,IOTX/USD,SHORT,2.1188333063711724,15.0,93.75,-0.125,1.5173624854039776,-0.07804083406929135,38866649.66163049,112078241.93333334
2021-09-26,OXT/USD,SHORT,2.1790591340367547,16.0,100.0,-0.125,1.0870491877011095,-0.11953865994184364,84970405.6500807,16285314.033333333
2021-10-03,MANA/USD,LONG,1.7856400034683777,3.0,20.0,0.16666666666666666,1.4406515962228574,0.0794084426049031,120814039.59466664,7315300.549
2021-10-03,XTZ/USD,LONG,1.405920414023523,1.0,6.666666666666667,0.16666666666666666,2.0962249361060934,0.2560214862597745,1611874059.9112284,12576595.873333333
2021-10-03,ZRX/USD,LONG,1.779205009637084,2.0,13.333333333333334,0.16666666666666666,1.4293545042864717,0.091270712171515,294490417.9531757,7335062.791949666
2021-10-03,ALGO/USD,SHORT,2.0313104457915716,13.0,86.66666666666667,-0.125,2.2598737693226307,-0.04891671636620794,506613483.19005257,80037863.33333333
2021-10-03,CRV/USD,SHORT,2.088022293465455,14.0,93.33333333333333,-0.125,1.965121681725219,-0.06810117327620174,104403922.04616404,7108056.336666667
2021-10-03,IOTX/USD,SHORT,2.095848209119801,15.0,100.0,-0.125,1.5676417587635938,-0.07502779811663143,38866649.66163049,117265434.16666667
2021-10-03,USDT/USD,SHORT,2.013905950948632,12.0,80.0,-0.125,0.004270694162240501,-0.007192326319092048,21340101768.041767,35298713.950333335
2021-10-10,ADA/USD,LONG,1.6760882875838419,3.0,20.0,0.16666666666666666,0.893394559673199,0.07436356345279253,6377915101.911628,100588041.088
2021-10-10,FET/USD,LONG,1.6074915029879877,2.0,13.333333333333334,0.16666666666666666,1.547765157993577,0.12201226373926984,42417938.1292991,23272447.02333333
2021-10-10,XTZ/USD,LONG,1.4798944712037219,1.0,6.666666666666667,0.16666666666666666,1.7450082478808346,0.244657283856523,1611874059.9112284,12067820.813666666
2021-10-10,ALGO/USD,SHORT,2.0920332087924507,14.0,93.33333333333333,-0.125,1.4798336734595432,-0.06251449985749621,506613483.19005257,57425226.666666664
2021-10-10,CHZ/USD,SHORT,1.994972671452357,13.0,86.66666666666667,-0.125,1.2414591420386993,-0.019903175010508353,106056605.39481974,12962078.87
2021-10-10,IOTX/USD,SHORT,2.3355759279962798,15.0,100.0,-0.125,1.4955820228360233,-0.17702060411462064,38866649.66163049,123934578.7
2021-10-10,USDT/USD,SHORT,1.993334361387534,12.0,80.0,-0.125,0.004313126919118212,-0.0005139567577862385,21340101768.041767,39450419.36399999
2021-10-17,FET/USD,LONG,1.5020856113467242,3.0,20.0,0.16666666666666666,1.343397025754537,0.24353805593045377,42417938.1292991,20685288.346666668
2021-10-17,OXT/USD,LONG,1.4579755890886528,2.0,13.333333333333334,0.16666666666666666,1.4491754888502746,0.1250077198871484,84970405.6500807,28988602.566666666
2021-10-17,XTZ/USD,LONG,1.3599353445002633,1.0,6.666666666666667,0.16666666666666666,1.6290049064163246,0.313316726280171,1611874059.9112284,9863524.037333334
2021-10-17,CRV/USD,SHORT,2.049645395389459,12.0,80.0,-0.125,1.5021364723939663,-0.02756637049156572,104403922.04616404,5168343.561000001
2021-10-17,IOTX/USD,SHORT,2.3216337319362017,15.0,100.0,-0.125,1.4837347660029137,-0.17837618508011605,38866649.66163049,125018680.66666667
2021-10-17,USDT/USD,SHORT,2.0622879471950215,13.0,86.66666666666667,-0.125,0.004500310560699097,-0.03136487782657149,21340101768.041767,39969434.06499999
2021-10-17,XLM/USD,SHORT,2.0899691018550532,14.0,93.33333333333333,-0.125,1.0702043367944083,-0.06716259128815175,2989656210.8862576,146379992.03333333
2021-10-24,FET/USD,LONG,1.3708964272291,2.0,14.285714285714285,0.25,0.8043442112582248,0.2921520150333704,42417938.1292991,17311157.79
2021-10-24,XTZ/USD,LONG,1.299727205112583,1.0,7.142857142857142,0.25,1.1281770407029128,0.3426120823743157,1611874059.9112284,7540025.082333333
2021-10-24,ANKR/USD,SHORT,2.6709393793790976,14.0,100.0,-0.16666666666666666,0.9386839180148048,-0.3510603152174255,57309638.364605,94662495.83333333
2021-10-24,CHZ/USD,SHORT,2.438854093882011,12.0,85.71428571428571,-0.16666666666666666,0.9436126695477735,-0.25241356775581747,106056605.39481974,13234531.493333334
2021-10-24,USDT/USD,SHORT,2.4963406754680055,13.0,92.85714285714286,-0.16666666666666666,0.003971608227725621,-0.2878401139637396,21340101768.041767,43664812.059
2021-10-31,XTZ/USD,LONG,1.993122285848328,1.0,16.666666666666664,0.5,1.104383001842679,-0.0456779337605072,1611874059.9112284,6420602.92
2021-10-31,ALGO/USD,SHORT,2.4314128847379126,5.0,83.33333333333334,-0.25,0.9549323760518934,-0.2164745498220773,506613483.19005257,31529246.233333334
2021-10-31,XLM/USD,SHORT,2.489263141008001,6.0,100.0,-0.25,0.984010795384022,-0.29721046919714034,2989656210.8862576,162844890.0
2021-11-07,ZRX/USD,LONG,1.90687442467829,1.0,20.0,0.5,0.8736595354942419,0.031148565076757603,294490417.9531757,9764584.134986667
2021-11-07,ALGO/USD,SHORT,2.3491469702461587,4.0,80.0,-0.25,0.8305244735722239,-0.17788593324460197,506613483.19005257,24921901.966666665
2021-11-07,XLM/USD,SHORT,2.564996122893982,5.0,100.0,-0.25,0.9000405335843197,-0.3100041246728774,2989656210.8862576,156775017.16666666
2021-11-14,OXT/USD,LONG,2.1582336268999067,1.0,20.0,0.5,1.6344760964912601,-0.11635279539215361,84970405.6500807,56676066.13333333
2021-11-14,ALGO/USD,SHORT,2.339833120414791,5.0,100.0,-0.25,0.8994365827694881,-0.20450391167893522,506613483.19005257,30062496.266666666
2021-11-14,GRT/USD,SHORT,2.254212387344135,4.0,80.0,-0.25,1.133278860703839,-0.16621860741032066,369564933.9037584,39948109.255333334
2021-11-21,OXT/USD,LONG,1.9782442812798797,1.0,20.0,0.5,1.5123456939277744,-0.00350068644312142,84970405.6500807,41932436.96666667
2021-11-21,GRT/USD,SHORT,2.4280457530004473,5.0,100.0,-0.25,1.1995545462962474,-0.22839245747529588,369564933.9037584,35402830.832666665
2021-11-21,XLM/USD,SHORT,2.384458872840099,4.0,80.0,-0.25,0.8929438340117872,-0.20056345679139875,2989656210.8862576,164858698.36666667
2021-11-28,OXT/USD,LONG,2.0246305248693988,1.0,20.0,0.5,1.4759033547667566,-0.023526025806583115,84970405.6500807,43734516.53333333
2021-11-28,GRT/USD,SHORT,2.780658991195085,5.0,100.0,-0.25,1.2567453405393267,-0.4127572345822225,369564933.9037584,34870803.59566666
2021-11-28,XLM/USD,SHORT,2.6502310274979743,4.0,80.0,-0.25,0.7601032680003977,-0.33793177959891635,2989656210.8862576,163598453.13333333
2021-12-05,OXT/USD,LONG,2.0166823398122387,1.0,20.0,0.5,1.247350772932074,-0.03171734585259291,84970405.6500807,31840126.233333334
