date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_adf_long,avg_adf_short,daily_return
2023-09-11,20479.124632404026,0,10239.562316202013,-10239.562316202013,0.0,20479.124632404026,2,1,-2.6786174813970485,-3.7325248945730927,0.004257507776870728
2023-09-12,20163.100870232814,0,10081.550435116405,-10081.550435116407,-1.1192769416986e-12,20163.100870232814,2,1,-2.2761287581506755,-3.883017158679608,-0.015431507344370043
2023-09-13,20329.49249795657,0,10164.746248978283,-10164.746248978285,-1.1285135325087886e-12,20329.49249795657,2,1,-2.337295762539532,-3.950737124821892,0.008252283653919612
2023-09-14,20242.33859768762,0,10121.169298843808,-10121.16929884381,-1.123675519170565e-12,20242.33859768762,2,1,-2.320149541926761,-4.1250020176878825,-0.004287067189587268
2023-09-15,20010.118019277284,0,10005.05900963864,-10005.059009638642,-1.1107846875234187e-12,20010.118019277284,2,1,-2.677095809397347,-4.236321883340758,-0.011472023219533667
2023-09-16,20180.86104834615,0,10090.430524173073,-10090.430524173074,-1.1202628296317434e-12,20180.86104834615,2,1,-1.9838908339520889,-3.6464423677234876,0.008532834684152002
2023-09-17,19929.9899005843,0,9964.994950292148,-9964.99495029215,-1.1063366834087762e-12,19929.9899005843,2,1,-1.9118676834141932,-3.69439786508619,-0.012431141920101973
2023-09-18,19525.104843051995,0,9762.552421525996,-9762.552421525997,-1.083861047748824e-12,19525.104843051995,2,1,-1.830739997638779,-3.8369795785511998,-0.02031536691950031
2023-09-19,19470.805524359148,0,9735.402762179574,-9735.402762179574,0.0,19470.805524359148,2,1,-1.9142040145255295,-3.244888223957222,-0.0027810001087993363
2023-09-20,19608.706728094232,0,9804.353364047116,-9804.353364047116,0.0,19608.706728094232,2,1,-1.8240864532535657,-2.8562531300716842,0.007082460125368728
2023-09-21,19659.488947641225,0,9829.744473820612,-9829.744473820612,0.0,19659.488947641225,2,1,-1.7683296439969278,-2.6069639389752335,0.0025897791349103194
2023-09-22,19532.73839706984,0,9766.36919853492,-9766.36919853492,0.0,19532.73839706984,2,1,-1.9319743979518789,-3.0883711614794027,-0.006447296311158368
2023-09-23,19859.24651287778,0,9929.62325643889,-9929.62325643889,0.0,19859.24651287778,2,1,-1.8528214280856008,-2.744230230172667,0.016715941675485846
2023-09-24,19569.95654288904,0,9784.97827144452,-9784.97827144452,0.0,19569.95654288904,2,1,-1.8615819991174742,-1.623087729907855,-0.014567016417322387
2023-09-25,19685.728310862316,0,9842.864155431158,-9842.864155431158,0.0,19685.728310862316,2,1,-2.199143693546235,-2.7581307025729975,0.005915790754034367
2023-09-26,19630.515841272703,0,9815.257920636352,-9815.257920636352,0.0,19630.515841272703,2,1,-1.4256170886074306,-3.0651430332773733,-0.0028046952958884486
2023-09-27,19646.745382289657,0,9823.372691144828,-9823.372691144828,0.0,19646.745382289657,2,1,-1.6326445485757282,-3.2273728909592556,0.0008267506135948288
2023-09-28,19915.75782291799,0,9957.878911458994,-9957.878911458994,0.0,19915.75782291799,2,1,-1.5486642362988308,-2.9391131857598323,0.013692468416210524
2023-09-29,20035.38487778055,0,10017.692438890275,-10017.692438890275,0.0,20035.38487778055,2,1,-1.4640008168348695,-3.6197263876148913,0.006006653421186892
2023-09-30,20091.658378543543,0,10045.829189271772,-10045.829189271772,0.0,20091.658378543543,2,1,-1.358943824293093,-3.0833777086440377,0.0028087057526606785
2023-10-01,19993.621527213283,0,9996.810763606642,-9996.810763606642,0.0,19993.621527213283,2,1,-1.343250156488403,-2.9574107085834873,-0.00487948030387364
2023-10-02,19676.875576288687,0,9838.437788144343,-9838.437788144343,0.0,19676.875576288687,2,1,-1.4173707979220582,-2.8957411862778635,-0.01584235004616219
2023-10-03,19664.90038797532,0,9832.45019398766,-9832.45019398766,0.0,19664.90038797532,2,1,-1.8131679393508917,-3.308250771477897,-0.0006085919620183455
2023-10-04,20052.08170948795,0,10026.040854743975,-10026.040854743975,0.0,20052.08170948795,2,1,-1.950966928881589,-3.307059764042334,0.01968895411997007
2023-10-05,19800.931175961097,0,9900.465587980549,-9900.465587980549,0.0,19800.931175961097,2,1,-0.8080349963681623,-3.317678448470344,-0.01252491073822104
2023-10-06,19896.729434656263,0,9948.364717328132,-9948.364717328132,0.0,19896.729434656263,2,1,-0.9372384727704152,-3.482613851602622,0.004838068363747894
