Strategy,Portfolio Size,Factor,Weighting,avg_return,avg_drawdown,stdev_return,stdev_downside_return,sharpe_ratio,sortino_ratio,information_coefficient,total_return,annualized_return,max_drawdown,win_rate,calmar_ratio,num_days,final_value
Size Factor - Top/Bottom 5,Top/Bottom 5,Size,Risk Parity,-0.08243933882334453,-0.38441621329053705,0.3983320924519136,0.4348614412129882,-0.3859326851834816,-0.35351346306058823,0.04700803954277437,-0.553826184057421,-0.15372937403472187,-0.7081360427580948,0.5184135977337111,-0.217090170182507,1766,4461.73815942579
Size Factor - Top/Bottom 10,Top/Bottom 10,Size,Risk Parity,-0.08243933882334453,-0.38441621329053705,0.3983320924519136,0.4348614412129882,-0.3859326851834816,-0.35351346306058823,0.04700803954277437,-0.553826184057421,-0.15372937403472187,-0.7081360427580948,0.5184135977337111,-0.217090170182507,1766,4461.73815942579
Size Factor - Top/Bottom Decile,Top/Bottom Decile,Size,Risk Parity,-0.08243933882334453,-0.38441621329053705,0.3983320924519136,0.4348614412129882,-0.3859326851834816,-0.35351346306058823,0.04700803954277437,-0.553826184057421,-0.15372937403472187,-0.7081360427580948,0.5184135977337111,-0.217090170182507,1766,4461.73815942579
Size Factor - Top/Bottom Quintile,Top/Bottom Quintile,Size,Risk Parity,-0.08243933882334453,-0.38441621329053705,0.3983320924519136,0.4348614412129882,-0.3859326851834816,-0.35351346306058823,0.04700803954277437,-0.553826184057421,-0.15372937403472187,-0.7081360427580948,0.5184135977337111,-0.217090170182507,1766,4461.73815942579
Kurtosis Factor - Top/Bottom 5,Top/Bottom 5,Kurtosis,Risk Parity,0.09839782459208424,-0.18575026256826926,0.40268269231116277,0.28921731420557567,0.021167297388826892,0.02947162525486012,-0.05045894555000843,0.01885876066393648,0.008523704301483859,-0.329489415370277,0.49813200498132004,0.025869432837182352,804,10188.587606639365
Kurtosis Factor - Top/Bottom 10,Top/Bottom 10,Kurtosis,Risk Parity,0.36183392006518456,-0.1166326843878073,0.3368059306291411,0.23727090369739598,0.8317646309058193,1.1806894828281174,-0.06385976410262512,0.722269097975481,0.2801432605766385,-0.2528848695446543,0.5242839352428393,1.1077897269261932,804,17222.69097975481
Kurtosis Factor - Top/Bottom Decile,Top/Bottom Decile,Kurtosis,Risk Parity,0.36183392006518456,-0.1166326843878073,0.3368059306291411,0.23727090369739598,0.8317646309058193,1.1806894828281174,-0.06385976410262512,0.722269097975481,0.2801432605766385,-0.2528848695446543,0.5242839352428393,1.1077897269261932,804,17222.69097975481
Kurtosis Factor - Top/Bottom Quintile,Top/Bottom Quintile,Kurtosis,Risk Parity,0.3214472746631163,-0.07406575667985589,0.2715652811772572,0.19686980094847312,0.9835731734594149,1.3567562120856849,-0.027490223649703906,0.7025470939404018,0.26710432540891316,-0.20616861834959985,0.5317073170731708,1.2955624747699706,821,17025.47093940402
Breakout Signal - Top/Bottom 5,Top/Bottom 5,Breakout,Risk Parity,0.17808767304118955,-0.14044131617066932,0.2719381566206928,0.19531169405079907,0.4805769624850522,0.669121293160082,-0.01256026889861006,0.7682520149832915,0.13068721329255695,-0.36461133968082515,0.5053128689492326,0.358428822885647,1695,17682.520149832915
Breakout Signal - Top/Bottom 10,Top/Bottom 10,Breakout,Risk Parity,0.17808767304118955,-0.14044131617066932,0.2719381566206928,0.19531169405079907,0.4805769624850522,0.669121293160082,-0.01256026889861006,0.7682520149832915,0.13068721329255695,-0.36461133968082515,0.5053128689492326,0.358428822885647,1695,17682.520149832915
Breakout Signal - Top/Bottom Decile,Top/Bottom Decile,Breakout,Risk Parity,0.17808767304118955,-0.14044131617066932,0.2719381566206928,0.19531169405079907,0.4805769624850522,0.669121293160082,-0.01256026889861006,0.7682520149832915,0.13068721329255695,-0.36461133968082515,0.5053128689492326,0.358428822885647,1695,17682.520149832915
Breakout Signal - Top/Bottom Quintile,Top/Bottom Quintile,Breakout,Risk Parity,0.17808767304118955,-0.14044131617066932,0.2719381566206928,0.19531169405079907,0.4805769624850522,0.669121293160082,-0.01256026889861006,0.7682520149832915,0.13068721329255695,-0.36461133968082515,0.5053128689492326,0.358428822885647,1695,17682.520149832915
Mean Reversion - Top/Bottom 5,Top/Bottom 5,Mean Reversion,Risk Parity,0.9981580018691896,-0.36417475732658533,1.0169881661165878,0.8758295037999846,0.26187965403587904,0.3040871630216481,0.035180474588413,0.254716477495157,0.2663285091011951,-0.7067783579441734,0.5542857142857143,0.3768204078515824,351,12547.16477495157
Mean Reversion - Top/Bottom 10,Top/Bottom 10,Mean Reversion,Risk Parity,0.9981580018691896,-0.36417475732658533,1.0169881661165878,0.8758295037999846,0.26187965403587904,0.3040871630216481,0.035180474588413,0.254716477495157,0.2663285091011951,-0.7067783579441734,0.5542857142857143,0.3768204078515824,351,12547.16477495157
Mean Reversion - Top/Bottom Decile,Top/Bottom Decile,Mean Reversion,Risk Parity,0.9981580018691896,-0.36417475732658533,1.0169881661165878,0.8758295037999846,0.26187965403587904,0.3040871630216481,0.035180474588413,0.254716477495157,0.2663285091011951,-0.7067783579441734,0.5542857142857143,0.3768204078515824,351,12547.16477495157
Mean Reversion - Top/Bottom Quintile,Top/Bottom Quintile,Mean Reversion,Risk Parity,0.9981580018691896,-0.36417475732658533,1.0169881661165878,0.8758295037999846,0.26187965403587904,0.3040871630216481,0.035180474588413,0.254716477495157,0.2663285091011951,-0.7067783579441734,0.5542857142857143,0.3768204078515824,351,12547.16477495157
Days from High - Top/Bottom 5,Top/Bottom 5,Days from High,Risk Parity,-0.6964173398744504,-0.9060057251654163,0.8794373366570776,0.807632032065048,,,-0.01520043717597182,-1.004641773290919,,-1.0315614724660618,0.4767657992565056,,1077,-46.417732909188366
Days from High - Top/Bottom 10,Top/Bottom 10,Days from High,Risk Parity,-0.6964173398744504,-0.9060057251654163,0.8794373366570776,0.807632032065048,,,-0.01520043717597182,-1.004641773290919,,-1.0315614724660618,0.4767657992565056,,1077,-46.417732909188366
Days from High - Top/Bottom Decile,Top/Bottom Decile,Days from High,Risk Parity,-0.6964173398744504,-0.9060057251654163,0.8794373366570776,0.807632032065048,,,-0.01520043717597182,-1.004641773290919,,-1.0315614724660618,0.4767657992565056,,1077,-46.417732909188366
Days from High - Top/Bottom Quintile,Top/Bottom Quintile,Days from High,Risk Parity,-0.6964173398744504,-0.9060057251654163,0.8794373366570776,0.807632032065048,,,-0.01520043717597182,-1.004641773290919,,-1.0315614724660618,0.4767657992565056,,1077,-46.417732909188366
