date,symbol,signal,adf_stat,adf_pvalue,is_stationary,adf_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2022-07-19,XLM/USD,LONG,-2.558855560029221,0.29918740624945817,False,1.0,20.0,0.5,0.6561811051697876,7216429668.542691,68846699.63333334
2022-07-26,XLM/USD,LONG,-2.6946598243996664,0.23830653819121866,False,1.0,20.0,0.5,0.6161823301325162,7216429668.542691,66521841.63333333
2022-08-02,XLM/USD,LONG,-2.2631882432489383,0.45440852963553013,False,1.0,20.0,0.5,0.6482855714139202,7216429668.542691,67659488.0
2022-08-09,ALGO/USD,LONG,-4.121802375287206,0.005857862004753031,True,1.0,20.0,0.5,0.7698590811341058,10669967912.89091,26138031.043333333
2022-08-16,ALGO/USD,LONG,-3.1817361272749385,0.08810282095053074,False,1.0,20.0,0.5,0.709777813179799,10669967912.89091,25058280.74
2022-08-23,XLM/USD,LONG,-2.800761760995343,0.19666479543109278,False,1.0,20.0,0.5,0.6140829064403444,7216429668.542691,70510678.26666667
2022-08-30,ROSE/USD,LONG,-2.7076408570762323,0.23292370608904783,False,1.0,20.0,0.5,1.2654258287318043,1452500495.9648013,31750137.15
2022-09-06,ALGO/USD,LONG,-2.148430035060869,0.5188930876564701,False,1.0,20.0,0.5,0.6707829421300581,10669967912.89091,19190199.610000003
2022-09-13,ALGO/USD,LONG,-2.358170691911121,0.40207969923210907,False,1.0,20.0,0.5,0.7396021127697938,10669967912.89091,19944417.423333336
2022-09-20,GRT/USD,LONG,-3.3459297872592257,0.05904233293055875,False,1.0,20.0,0.5,1.0866851650154,3190739450.3534613,20937931.729333334
2022-09-27,CRO/USD,LONG,-2.7573600643113054,0.21304580560110237,False,1.0,20.0,0.5,0.8445341017180044,14847022636.659174,16672362.633333333
2022-10-04,GRT/USD,LONG,-2.395554245704688,0.38198511569331217,False,1.0,20.0,0.5,1.0056728992745554,3190739450.3534613,19590066.776
2024-03-05,GRT/USD,LONG,-1.0473949710105084,0.9373888411750194,False,1.0,20.0,0.5,0.9794750093909423,1527332090.1885202,49483649.88366667
2024-03-12,ALGO/USD,LONG,-1.2036959829365435,0.9097427967748242,False,1.0,20.0,0.5,0.8936684443469098,1430115479.6308138,26387107.873333335
2024-03-19,ZRX/USD,LONG,-6.718299296027055,6.066740233094193e-08,True,1.0,14.285714285714285,0.5,1.8039559761707855,261844608.6381694,11220166.234642666
2024-03-26,CRO/USD,LONG,-3.1484453454263774,0.0951725539021338,False,1.0,16.666666666666664,0.5,1.2261883381015726,2193472219.621349,39618522.96000001
2024-04-02,CRO/USD,LONG,-2.8045670367186193,0.19527207173488964,False,1.0,16.666666666666664,0.5,1.0587036126393703,2193472219.621349,32879365.066666666
2024-04-09,CRO/USD,LONG,-2.4873029582223816,0.33433916044458145,False,1.0,16.666666666666664,0.5,1.0086948569998042,2193472219.621349,21446291.076666664
2024-04-16,CRO/USD,LONG,-2.0586072013330585,0.5691831718671162,False,1.0,20.0,0.5,0.9826055698271602,2193472219.621349,18244349.063333333
2024-04-23,CRO/USD,LONG,-3.8324919205066283,0.014986328646165729,True,1.0,20.0,0.5,0.7239482226749231,2193472219.621349,16088834.6
2024-04-30,CRO/USD,LONG,-3.860318709569789,0.013744949287911127,True,1.0,20.0,0.5,0.7173596865693257,2193472219.621349,15093493.903333334
2024-05-07,CRO/USD,LONG,-3.812068266735944,0.01595964661701744,True,1.0,20.0,0.5,0.7051606865505402,2193472219.621349,13157155.890000002
2024-11-19,CRO/USD,LONG,-1.494364475374772,0.8310535190446081,False,1.0,20.0,0.5,2.2890479253855314,2193472219.621349,45438872.879999995
2024-11-26,BONK/USD,LONG,-3.4825519104826355,0.04129611188876119,True,1.0,16.666666666666664,0.5,1.8228819556884017,651393425.618817,3924876113493.0
2024-12-03,XLM/USD,LONG,-2.8516036138743526,0.17863692472123244,False,1.0,16.666666666666664,0.5,2.4650323076073777,3259659946.8074923,429984761.7629254
2024-12-10,XLM/USD,LONG,-2.4683364287815124,0.34396942961067756,False,1.0,14.285714285714285,0.5,2.63440402687658,3259659946.8074923,468746720.9614802
2024-12-17,XLM/USD,LONG,-3.2691285441449436,0.07148588609323525,False,1.0,14.285714285714285,0.5,2.1411653733484277,3259659946.8074923,438259884.00845605
2024-12-24,OXT/USD,LONG,-1.8837259488284426,0.6630598230335585,False,1.0,16.666666666666664,0.5,1.2383077140473528,263691628.991675,13461098.833333334
2024-12-31,CRO/USD,LONG,-4.721496114625986,0.0006410803092848456,True,1.0,20.0,0.5,1.0303678462358556,2193472219.621349,32551963.466666665
2025-01-07,CRO/USD,LONG,-3.8359015378722034,0.014829062413785718,True,1.0,20.0,0.5,1.0269065447161771,4226833510.875261,23079474.60666667
2025-01-14,BONK/USD,LONG,-3.7304702672031222,0.020427489323359378,True,1.0,20.0,0.5,1.2424770827513443,2620322044.1454067,1060418944229.1333
2025-01-21,XLM/USD,LONG,-3.313446650525032,0.06407162869286741,False,1.0,20.0,0.5,1.3208906855879545,13373293388.155737,178031229.72279528
2025-01-28,CRO/USD,LONG,-3.2675616219032215,0.07176008568671743,False,1.0,20.0,0.5,0.7013831587299728,4226833510.875261,18773733.806666665
2025-02-04,CRO/USD,LONG,-3.894519523260946,0.012344950825372908,True,1.0,20.0,0.5,0.8114168014277074,4226833510.875261,19908524.47666667
2025-02-11,CRO/USD,LONG,-2.7619498259998476,0.21127047382813946,False,1.0,20.0,0.5,0.7616619924670024,4226833510.875261,20027800.37
2025-02-18,GRT/USD,LONG,-3.019597593876887,0.12668412213230668,False,1.0,20.0,0.5,0.9006508511432423,2322441718.14376,23994033.541
2025-02-25,GRT/USD,LONG,-2.7811226457080913,0.20396428117464305,False,1.0,20.0,0.5,0.9717591820965698,2322441718.14376,22982732.168
2025-03-04,GIGA/USD,LONG,-3.5004224647427264,0.039345834590128206,True,1.0,9.090909090909092,0.25,2.0781953019484103,769429559.7931653,112867493.63000001
2025-03-04,XLM/USD,LONG,-2.959001904122206,0.14390614841585597,False,2.0,18.181818181818183,0.25,1.1038591530926494,13373293388.155737,123661666.19532509
2025-03-11,ALGO/USD,LONG,-2.7973359521090555,0.1979246429099058,False,2.0,18.181818181818183,0.25,1.241029107125597,3384098842.854815,27966779.82
2025-03-11,XLM/USD,LONG,-3.332841808700323,0.06102862540944654,False,1.0,9.090909090909092,0.25,1.1001466784668401,13373293388.155737,100666849.61804779
2025-03-18,FLOKI/USD,LONG,-4.577595647284495,0.001123870741609335,True,2.0,16.666666666666664,0.25,1.1386808516718183,1911027839.4132748,13756837193.733334
2025-03-18,TURBO/USD,LONG,-5.337472955804308,4.786854323837548e-05,True,1.0,8.333333333333332,0.25,1.475958732350079,655209318.6224619,557011491.7333333
2025-03-25,MOG/USD,LONG,-3.429013673297341,0.04763048941238712,True,1.0,8.333333333333332,0.25,1.7244577654847646,1135029920.0852993,1910018760898.7334
2025-03-25,PNUT/USD,LONG,-3.2592019752865684,0.07323718430949593,False,2.0,16.666666666666664,0.25,2.2608543712674636,756472715.6159503,28562346.979
2025-04-01,GIGA/USD,LONG,-5.275478871461259,6.296290184327718e-05,True,1.0,8.333333333333332,0.25,2.601373105982657,769429559.7931653,224665290.59666666
2025-04-01,TURBO/USD,LONG,-5.107502631394746,0.00013049471224171042,True,2.0,16.666666666666664,0.25,1.265060703554134,655209318.6224619,449271819.8666667
2025-04-08,ALGO/USD,LONG,-3.4200691314703913,0.048763740393209305,True,2.0,16.666666666666664,0.25,0.9307137854606106,3384098842.854815,20309673.433333337
2025-04-08,WIF/USD,LONG,-3.6231767485174697,0.027941320869501022,True,1.0,8.333333333333332,0.25,1.141721316925476,2098966578.6955955,13194014.882000001
2025-04-15,PENGU/USD,LONG,-3.296656314649538,0.06680398440581169,False,2.0,15.384615384615385,0.25,1.5138288235160802,2520508443.2097683,171882503.26666668
2025-04-15,XLM/USD,LONG,-3.419643901094565,0.048818168044342754,True,1.0,7.6923076923076925,0.25,0.7690904618941655,13373293388.155737,65110355.75922015
2025-04-22,PEPE/USD,LONG,-3.0263321327981703,0.12486730192351081,False,2.0,14.285714285714285,0.25,1.1987274803628036,8714215845.94732,2122914894607.2334
2025-04-22,XLM/USD,LONG,-3.467296893938701,0.043024581375835876,True,1.0,7.142857142857142,0.25,0.7479349912768561,13373293388.155737,63958507.49967481
2025-04-29,CRO/USD,LONG,-2.4825567149020595,0.3367374705527454,False,3.0,20.0,0.16666666666666666,0.8571741107959768,4226833510.875261,13960542.053333333
