date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2024-08-12,2368.6320486807117,0,1184.3160243403559,0,1184.3160243403559,1184.3160243403559,1,0,1.7797479233598774,,,,0.006644616059341413
2024-08-13,2353.883215175488,0,1176.941607587744,0,1176.941607587744,1176.941607587744,1,0,1.892818198666439,,,,-0.006226730535643266
2024-08-14,2342.2771436560233,0,1171.1385718280117,0,1171.1385718280117,1171.1385718280117,1,0,1.8700040048285798,,,,-0.0049306063464154
2024-08-15,2332.5653390908055,0,1166.2826695454028,0,1166.2826695454028,1166.2826695454028,1,0,1.8705381722013128,,,,-0.00414630889923584
2024-08-16,2342.5416314488807,0,1171.2708157244404,0,1171.2708157244404,1171.2708157244404,1,0,1.8596353199992606,,,,0.004276961588550288
2024-08-17,2315.760990510052,0,1157.880495255026,0,1157.880495255026,1157.880495255026,1,0,1.8527644527934126,,,,-0.011432300958623576
2024-08-18,2350.0984528130007,0,1175.0492264065003,0,1175.0492264065003,1175.0492264065003,1,0,1.8506220589040985,,,,0.014827722914265706
2024-08-19,2364.186748785628,0,1182.093374392814,0,1182.093374392814,1182.093374392814,1,0,1.861806054307262,,,,0.005994768413112306
2024-08-20,2376.896904356298,0,1188.448452178149,0,1188.448452178149,1188.448452178149,1,0,1.8701395983359494,,,,0.005376121652487242
2024-08-21,2384.805278137073,0,1192.4026390685365,0,1192.4026390685365,1192.4026390685365,1,0,1.838454033250873,,,,0.0033271841813082847
2024-08-22,2457.2492926839336,0,1228.6246463419668,0,1228.6246463419668,1228.6246463419668,1,0,1.8072876551495645,,,,0.030377329005012665
2024-08-23,2478.367458638834,0,1239.183729319417,0,1239.183729319417,1239.183729319417,1,0,1.8201451842276037,,,,0.008594230149043591
2024-08-24,2435.3956172158937,0,1217.6978086079469,0,1217.6978086079469,1217.6978086079469,1,0,1.7823981856130615,,,,-0.01733876922615063
2024-08-25,2371.895175633314,0,1185.947587816657,0,1185.947587816657,1185.947587816657,1,0,1.8110855947032907,,,,-0.02607397382737031
2024-08-26,2316.850832248082,0,1158.425416124041,0,1158.425416124041,1158.425416124041,1,0,1.814306825468878,,,,-0.023206903893016606
2024-08-27,2303.2381560280432,0,1151.6190780140216,0,1151.6190780140216,1151.6190780140216,1,0,1.75398279569796,,,,-0.0058755082677593995
2024-08-28,2303.2381560280432,0,1151.6190780140216,0,1151.6190780140216,1151.6190780140216,1,0,1.7184969104243553,,,,0.0
2024-08-29,2315.873601821524,0,1157.936800910762,0,1157.936800910762,1157.936800910762,1,0,1.7121681837559535,,,,0.005485948450624223
2024-08-30,2270.783357350129,0,1135.3916786750644,0,1135.3916786750644,1135.3916786750644,1,0,1.7352757738927087,,,,-0.01947008007515172
2024-08-31,2225.737118375415,0,1112.8685591877074,0,1112.8685591877074,1112.8685591877074,1,0,1.7408087960149994,,,,-0.019837312453831024
2024-09-01,2289.5554199957937,0,1144.7777099978969,0,1144.7777099978969,1144.7777099978969,1,0,1.6937145865229577,,,,0.028672883735236576
2024-09-02,2230.6441001997937,0,1115.3220500998968,0,1115.3220500998968,1115.3220500998968,1,0,1.6984899144028214,,,,-0.025730462465114012
2024-09-03,2259.255502450608,0,1129.627751225304,0,1129.627751225304,1129.627751225304,1,0,1.8056407734635584,,,,0.012826520487177584
2024-09-04,2241.8733082425815,0,1120.9366541212908,0,1120.9366541212908,1120.9366541212908,1,0,1.7527763319457033,,,,-0.007693770885662254
2024-09-05,2214.3152752677174,0,1107.1576376338587,0,1107.1576376338587,1107.1576376338587,1,0,1.5445382978021294,,,,-0.012292413167837357
2024-09-06,2221.073711931399,0,1110.5368559656995,0,1110.5368559656995,1110.5368559656995,1,0,1.5440361258420858,,,,0.0030521564562953074
2024-09-07,2238.823971854315,0,1119.4119859271575,0,1119.4119859271575,1119.4119859271575,1,0,1.5353437796188252,,,,0.007991747337138477
2024-09-08,2277.443600726046,0,1138.721800363023,0,1138.721800363023,1138.721800363023,1,0,1.5539348996355091,,,,0.017249962193206292
2024-09-09,2286.938684863527,0,1143.4693424317636,0,1143.4693424317636,1143.4693424317636,1,0,1.5416919495093906,,,,0.004169185192754776
2024-09-10,2271.077170883421,0,1135.5385854417104,0,1135.5385854417104,1135.5385854417104,1,0,1.5149976964567349,,,,-0.006935697089339721
2024-09-11,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-12,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-13,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-14,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-15,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-16,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-17,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-18,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-19,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-20,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-21,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-22,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-23,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-24,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-25,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-26,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-27,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-28,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-29,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-09-30,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-01,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-02,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-03,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-04,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-05,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-06,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-07,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-08,2271.077170883421,0,0.0,0,0.0,0.0,0,0,,,,,0.0
2024-10-09,2276.078438864677,0,1138.0392194323385,0,1138.0392194323385,1138.0392194323385,1,0,1.5940890081423937,,,,0.002202156776253794
