date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_spread_long,avg_spread_short
2024-12-04,9585.493768347917,0,5941.894431003904,0,5941.894431003904,5941.894431003904,2,0,375.51756640264813,0
2024-12-05,9309.244828859746,0,5941.894431003904,0,5941.894431003904,5941.894431003904,2,0,375.51756640264813,0
2024-12-06,9744.958254939856,0,5941.894431003904,0,5941.894431003904,5941.894431003904,2,0,375.51756640264813,0
2024-12-07,9848.059455503746,0,5941.894431003904,0,5941.894431003904,5941.894431003904,2,0,375.51756640264813,0
2024-12-08,9712.439355197814,0,5941.894431003904,0,5941.894431003904,5941.894431003904,2,0,375.51756640264813,0
2024-12-09,9203.985025641661,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-10,9364.076057550732,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-11,9497.38936283209,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-12,9329.470124379724,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-13,9436.347320043484,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-14,9288.027732692612,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-15,9370.76531853481,0,4856.219677598907,0,4856.219677598907,4856.219677598907,2,0,279.16787883981794,0
2024-12-16,9838.05409963974,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-17,9891.629708440749,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-18,9462.864829215245,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-19,9128.385688015338,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-20,9245.59750352766,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-21,9033.07294589463,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-22,9138.96193155656,0,4685.382659267405,0,4685.382659267405,4685.382659267405,2,0,108.25921473633157,0
2024-12-23,10299.998856680795,0,4569.48096577828,0,4569.48096577828,4569.48096577828,2,0,-10.821198062202427,0
2024-12-24,10320.28457546546,0,4569.48096577828,0,4569.48096577828,4569.48096577828,2,0,-10.821198062202427,0
2024-12-25,10219.003621416834,0,4569.48096577828,0,4569.48096577828,4569.48096577828,2,0,-10.821198062202427,0
2024-12-26,9990.792640541034,0,4569.48096577828,0,4569.48096577828,4569.48096577828,2,0,-10.821198062202427,0
2024-12-27,9904.638062746424,0,4569.48096577828,0,4569.48096577828,4569.48096577828,2,0,-10.821198062202427,0
