date,symbol,signal,old_weight,new_weight,weight_change,kurtosis
2021-07-13,USDT/USD,SHORT,-0.49877059249561434,-0.4988722219055989,-0.00010162940998453829,0.3399594082862465
2021-07-13,XLM/USD,LONG,0.21781554699870376,0.22370964763810802,0.005894100639404265,4.645410599065917
2021-07-13,ANKR/USD,LONG,0.1485637990292255,0.14736462802052105,-0.0011991710087044527,6.702658558033955
2021-07-13,DOGE/USD,LONG,0.1336206539720707,0.12892572434137098,-0.004694929630699729,9.595084073286376
2021-07-18,GRT/USD,CLOSE,-0.0011277780944011209,0.0,0.0011277780944011209,1.7570900007765422
2021-07-18,XLM/USD,CLOSE,0.22370964763810802,0.0,-0.22370964763810802,5.601646202229688
2021-07-18,ANKR/USD,LONG,0.14736462802052105,0.15608069021944654,0.008716062198925484,5.917459266067803
2021-07-18,CHZ/USD,LONG,0.0,0.20791246888546933,0.20791246888546933,8.09769317494502
2021-07-18,OXT/USD,SHORT,0.0,-0.0012001199132588955,-0.0012001199132588955,1.0806534394559097
2021-07-18,DOGE/USD,LONG,0.12892572434137098,0.13600684089508414,0.007081116553713157,8.538639729408953
2021-07-23,MANA/USD,SHORT,0.0,-0.0007639529591586728,-0.0007639529591586728,-1.0076377752481758
2021-07-23,USDT/USD,SHORT,-0.4987998800867411,-0.49923604704084135,-0.00043616695410025885,-0.24505729328578152
2021-07-23,XLM/USD,LONG,0.0,0.1992160971300875,0.1992160971300875,1.2131586618930088
2021-07-23,ANKR/USD,CLOSE,0.15608069021944654,0.0,-0.15608069021944654,-0.18864509282080233
2021-07-23,STORJ/USD,LONG,0.0,0.14578838517773146,0.14578838517773146,1.3747854140004208
2021-07-23,CHZ/USD,CLOSE,0.20791246888546933,0.0,-0.20791246888546933,-0.22966051009151878
2021-07-23,OXT/USD,LONG,-0.0012001199132588955,0.1549955176921811,0.15619563760543997,0.5282436820914773
2021-07-23,DOGE/USD,CLOSE,0.13600684089508414,0.0,-0.13600684089508414,-0.1417812530990208
2021-07-28,MANA/USD,SHORT,-0.0007639529591586728,-0.17602287810952633,-0.17525892515036764,-0.9125663969722972
2021-07-28,USDT/USD,CLOSE,-0.49923604704084135,0.0,0.49923604704084135,0.45656491183964976
2021-07-28,XLM/USD,LONG,0.1992160971300875,0.21202006251349195,0.012803965383404448,2.545909507721185
2021-07-28,ALGO/USD,SHORT,0.0,-0.3239771218904736,-0.3239771218904736,-0.16100847980345545
2021-07-28,STORJ/USD,LONG,0.14578838517773146,0.13962878096568468,-0.006159604212046782,1.3193224433546042
2021-07-28,OXT/USD,LONG,0.1549955176921811,0.14835115652082334,-0.006644361171357749,1.0857504690358741
2021-08-02,ADA/USD,LONG,0.0,0.21185268052488096,0.21185268052488096,1.939465401915304
2021-08-02,MANA/USD,SHORT,-0.17602287810952633,-0.2023029190550056,-0.026280040945479283,-0.6458828992648473
2021-08-02,XLM/USD,LONG,0.21202006251349195,0.17026896754077375,-0.0417510949727182,3.6555698302265434
2021-08-02,ALGO/USD,CLOSE,-0.3239771218904736,0.0,0.3239771218904736,0.5238076403977621
2021-08-02,STORJ/USD,SHORT,0.13962878096568468,-0.2976970809449944,-0.4373258619106791,-0.22358035047873814
2021-08-02,OXT/USD,LONG,0.14835115652082334,0.1178783519343453,-0.03047280458647804,1.774840231777997
2021-08-07,GRT/USD,SHORT,0.0,-0.2807345683426916,-0.2807345683426916,-0.0025550716835027742
2021-08-07,ADA/USD,LONG,0.21185268052488096,0.21429572485196824,0.0024430443270872793,1.9704534000615954
2021-08-07,MANA/USD,SHORT,-0.2023029190550056,-0.21926543165730839,-0.016962512602302776,-0.2868704813689411
2021-08-07,XLM/USD,LONG,0.17026896754077375,0.1715259542919021,0.0012569867511283417,3.6368482174053627
2021-08-07,STORJ/USD,CLOSE,-0.2976970809449944,0.0,0.2976970809449944,
2021-08-07,OXT/USD,CLOSE,0.1178783519343453,0.0,-0.1178783519343453,1.1002870322815212
2021-08-07,DOGE/USD,LONG,0.0,0.11417832085612964,0.11417832085612964,6.841712637055524
2021-08-12,GRT/USD,SHORT,-0.2807345683426916,-0.26442718102531965,0.01630738731737197,-0.20519318931389074
2021-08-12,ADA/USD,LONG,0.21429572485196824,0.19576835834806414,-0.018527366503904102,1.6138996405910975
2021-08-12,MANA/USD,SHORT,-0.21926543165730839,-0.23557281897468033,-0.01630738731737194,-0.12016816438528499
2021-08-12,XLM/USD,LONG,0.1715259542919021,0.1762252785522164,0.004699324260314303,1.6142442572598394
2021-08-12,DOGE/USD,LONG,0.11417832085612964,0.12800636309971947,0.013828042243589828,5.9588400064446745
2021-08-17,GRT/USD,SHORT,-0.26442718102531965,-0.23643029134559146,0.027996889679728187,-0.03395078856735667
2021-08-17,ZRX/USD,LONG,0.0,0.18979212455688044,0.18979212455688044,1.2367373866656948
2021-08-17,ADA/USD,LONG,0.19576835834806414,0.17532942152532577,-0.02043893682273837,1.2418267649370174
2021-08-17,MANA/USD,CLOSE,-0.23557281897468033,0.0,0.23557281897468033,0.2377249816861564
2021-08-17,XLM/USD,CLOSE,0.1762252785522164,0.0,-0.1762252785522164,0.10564031533108498
2021-08-17,ALGO/USD,SHORT,0.0,-0.26356970865440854,-0.26356970865440854,-0.5082231691099817
2021-08-17,DOGE/USD,LONG,0.12800636309971947,0.13487845391779382,0.006872090818074356,3.9191026807140714
2021-08-22,GRT/USD,CLOSE,-0.23643029134559146,0.0,0.23643029134559146,0.04370331463035049
2021-08-22,ZRX/USD,CLOSE,0.18979212455688044,0.0,-0.18979212455688044,0.085165556598779
2021-08-22,USDT/USD,SHORT,0.0,-0.49649491533006757,-0.49649491533006757,-0.4566442547773599
2021-08-22,ADA/USD,CLOSE,0.17532942152532577,0.0,-0.17532942152532577,0.54856942753162
2021-08-22,ANKR/USD,LONG,0.0,0.16879107961131756,0.16879107961131756,1.889965047902602
2021-08-22,STORJ/USD,SHORT,0.0,-0.0035050846699323773,-0.0035050846699323773,-0.2706522292864344
2021-08-22,ALGO/USD,CLOSE,-0.26356970865440854,0.0,0.26356970865440854,0.009980856861036003
2021-08-22,OXT/USD,LONG,0.0,0.1699737162273429,0.1699737162273429,1.8440982891395263
2021-08-22,DOGE/USD,LONG,0.13487845391779382,0.16123520416133955,0.026356750243545723,5.080287824784765
2021-08-27,USDT/USD,SHORT,-0.49649491533006757,-0.4969499507148559,-0.00045503538478836036,-0.5425796045704723
2021-08-27,XLM/USD,SHORT,0.0,-0.00305004928514412,-0.00305004928514412,-0.6997447143585025
2021-08-27,ANKR/USD,LONG,0.16879107961131756,0.19213208269342746,0.0233410030821099,3.27737685196714
2021-08-27,STORJ/USD,CLOSE,-0.0035050846699323773,0.0,0.0035050846699323773,
2021-08-27,OXT/USD,LONG,0.1699737162273429,0.15864221777818932,-0.01133149844915357,0.7514425065649881
2021-08-27,DOGE/USD,LONG,0.16123520416133955,0.14922569952838324,-0.012009504632956303,2.916315240693865
2021-09-01,ZRX/USD,LONG,0.0,0.21502586739711635,0.21502586739711635,0.16090080901426917
2021-09-01,USDT/USD,CLOSE,-0.4969499507148559,0.0,0.4969499507148559,-0.4120441226455771
2021-09-01,XLM/USD,SHORT,-0.00305004928514412,-0.22810890391411315,-0.22505885462896902,-0.8658468990600223
2021-09-01,ANKR/USD,SHORT,0.19213208269342746,-0.27189109608588685,-0.4640231787793143,-0.7060734190897344
2021-09-01,OXT/USD,LONG,0.15864221777818932,0.14679917919270413,-0.011843038585485188,0.6327835201713232
2021-09-01,DOGE/USD,LONG,0.14922569952838324,0.1381749534101795,-0.011050746118203753,2.503970490434564
2021-09-06,ZRX/USD,CLOSE,0.21502586739711635,0.0,-0.21502586739711635,-0.14009704216669316
2021-09-06,MANA/USD,SHORT,0.0,-0.2481921667237976,-0.2481921667237976,-0.6998728670716776
2021-09-06,XLM/USD,SHORT,-0.22810890391411315,-0.25180783327620243,-0.023698929362089283,-0.9471889371363047
2021-09-06,XTZ/USD,LONG,0.0,0.13180442083330282,0.13180442083330282,1.5565890865943723
2021-09-06,ANKR/USD,CLOSE,-0.27189109608588685,0.0,0.27189109608588685,-0.6279194119848941
2021-09-06,OXT/USD,LONG,0.14679917919270413,0.1813049824613086,0.034505803268604474,1.6447290492447335
2021-09-06,DOGE/USD,LONG,0.1381749534101795,0.1868905967053886,0.04871564329520911,0.20125722475375385
2021-09-11,ADA/USD,SHORT,0.0,-0.0017232720336621018,-0.0017232720336621018,-0.4092056088089211
2021-09-11,USDT/USD,SHORT,0.0,-0.49827672796633793,-0.49827672796633793,-0.3894427041167865
2021-09-11,MANA/USD,CLOSE,-0.2481921667237976,0.0,0.2481921667237976,2.9754124758398435
2021-09-11,XLM/USD,CLOSE,-0.25180783327620243,0.0,0.25180783327620243,3.412432304929447
2021-09-11,XTZ/USD,CLOSE,0.13180442083330282,0.0,-0.13180442083330282,1.11293378372706
2021-09-11,ANKR/USD,LONG,0.0,0.20068942617163998,0.20068942617163998,4.466106404893048
2021-09-11,ALGO/USD,LONG,0.0,0.1167437432780883,0.1167437432780883,4.1228232018702204
2021-09-11,CHZ/USD,LONG,0.0,0.18256683055027176,0.18256683055027176,6.17893103501711
2021-09-11,OXT/USD,CLOSE,0.1813049824613086,0.0,-0.1813049824613086,2.645639169754462
2021-09-11,DOGE/USD,CLOSE,0.1868905967053886,0.0,-0.1868905967053886,1.651761868827041
2021-09-16,XLM/USD,LONG,0.0,0.17051165827684067,0.17051165827684067,5.729840335703363
2021-09-16,ANKR/USD,LONG,0.20068942617163998,0.17639058144436146,-0.02429884472727853,5.783014617554546
2021-09-16,CHZ/USD,LONG,0.18256683055027176,0.15309776027879787,-0.029469070271473885,6.68673261018192
2021-09-16,ALGO/USD,CLOSE,0.1167437432780883,0.0,-0.1167437432780883,3.256165319101429
2021-09-21,ADA/USD,CLOSE,-0.0016808242836215239,0.0,0.0016808242836215239,0.8479868075637409
2021-09-21,USDT/USD,CLOSE,-0.49831917571637846,0.0,0.49831917571637846,0.7518189058924367
2021-09-21,XLM/USD,LONG,0.17051165827684067,0.20881877786045158,0.03830711958361091,4.028158446437741
2021-09-21,XTZ/USD,SHORT,0.0,-0.22526971929610337,-0.22526971929610337,0.14846981603743847
2021-09-21,ALGO/USD,LONG,0.0,0.11175166980796603,0.11175166980796603,3.1021067776317244
2021-09-21,CHZ/USD,LONG,0.15309776027879787,0.1794295523315824,0.02633179205278452,3.7265108963094455
2021-09-21,ANKR/USD,CLOSE,0.17639058144436146,0.0,-0.17639058144436146,2.9149852122629563
2021-09-21,CRV/USD,SHORT,0.0,-0.2747302807038966,-0.2747302807038966,0.5407289633179131
2021-09-26,XLM/USD,LONG,0.20881877786045158,0.16580824555417134,-0.04301053230628024,4.251258215354309
2021-09-26,XTZ/USD,SHORT,-0.22526971929610337,-0.24629550943599413,-0.021025790139890754,0.625448163204362
2021-09-26,ALGO/USD,CLOSE,0.11175166980796603,0.0,-0.11175166980796603,2.376056446329347
2021-09-26,CHZ/USD,LONG,0.1794295523315824,0.14388772441898018,-0.035541827912602214,4.393819218240833
2021-09-26,CRV/USD,SHORT,-0.2747302807038966,-0.25370449056400585,0.021025790139890754,0.19952279757994118
2021-09-26,DOGE/USD,LONG,0.0,0.19030403002684845,0.19030403002684845,3.080687844191864
2021-10-01,XLM/USD,LONG,0.16580824555417134,0.16558796442823664,-0.00022028112593469595,3.673832720474543
2021-10-01,XTZ/USD,SHORT,-0.24629550943599413,-0.24608790384283907,0.00020760559315505245,0.39689027006651845
2021-10-01,CHZ/USD,LONG,0.14388772441898018,0.1431988913944828,-0.0006888330244973762,3.623832171818358
2021-10-01,CRV/USD,SHORT,-0.25370449056400585,-0.2539120961571609,-0.0002076055931550802,-0.03777594091553338
2021-10-01,DOGE/USD,LONG,0.19030403002684845,0.19121314417728058,0.0009091141504321276,2.857369413912372
2021-10-06,XLM/USD,LONG,0.16558796442823664,0.1649472888313759,-0.0006406755968607347,3.286664075291988
2021-10-06,XTZ/USD,SHORT,-0.24608790384283907,-0.2403110950953537,0.0057768087474853735,-0.10181188918709205
2021-10-06,CHZ/USD,LONG,0.1431988913944828,0.14746540874384262,0.004266517349359816,3.589363191642267
2021-10-06,OXT/USD,LONG,0.0,0.18758730242478144,0.18758730242478144,2.6364126610995022
2021-10-06,CRV/USD,SHORT,-0.2539120961571609,-0.2596889049046463,-0.0057768087474853735,-0.13108187733683563
2021-10-06,DOGE/USD,CLOSE,0.19121314417728058,0.0,-0.19121314417728058,2.3016912579282254
2021-10-11,ADA/USD,LONG,0.0,0.20249411104353726,0.20249411104353726,1.9315596835677908
2021-10-11,MANA/USD,LONG,0.0,0.13422986291366412,0.13422986291366412,1.353115414486818
2021-10-11,XLM/USD,SHORT,0.1649472888313759,-0.3196969812088642,-0.48464427004024013,-0.45482697391141036
2021-10-11,XTZ/USD,SHORT,-0.2403110950953537,-0.18030301879113578,0.06000807630421792,-0.34870199903529286
2021-10-11,ANKR/USD,LONG,0.0,0.16327602604279864,0.16327602604279864,1.103424159458652
2021-10-11,CHZ/USD,CLOSE,0.14746540874384262,0.0,-0.14746540874384262,0.9053741306486072
2021-10-11,OXT/USD,CLOSE,0.18758730242478144,0.0,-0.18758730242478144,-0.09328780897997868
2021-10-11,CRV/USD,CLOSE,-0.2596889049046463,0.0,0.2596889049046463,0.40017940685964737
2021-10-16,ADA/USD,LONG,0.20249411104353726,0.20942031628146227,0.006926205237925004,2.519004935120396
2021-10-16,MANA/USD,CLOSE,0.13422986291366412,0.0,-0.13422986291366412,1.1967521094380533
2021-10-16,XLM/USD,SHORT,-0.3196969812088642,-0.3058217855153505,0.013875195693513698,-0.70232633588759
2021-10-16,XTZ/USD,SHORT,-0.18030301879113578,-0.19417821448464945,-0.01387519569351367,-0.15750813050245727
2021-10-16,ANKR/USD,LONG,0.16327602604279864,0.1610919808501085,-0.002184045192690137,1.220001542903347
2021-10-16,OXT/USD,LONG,0.0,0.12948770286842926,0.12948770286842926,6.507496940410807
2021-10-21,ADA/USD,LONG,0.20942031628146227,0.23810079505690349,0.02868047877544122,3.440785222697233
2021-10-21,MANA/USD,LONG,0.0,0.15190404448222436,0.15190404448222436,1.3075563939575616
2021-10-21,XLM/USD,SHORT,-0.3058217855153505,-0.29131300803080096,0.01450877748454954,-0.8597852231938714
2021-10-21,XTZ/USD,SHORT,-0.19417821448464945,-0.20868699196919907,-0.014508777484549623,-0.31985753110413384
2021-10-21,ANKR/USD,CLOSE,0.1610919808501085,0.0,-0.1610919808501085,0.6776138695089133
2021-10-21,OXT/USD,LONG,0.12948770286842926,0.10999516046087213,-0.01949254240755713,3.6413302505773926
2021-10-26,USDT/USD,SHORT,0.0,-0.4978476324160333,-0.4978476324160333,-0.8074159629558344
2021-10-26,ADA/USD,CLOSE,0.23810079505690349,0.0,-0.23810079505690349,0.023789472469145423
2021-10-26,MANA/USD,CLOSE,0.15190404448222436,0.0,-0.15190404448222436,-0.2169771827663407
2021-10-26,XLM/USD,SHORT,-0.29131300803080096,-0.0021523675839667214,0.28916064044683426,-0.6590659130306507
2021-10-26,XTZ/USD,CLOSE,-0.20868699196919907,0.0,0.20868699196919907,0.7226362896076397
2021-10-26,ANKR/USD,LONG,0.0,0.22091789019668506,0.22091789019668506,1.8709844065410444
2021-10-26,OXT/USD,LONG,0.10999516046087213,0.14327725504569247,0.03328209458482034,4.141495089089502
2021-10-26,CRV/USD,LONG,0.0,0.13580485475762244,0.13580485475762244,4.608757416199542
2021-10-31,ZRX/USD,LONG,0.0,0.319491459941603,0.319491459941603,2.13857421699217
2021-10-31,USDT/USD,CLOSE,-0.4978476324160333,0.0,0.4978476324160333,
2021-10-31,XLM/USD,SHORT,-0.0021523675839667214,-0.5,-0.4978476324160333,0.13776056631013622
2021-10-31,ANKR/USD,CLOSE,0.22091789019668506,0.0,-0.22091789019668506,
2021-10-31,OXT/USD,LONG,0.14327725504569247,0.18050854005839706,0.03723128501270459,3.6859314535009915
2021-10-31,CRV/USD,CLOSE,0.13580485475762244,0.0,-0.13580485475762244,
2021-11-05,ZRX/USD,CLOSE,0.319491459941603,0.0,-0.319491459941603,1.320902020209302
2021-11-05,ALGO/USD,LONG,0.0,0.3347491611634631,0.3347491611634631,2.1848612915061887
2021-11-05,OXT/USD,LONG,0.18050854005839706,0.16525083883653693,-0.015257701221860126,1.4097713516587884
2021-11-10,ZRX/USD,LONG,0.0,0.24639850451074913,0.24639850451074913,1.3668656127406607
2021-11-10,ALGO/USD,LONG,0.3347491611634631,0.25360149548925087,-0.08114766567421222,2.0216250990608486
2021-11-10,OXT/USD,CLOSE,0.16525083883653693,0.0,-0.16525083883653693,0.40654710362831503
2021-11-15,ZRX/USD,CLOSE,0.24639850451074913,0.0,-0.24639850451074913,0.78756859513943
2021-11-15,ALGO/USD,LONG,0.25360149548925087,0.23396050994805537,-0.019640985541195505,1.1902862745279847
2021-11-15,OXT/USD,SHORT,0.0,-0.5,-0.5,-0.07095750519167998
2021-11-15,XLM/USD,LONG,-0.5,0.2660394900519446,0.7660394900519446,0.8675653350455872
2021-11-20,ALGO/USD,LONG,0.23396050994805537,0.23084797346805666,-0.0031125364799987065,0.3430503320659892
2021-11-20,XLM/USD,LONG,0.2660394900519446,0.26915202653194326,0.003112536479998651,0.31772396829537186
2021-11-25,ALGO/USD,LONG,0.23084797346805666,0.23880393346148132,0.00795595999342466,0.18905812377872167
2021-11-25,XLM/USD,LONG,0.26915202653194326,0.26119606653851873,-0.007955959993424522,0.24143926102432856
2021-11-30,GRT/USD,LONG,0.0,0.19503353024061137,0.19503353024061137,1.39564040300764
2021-11-30,ZRX/USD,SHORT,0.0,-0.5,-0.5,-0.446601121490267
2021-11-30,ALGO/USD,CLOSE,0.23880393346148132,0.0,-0.23880393346148132,-0.021263705260675003
2021-11-30,OXT/USD,CLOSE,-0.5,0.0,0.5,-0.33074777376524045
