date,long_return,short_return,long_short_return,direction_class
2023-02-19,-0.00808438724913663,0.04125835444159178,0.016586983596227574,Up
2023-02-20,-0.08406906548281955,0.08917992239479798,0.002555428455989217,Up
2023-02-21,-0.03309818099132708,0.02481967063453468,-0.0041392551783962,Up
2023-02-22,-0.0364867132442704,0.03180447832521478,-0.0023411174595278084,Down
2023-02-23,-0.05695060364827294,0.055233759705071384,-0.0008584219716007771,Down
2023-02-24,0.0195544108836999,-0.027299215242201635,-0.003872402179250868,Down
2023-02-25,0.015458952782182267,-0.015593030671865482,-6.70389448416079e-05,Down
2023-02-26,-0.0207832283108113,0.08103676506215528,0.030126768375671988,Down
2023-02-27,-0.041687184214562883,0.08460217240087547,0.021457494093156296,Down
2023-02-28,-0.05512738050264928,0.05014651248530437,-0.002490434008672455,Down
2023-03-01,-0.08889646555558435,0.09974873059198076,0.005426132518198207,Up
2023-03-02,-0.08707311913210333,0.07692286277391867,-0.0050751281790923294,Down
2023-03-03,-0.09316811319847026,0.09061526400858622,-0.0012764245949420244,Down
2023-03-04,-0.14234481339295046,0.11451848571213634,-0.013913163840407063,Down
2023-03-05,-0.13899968351672054,0.13058364827057656,-0.004208017623071991,Down
2023-03-06,-0.14108860693193276,0.15015009119430806,0.004530742131187648,Down
2023-03-07,-0.07113931692670977,0.046905757164701155,-0.012116779881004309,Down
2023-03-08,0.06911835538106588,-0.05525752712073142,0.0069304141301672305,Down
2023-03-09,0.18239358161780747,-0.1719580093612852,0.00521778612826114,Down
2023-03-10,0.11361038435773069,-0.08845881708847857,0.01257578363462606,Down
2023-03-11,0.17199859235556084,-0.1487491742747518,0.011624709040404524,Down
2023-03-12,0.17914215008655143,-0.11962829412492361,0.02975692798081391,Down
2023-03-13,0.07276600839442585,-0.037604229020261254,0.017580889687082296,Up
