date,portfolio_value,cash,num_positions,num_longs,num_shorts
2023-12-06,10743.945940203093,0,1,1,0
2023-12-07,10813.424682307863,0,1,1,0
2023-12-08,11450.535510943646,0,1,1,0
2023-12-09,11586.927310437359,0,1,1,0
2023-12-10,11549.776195752089,0,1,1,0
2023-12-11,10527.09426802084,0,1,1,0
2023-12-12,10498.358599203504,0,1,1,0
2023-12-13,10682.78001657762,0,1,1,0
2023-12-14,10955.050478621877,0,1,1,0
2023-12-15,10481.01457052447,0,1,1,0
2023-12-16,10660.509873244186,0,1,1,0
2023-12-17,10387.00788253633,0,1,1,0
2023-12-18,10307.574283734124,0,1,1,0
2023-12-19,10123.973885469077,0,1,1,0
2023-12-20,10379.618710554729,0,1,1,0
2023-12-21,10659.586226746484,0,1,1,0
2023-12-22,10858.888615472433,0,1,1,0
2023-12-23,10860.735908467836,0,1,1,0
2023-12-24,10803.469825610428,0,1,1,0
2023-12-25,11310.243870681868,0,1,1,0
2023-12-26,10806.343392492163,0,1,1,0
2023-12-27,11287.665845182533,0,1,1,0
2023-12-28,11426.007565060276,0,1,1,0
2023-12-29,11177.341402401695,0,1,1,0
2023-12-30,11451.356530052712,0,1,1,0
2023-12-31,11101.294507424385,0,1,1,0
2024-01-01,11410.100319822111,0,1,1,0
2024-01-02,11124.283042478253,0,1,1,0
2024-01-03,10236.76138557712,0,1,1,0
2024-01-04,10349.241003519262,0,1,1,0
2024-01-05,9638.739505044303,0,2,2,0
2024-01-06,9500.725547538348,0,2,2,0
2024-01-07,9003.516416129109,0,2,2,0
2024-01-08,9610.97828588166,0,2,2,0
2024-01-09,9259.442028834317,0,2,2,0
2024-01-10,9767.242016788005,0,2,2,0
2024-01-11,9959.082661727436,0,2,2,0
2024-01-12,9218.027583597695,0,1,1,0
2024-01-13,9350.81535242073,0,1,1,0
2024-01-14,9065.567552726809,0,1,1,0
2024-01-15,9311.470828325017,0,1,1,0
2024-01-16,9675.407676210363,0,1,1,0
2024-01-17,9429.504400612155,0,1,1,0
2024-01-18,8824.582342640564,0,1,1,0
2024-01-19,8549.17067397057,0,1,1,0
2024-01-20,8495.071953338964,0,1,1,0
2024-01-21,8411.464839635573,0,1,1,0
2024-01-22,7963.920878046834,0,1,1,0
2024-01-23,7919.658288439157,0,1,1,0
2024-01-24,8072.118319310046,0,1,1,0
2024-01-25,7963.920878046834,0,1,1,0
2024-01-26,8224.578350180935,0,1,1,0
2024-01-27,8283.595136324506,0,1,1,0
