date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2025-01-05,5484.94166774806,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.004133002985460266,0.0041244855888400225
2025-01-06,5429.486323450641,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.01011047111467045,-0.01016192906430779
2025-01-07,5406.062266527615,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.004314230762835658,-0.004323563909612161
2025-01-08,5460.915024757937,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.010146527273640737,0.010095396839144307
2025-01-09,5666.556840632982,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.03765702541473992,0.03696531146783093
2025-01-10,5478.7812046247545,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.03313751918303398,-0.03369900582709807
2025-01-11,5417.658003820731,1,2,0.5,0.5,2.7755575615628914e-17,1.0,-0.01115635002040749,-0.011219048856208854
2025-01-12,5464.701778429279,1,2,0.5,0.5,2.7755575615628914e-17,1.0,0.008683415338393674,0.008645931323971217
2025-01-13,5426.037492451236,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0070752783126540875,-0.007100426786092539
2025-01-14,5547.230803534953,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.022335509338504034,0.022089724931094706
2025-01-15,5801.729748216941,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.04587855701259236,0.04485725661992296
2025-01-16,5960.190331284411,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.027312644667078834,0.026946309805505
2025-01-17,5945.145217832648,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.002524267282672521,-0.0025274586169814718
2025-01-18,5928.266522430974,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0028390720130848646,-0.0028431098222641534
2025-01-19,5787.427011193008,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.023757283972484444,-0.024044039031476238
2025-01-20,5944.575996939288,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.027153514928542677,0.02679139877120916
2025-01-21,5940.699357927418,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0006521304486420965,-0.0006523431781930923
2025-01-22,5790.740248482193,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.025242669323960132,-0.025566730577266123
2025-01-23,5731.614531898302,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.010210390044586903,-0.010262873634608016
2025-01-24,5713.2512496539375,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0032038585536704467,-0.00320900189712109
2025-01-25,5762.590441334546,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.008635921916368972,0.008598845648286267
2025-01-26,5890.895238267721,1,2,0.5,0.5,-2.7755575615628914e-17,1.0,0.02226512507514955,0.022020876020263303
2025-01-27,5892.674131932495,1,2,0.5,0.5,0.0,1.0,0.0003019734001070695,0.00030192781531658195
2025-01-28,5922.649947394955,1,2,0.5,0.5,0.0,1.0,0.00508696303093048,0.005074068146537081
2025-01-29,5908.664047733587,1,2,0.5,0.5,0.0,1.0,-0.002361426014637291,-0.002364218578202979
2025-01-30,5962.579839972033,1,2,0.5,0.5,0.0,1.0,0.009124870157261267,0.009083490064396826
2025-01-31,5992.17351446819,1,2,0.5,0.5,0.0,1.0,0.004963233246415566,0.00495095700742191
2025-02-01,6023.822793975427,1,2,0.5,0.5,0.0,1.0,0.00528176953334536,0.005267869910232569
2025-02-02,5956.7896686590675,1,2,0.5,0.5,0.0,1.0,-0.011128004194180585,-0.01119038363703111
2025-02-03,5942.0347027369235,2,3,0.5,0.5,1.3877787807814457e-17,1.0,-0.0024769996496225577,-0.002480072488584162
2025-02-04,5978.248471730864,2,3,0.5,0.5,1.3877787807814457e-17,1.0,0.006094506478944162,0.006076010087208986
2025-02-05,6020.717871574928,2,3,0.5,0.5,1.3877787807814457e-17,1.0,0.0071039870699398655,0.007078872625439745
2025-02-06,5922.518423998985,2,3,0.5,0.5,1.3877787807814457e-17,1.0,-0.016310255632399406,-0.016444732086948407
2025-02-07,5841.538351507972,2,3,0.5,0.5,1.3877787807814457e-17,1.0,-0.013673249569451484,-0.013767589388008478
2025-02-08,6076.627497037883,2,3,0.5,0.5,1.3877787807814457e-17,1.0,0.04024438964253707,0.03945567558834731
2025-02-09,6168.265933553159,2,3,0.5,0.5,1.3877787807814457e-17,1.0,0.015080476227964601,0.014967896274811677
2025-02-10,6203.549842862479,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.005720231534990683,0.005703933134794483
2025-02-11,6227.78738574152,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.003907044110708302,0.003899431436127833
2025-02-12,6325.5967846688745,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.01570532082570586,0.015583268529596964
2025-02-13,6278.873270692441,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,-0.007386419901071695,-0.007413834581534713
2025-02-14,6476.121964308223,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.03141466392329795,0.030931320027640673
2025-02-15,6451.711762818712,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,-0.0037692621639993096,-0.003776383733637469
2025-02-16,6454.000856390208,2,3,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,0.0003548040668353014,0.0003547411387566988
2025-02-17,6655.937959669961,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.03128867004717106,0.030809156191272547
2025-02-18,6632.226060702539,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,-0.003562518026925421,-0.0035688789059290867
2025-02-19,6649.918602184373,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.002667662609793453,0.002664110713332258
2025-02-20,6591.624343711576,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,-0.008766161205890355,-0.008804810030695295
2025-02-21,6401.083521614675,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,-0.028906505007172845,-0.02933252800087941
2025-02-22,6421.445572415426,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.003181031888116026,0.003175983110228286
2025-02-23,6482.991769379123,2,3,0.5,0.49999999999999994,5.551115123125783e-17,1.0,0.009584476932745556,0.009538837223796564
2025-02-24,6364.568609981547,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,-0.01826674529449812,-0.018435642246512014
2025-02-25,6355.145627499249,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,-0.0014805374974699026,-0.0014816345760883362
2025-02-26,6265.377490307069,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,-0.014125268318596174,-0.014225979426916209
2025-02-27,6275.052529853634,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,0.0015442069630333677,0.001543015901467079
2025-02-28,5985.050538143041,2,3,0.5,0.5,-2.7755575615628914e-17,1.0,-0.04621506996649116,-0.04731707316576373
