date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2024-01-19,10452.716276853163,1,1,0.5,0.5,0.0,1.0,0.19791639023362276,0.1335666923314044,-0.026109622450141146,14490.821841210956,-0.2786664282127659
2024-01-20,10176.019453650848,1,1,0.5,0.5,0.0,1.0,0.21497688509811705,-0.0034422245895612737,-0.026471284197681855,14490.821841210956,-0.29776105419287474
2024-01-21,10259.757302454384,1,1,0.5,0.5,0.0,1.0,0.2948817782975087,-0.001601895200361656,0.008228939536224278,14490.821841210956,-0.29198237236784597
2024-01-22,10275.742392338494,1,1,0.5,0.5,0.0,1.0,0.34639837883554603,0.1895086949378118,0.0015580378183299715,14490.821841210956,-0.29087925412795085
2024-01-23,10380.534535418876,1,1,0.5,0.5,0.0,1.0,0.37569665274945374,0.1554929044837509,0.010198011888514547,14490.821841210956,-0.2836476323311553
2024-01-24,10345.42296575874,1,1,0.5,0.5,0.0,1.0,0.3770045198314109,0.1825572122865265,-0.003382443316414352,14490.821841210956,-0.2860706536093744
2024-01-25,10141.21772167238,1,1,0.5,0.5,0.0,1.0,0.3765986010215332,0.1505496149476004,-0.019738704232996507,14490.821841210956,-0.3001626938210354
2024-01-26,10045.980015640855,1,1,0.5,0.5,0.0,1.0,0.32714037056082956,0.11130563840627268,-0.009391150909618728,14490.821841210956,-0.3067349715755431
2024-01-27,10065.574255587853,1,1,0.5,0.5,0.0,1.0,0.33372977541888316,0.07284336482390724,0.001950455795899586,14490.821841210956,-0.3053827887827581
2024-01-28,10155.99512943021,1,1,0.5,0.5,0.0,1.0,0.32642700448402784,0.1172247202285467,0.008983180844566396,14490.821841210956,-0.2991429167566453
2024-01-29,10027.28532524905,1,1,0.5,0.5,0.0,1.0,0.29550920298684047,0.1409585977011852,-0.012673283370152832,14490.821841210956,-0.30802507717456706
2024-01-30,9994.075441114723,1,1,0.5,0.5,0.0,1.0,0.3343832559951449,0.16270465249709762,-0.0033119516456465714,14490.821841210956,-0.31031686465896496
2024-01-31,9981.504272062142,1,1,0.5,0.5,0.0,1.0,0.4268700247680099,0.2132284581883564,-0.0012578621330857631,14490.821841210956,-0.3111843909587383
2024-02-01,10028.540377783522,1,1,0.5,0.5,0.0,1.0,0.39081054320067715,0.19864056756677503,0.0047123263627739664,14490.821841210956,-0.3079384670051629
2024-02-02,10148.353259666594,1,1,0.5,0.5,0.0,1.0,0.28984309766010763,0.11135365867043627,0.011947190455402268,14490.821841210956,-0.29967027606361596
2024-02-03,10012.988608182222,1,1,0.5,0.5,0.0,1.0,0.2727693523297916,0.11452564768874837,-0.0133385829228434,14490.821841210956,-0.30901168215967345
2024-02-04,10078.573150253756,1,1,0.5,0.5,0.0,1.0,0.2595201936734958,0.1090844901808079,0.006549946737973933,14490.821841210956,-0.30448574548125706
2024-02-05,10171.64099263806,1,1,0.5,0.5,0.0,1.0,0.22037289398584706,0.1275500318926201,0.009234228000018163,14490.821841210956,-0.2980632082777684
2024-02-06,10293.97011817669,1,1,0.5,0.5,0.0,1.0,0.12478137759030158,0.03867501546721448,0.012026488707885807,14490.821841210956,-0.2896213733784713
2024-02-07,10198.357571139906,1,1,0.5,0.5,0.0,1.0,0.18708116140510275,0.08945069744434131,-0.009288209110686618,14490.821841210956,-0.29621951861029444
2024-02-08,10285.132826419063,1,1,0.5,0.5,0.0,1.0,0.12204229559886216,-0.033445612842571,0.008508748067896699,14490.821841210956,-0.2902312277990463
2024-02-09,10208.433217331885,1,1,0.5,0.5,0.0,1.0,0.1589474942227742,0.07139372207549866,-0.007457328007486885,14490.821841210956,-0.2955242063428201
2024-02-10,10448.639574657287,1,1,0.5,0.5,0.0,1.0,0.16509357009223483,0.1054162336935352,0.02353018844435195,14490.821841210956,-0.27894775816358225
2024-02-11,10294.991902894893,1,1,0.5,0.5,0.0,1.0,0.041431758414788085,0.04873232559321343,-0.01470504084905555,14490.821841210956,-0.2895508608340898
