date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_trendline_score_long,avg_trendline_score_short,avg_r2_long,avg_r2_short,daily_return
2022-03-20,4980.236135975627,0,2490.1180679878134,-2490.1180679878134,0.0,4980.236135975627,2,1,-2.643064082046925,-212.59322750904508,0.06041784560744065,0.7669153881215102,-0.051887000047958876
2022-03-21,5034.782276973647,0,2517.3911384868234,-2517.3911384868234,0.0,5034.782276973647,2,1,-1.6794832102969326,-169.98772754082975,0.045142972457907896,0.7401158668275957,0.010952521026863726
2022-03-22,5122.876442910504,0,2561.438221455252,-2561.438221455252,0.0,5122.876442910504,2,1,-2.1226080917197923,-156.046771700338,0.05076405199899396,0.708041182485169,0.01749711528535247
2022-03-23,5013.436211984644,0,2506.718105992322,-2506.718105992322,0.0,5013.436211984644,2,1,-3.324216552324949,-145.12790747079393,0.0659048359074378,0.6840910565596513,-0.021363043232735635
2022-03-24,4990.260659569793,0,2495.1303297848963,-2495.1303297848963,0.0,4990.260659569793,2,1,-3.509046012269411,-117.96116100681483,0.06640222494816928,0.6257881698210083,-0.0046226881992533775
2022-03-25,4979.069410938549,0,2489.5347054692743,-2489.5347054692743,0.0,4979.069410938549,2,1,-4.101803777216858,-107.84260937789685,0.07509602006204727,0.5891844298226939,-0.0022426180503782867
2022-03-26,4981.113560628122,0,2490.556780314061,-2490.556780314061,0.0,4981.113560628122,2,1,-4.108788883347332,-91.90267437544593,0.07452975390840118,0.5388869290390591,0.0004105485424812372
2022-03-27,5070.169086993792,0,2535.084543496896,-2535.084543496896,0.0,5070.169086993792,2,1,-2.9828318007569457,-72.40501109228404,0.060637380153113624,0.4711834709689166,0.017878638035796923
2022-03-28,5050.010752478261,0,2525.0053762391303,-2525.0053762391303,0.0,5050.010752478261,2,1,-2.4695709076215393,-64.62732760555585,0.05162492821633182,0.4246016927949268,-0.003975870265794934
2022-03-29,5114.377226038791,0,2557.1886130193957,-2557.1886130193957,0.0,5114.377226038791,2,1,-0.49646788207330617,-50.94299816050704,0.017457035577075567,0.3677107467779839,0.012745809210196857
2022-03-30,4969.845971281953,0,2484.9229856409765,-2484.9229856409765,0.0,4969.845971281953,2,1,-0.1433975396486656,-39.10763587077863,0.0071676899225817815,0.3104360925180031,-0.028259795546755395
2022-03-31,5102.510243862164,0,2551.255121931082,-2551.255121931082,0.0,5102.510243862164,2,1,-0.053137741521384,-30.040540894897823,0.003962215593418638,0.26124522920809456,0.026693839878902947
2022-04-01,5127.135276101144,0,2563.567638050572,-2563.567638050572,0.0,5127.135276101144,2,1,0.0372104280197413,-21.660856854154584,0.0042984084648292585,0.21173968991462264,0.004826062283481258
2022-04-02,5188.501175962747,0,2594.2505879813734,-2594.2505879813734,0.0,5188.501175962747,2,1,0.14414325952794724,-16.405694915761885,0.007383208671854443,0.17291502621057167,0.011968847427850093
2022-04-03,5253.432599546828,0,2626.716299773414,-2626.716299773414,0.0,5253.432599546828,2,1,0.3632128250056908,-11.355385680884536,0.014607816591528534,0.13793181199043136,0.012514485663970731
2022-04-04,5312.078699830755,0,2656.0393499153774,-2656.0393499153774,0.0,5312.078699830755,2,1,0.6778937322122207,-9.2664866365169,0.021824137759198874,0.11625757003556618,0.0111633868280685
2022-04-05,5197.358932562118,0,2598.679466281059,-2598.679466281059,0.0,5197.358932562118,2,1,4.877656246832055,-7.143481818618809,0.0715786861943581,0.09537275643693037,-0.021596021774355822
2022-04-06,5208.040529423257,0,2604.0202647116284,-2604.0202647116284,0.0,5208.040529423257,2,1,7.662189970440613,-6.485807736093748,0.08669871876515543,0.08534319110375657,0.0020551970721547352
2022-04-07,5416.494545404136,0,2708.247272702068,-2708.247272702068,0.0,5416.494545404136,2,1,10.548781472730592,-4.195502790447416,0.10874384621683156,0.06690702631114682,0.04002542123149788
2022-04-08,5422.184773524019,0,2711.0923867620095,-2711.0923867620095,0.0,5422.184773524019,2,1,15.576038913671237,-2.6756716721834377,0.14310713199578146,0.04947786930246253,0.0010505370350111232
2022-04-09,5379.1510509331165,0,2689.5755254665582,-2689.5755254665582,0.0,5379.1510509331165,2,1,23.12926434413832,-1.3896392382031446,0.19272662309525912,0.033577719470425475,-0.007936602013459915
2022-04-10,5347.3025480585675,0,2673.6512740292837,-2673.6512740292837,0.0,5347.3025480585675,2,1,35.77605503074829,-0.7212928857638891,0.2529755102534895,0.02161946691720727,-0.005920730348151215
2022-04-11,5295.3739110992965,0,2647.6869555496482,-2647.6869555496482,0.0,5295.3739110992965,2,1,46.320243239453106,-0.6772152283751505,0.2810686017279499,0.019758949400737788,-0.009711183628112519
2022-04-12,5334.407672557823,0,2667.2038362789117,-2667.2038362789117,0.0,5334.407672557823,2,1,49.05561393544248,-0.662682915168966,0.2941839152484933,0.02007149154236108,0.007371294664709316
2022-04-13,5353.055764673484,0,2676.527882336742,-2676.527882336742,0.0,5353.055764673484,2,1,52.06796355853193,-0.5366695770533901,0.31008181931174883,0.01782635340215564,0.0034958130799775944
2022-04-14,5313.019549485818,0,2656.509774742909,-2656.509774742909,0.0,5313.019549485818,2,1,60.42482196317447,-0.5990981764541045,0.3381626148569512,0.018816975304043134,-0.0074791328444357985
2022-04-15,5270.029921704754,0,2635.014960852377,-2635.014960852377,0.0,5270.029921704754,2,1,66.4553692024052,-0.544922992811294,0.3594376575596227,0.017892312517326547,-0.008091373912829769
2022-04-16,5264.661511488047,0,2632.3307557440235,-2632.3307557440235,0.0,5264.661511488047,2,1,76.96895621223088,-0.24428960061196528,0.39591374371614,0.010718453617245056,-0.0010186678816750394
2022-04-17,5226.2151001346365,0,2613.1075500673182,-2613.1075500673182,0.0,5226.2151001346365,2,1,90.10053304549761,-0.1050617466492892,0.42067040836151126,0.006040115580854085,-0.0073027318602566504
2022-04-18,5199.489362702445,0,2599.7446813512224,-2599.7446813512224,0.0,5199.489362702445,2,1,91.99166271780027,-0.06600549456137172,0.4272153883061899,0.004558529141492188,-0.005113784434839452
2022-04-19,5810.800845431995,0,2905.4004227159976,-2905.4004227159976,0.0,5810.800845431995,2,1,94.2310953121505,-0.022837291529831175,0.4354832240667188,0.0023081165204800504,0.11757144597980673
2022-04-20,5649.953764029414,0,2824.976882014707,-2824.976882014707,0.0,5649.953764029414,2,1,76.66072078374077,-0.006203936459516654,0.44568226927978505,0.0009603579869962774,-0.027680707992087994
2022-04-21,5482.031797027857,0,2741.0158985139283,-2741.0158985139283,0.0,5482.031797027857,2,1,93.44925955171371,-0.016029698161905363,0.4484012527098651,0.0017635253335207008,-0.029720945341294103
2022-04-22,5510.6804496008135,0,2755.3402248004068,-2755.3402248004068,0.0,5510.6804496008135,2,1,101.9698669581028,-0.0911063587034824,0.43064700828819685,0.005586033657207397,0.0052259187165768495
2022-04-23,5483.052155204049,0,2741.5260776020245,-2741.5260776020245,0.0,5483.052155204049,2,1,106.19448030455423,-0.22508539112543047,0.41959694542419096,0.010027951198077537,-0.00501359036319482
2022-04-24,5398.9177021092055,0,2699.4588510546027,-2699.4588510546027,0.0,5398.9177021092055,2,1,108.9569419915698,-0.5749051385287924,0.402662816696652,0.018472586208452855,-0.015344456100967463
2022-04-25,5557.273005295781,0,2778.6365026478907,-2778.6365026478907,0.0,5557.273005295781,2,1,109.6657844475346,-1.1731620519567856,0.37903259423362723,0.02957373149290447,0.029330934813974086
2022-04-26,5592.626304985201,0,2796.3131524926007,-2796.3131524926007,0.0,5592.626304985201,2,1,105.68683771245934,-2.054519559176907,0.3890107926053538,0.040449923951799235,0.006361627304566575
2022-04-27,5394.816540993764,0,2697.408270496882,-2697.408270496882,0.0,5394.816540993764,2,1,103.44045479963698,-2.424562499587994,0.38375344331800626,0.04556923791459993,-0.03536974458942699
2022-04-28,5455.835481508726,0,2727.917740754363,-2727.917740754363,0.0,5455.835481508726,2,1,109.47580139236328,-3.199871743320951,0.36956081237909283,0.05593805796772412,0.011310660900383906
2022-04-29,5723.266965112323,0,2861.6334825561617,-2861.6334825561617,0.0,5723.266965112323,2,1,117.13978219155449,-4.3029828229807086,0.35688675043564294,0.0634835534199345,0.04901751244332675
2022-04-30,5537.366847002297,0,2768.6834235011484,-2768.6834235011484,0.0,5537.366847002297,2,1,113.06912684533613,-7.255356683398795,0.3447438899829376,0.08077949285354302,-0.03248146893080994
2022-05-01,5462.8086813741365,0,2731.4043406870683,-2731.4043406870683,0.0,5462.8086813741365,2,1,113.35360293333005,-9.662487311813623,0.33017210780215,0.09971334091628625,-0.013464552320300527
2022-05-02,5169.274019896538,0,2584.637009948269,-2584.637009948269,0.0,5169.274019896538,2,1,105.30750313758476,-12.973467837000834,0.3138141589240199,0.1212824284305727,-0.05373328604357441
2022-05-03,5278.723802882624,0,2639.361901441312,-2639.361901441312,0.0,5278.723802882624,2,1,97.36279949975564,-15.278386877571405,0.29414278158592355,0.14227727115917174,0.02117314395886405
2022-05-04,5348.952553399844,0,2674.476276699922,-2674.476276699922,0.0,5348.952553399844,2,1,80.63191500029568,-15.772876810205217,0.2905925195990897,0.15146149225393335,0.013304115377066994
2022-05-05,5068.373332404225,0,2534.1866662021125,-2534.1866662021125,0.0,5068.373332404225,2,1,78.9929621348964,-24.149922988059046,0.28221062772015737,0.1837317009861775,-0.05245498407296212
2022-05-06,4798.529795423942,0,2399.264897711971,-2399.264897711971,0.0,4798.529795423942,2,1,67.69077835038244,-26.89877594256645,0.2785843546198389,0.2099826988153136,-0.053240659139108915
2022-05-07,4743.627308989053,0,2371.8136544945264,-2371.8136544945264,0.0,4743.627308989053,2,1,55.65580186405129,-26.96065467897904,0.27741841465855943,0.22037270173172555,-0.011441522461160147
2022-05-08,4879.153688163643,0,2439.5768440818215,-2439.5768440818215,0.0,4879.153688163643,2,1,42.24459412693402,-29.16680671193296,0.2683863840806686,0.22802894248202624,0.028570199627144133
2022-05-09,4913.586474365312,0,2456.793237182656,-2456.793237182656,0.0,4913.586474365312,2,1,21.42853231191623,-51.61263272698954,0.25405673574997284,0.2784457572746496,0.007057122690190987
2022-05-10,4794.551959225657,0,2397.2759796128285,-2397.2759796128285,0.0,4794.551959225657,2,1,-3.6393418605383303,-171.40312390738853,0.24411422810549244,0.43226995636144205,-0.02422558669938346
2022-05-11,4799.04592253804,0,2399.52296126902,-2399.52296126902,0.0,4799.04592253804,2,1,-33.63593749749867,-243.0498875237766,0.23180818555932967,0.4860997750475532,0.0009373062072537408
2022-05-12,4958.267996261819,0,2479.1339981309093,-2479.1339981309093,0.0,4958.267996261819,2,1,-64.83822688105268,-271.95799860054785,0.24076006663192828,0.5439159972010957,0.03317785999421563
2022-05-13,5073.042855170189,0,2536.5214275850944,-2536.5214275850944,0.0,5073.042855170189,2,1,-80.53940383837148,-299.27710252454256,0.2654520231364557,0.5985542050490851,0.02314817573291772
2022-05-14,5027.293645381236,0,2513.646822690618,-2513.646822690618,0.0,5027.293645381236,2,1,-95.97420300329993,-324.80906639080683,0.299368709219757,0.6496181327816136,-0.009018100397540918
2022-05-15,4948.264032781516,0,2474.132016390758,-2474.132016390758,0.0,4948.264032781516,2,1,-107.48758440169475,-344.1835687090758,0.33382907344214413,0.6883671374181516,-0.015720110694613543
2022-05-16,4955.7111331173755,0,2477.8555665586878,-2477.8555665586878,0.0,4955.7111331173755,2,1,-136.41085512348607,-363.8814613958727,0.3763320092951984,0.7277629227917454,0.0015049925158647781
2022-05-17,4982.805403870743,0,2491.4027019353716,-2491.4027019353716,0.0,4982.805403870743,2,1,-153.0738061896419,-404.1391856272514,0.4191633767449054,0.8082783712545027,0.005467282096469628
2022-05-18,4793.012561160612,0,2396.506280580306,-2396.506280580306,0.0,4793.012561160612,2,1,-199.30539224463473,-416.9639218127447,0.4621014868791437,0.8339278436254893,-0.03808955544655557
2022-05-19,4914.562078988585,0,2457.2810394942926,-2457.2810394942926,0.0,4914.562078988585,2,1,-227.92574152958016,-425.61628797254303,0.5094066251741398,0.8512325759450861,0.02535973279371939
2022-05-20,4936.505777556262,0,2468.252888778131,-2468.252888778131,0.0,4936.505777556262,2,0,-261.95868115853614,,0.5523655907194032,,0.004465036398968891
2022-05-21,5011.861526316295,0,2505.9307631581473,-2505.9307631581473,0.0,5011.861526316295,2,0,-288.6467963802447,,0.5942342499276031,,0.015264997582426831
2022-05-22,4862.512066141653,0,2431.2560330708266,-2431.2560330708266,0.0,4862.512066141653,2,0,-309.20985716632646,,0.6313019190135328,,-0.029799199237735774
2022-05-23,4929.210376709757,0,2464.6051883548785,-2464.6051883548785,0.0,4929.210376709757,2,0,-334.2215531729598,,0.6684431063459195,,0.013716842171463961
2022-05-24,4937.236268332502,0,2468.618134166251,-2468.618134166251,0.0,4937.236268332502,2,1,-345.07953484426554,-459.08396494365684,0.6901590696885311,0.9181679298873137,0.0016282306920123446
2022-05-25,4950.42341002524,0,2475.21170501262,-2475.21170501262,0.0,4950.42341002524,2,1,-359.3444853729136,-462.810129969446,0.718688970745827,0.925620259938892,0.002670956173866035
2022-05-26,4864.686998825504,0,2432.343499412752,-2432.343499412752,0.0,4864.686998825504,2,1,-367.4836015327634,-464.0093155031509,0.7349672030655268,0.9280186310063018,-0.017319005688707034
2022-05-27,4879.389050083662,0,2439.694525041831,-2439.694525041831,0.0,4879.389050083662,2,1,-377.55192730425676,-465.1916566989596,0.7551038546085136,0.9303833133979192,0.003022198809853105
2022-05-28,4899.445102301116,0,2449.722551150558,-2449.722551150558,0.0,4899.445102301116,2,1,-384.9911412000166,-465.66970748410495,0.7699822824000332,0.9313394149682099,0.004110361361144177
2022-05-29,4926.642283464355,0,2463.3211417321777,-2463.3211417321777,0.0,4926.642283464355,2,1,-387.6506591938961,-465.7533950173552,0.7753013183877921,0.9315067900347105,0.0055510737635300345
2022-05-30,4885.518884548932,0,2442.759442274466,-2442.759442274466,0.0,4885.518884548932,2,1,-389.8973370694988,-464.88619268448514,0.7797946741389976,0.9297723853689702,-0.008347145286648594
2022-05-31,4850.5734235940035,0,2425.2867117970018,-2425.2867117970018,0.0,4850.5734235940035,2,1,-364.99399045815585,-462.2460905948997,0.7852300262349245,0.9244921811897995,-0.007152865802125485
2022-06-01,4865.761669579458,0,2432.880834789729,-2432.880834789729,0.0,4865.761669579458,2,1,-376.46861356854504,-460.06038217963174,0.7810932395868075,0.9201207643592635,0.0031312269002208293
2022-06-02,4919.510112211316,0,2459.755056105658,-2459.755056105658,0.0,4919.510112211316,2,1,-354.6132279226138,-456.6973940855244,0.7698631606090487,0.9133947881710488,0.011046254683596768
2022-06-03,4877.722198234885,0,2438.8610991174423,-2438.8610991174423,0.0,4877.722198234885,2,1,-337.64747717963644,-453.39235797105533,0.7575065437042768,0.9067847159421106,-0.008494324236208772
2022-06-04,4924.227486517854,0,2462.113743258927,-2462.113743258927,0.0,4924.227486517854,2,1,-330.83976476440955,-449.6363892037048,0.7492297879299142,0.8992727784074096,0.009534222408114745
2022-06-05,4960.6179763189975,0,2480.3089881594988,-2480.3089881594988,0.0,4960.6179763189975,2,1,-328.7291946942321,-446.5652432944205,0.7493596849313283,0.893130486588841,0.007390091115972552
2022-06-06,4910.986331055952,0,2455.493165527976,-2455.493165527976,0.0,4910.986331055952,2,1,-318.6072465495396,-442.1339970456273,0.7399184933466951,0.8842679940912547,-0.010005133533760757
2022-06-07,4903.587884235133,0,2451.7939421175665,-2451.7939421175665,0.0,4903.587884235133,2,1,-317.4943755392103,-437.9566200085621,0.7326336058831071,0.8759132400171241,-0.001506509349055385
2022-06-08,4916.436842071732,0,2458.218421035866,-2458.218421035866,0.0,4916.436842071732,2,1,-310.00963168519655,-433.02086008356537,0.7224170413418922,0.8660417201671308,0.002620317640866121
2022-06-09,4869.752325076569,0,2434.8761625382845,-2434.8761625382845,0.0,4869.752325076569,2,1,-304.528547515342,-427.8708063753028,0.7153956638187837,0.8557416127506056,-0.009495599861197523
2022-06-10,4886.22913892642,0,2443.11456946321,-2443.11456946321,0.0,4886.22913892642,2,1,-314.67065485759963,-424.90418157853924,0.7225985869079994,0.8498083631570785,0.003383501408275924
2022-06-11,4898.4667936782025,0,2449.2333968391013,-2449.2333968391013,0.0,4898.4667936782025,2,1,-325.5974020137786,-421.8201069226978,0.7281187297699795,0.8436402138453956,0.0025045192118171578
2022-06-12,5019.590314141366,0,2509.795157070683,-2509.795157070683,0.0,5019.590314141366,2,1,-334.9130143906697,-419.178793670332,0.7310822257834496,0.838357587340664,0.024726822813105898
2022-06-13,5049.517992417426,0,2524.758996208713,-2524.758996208713,0.0,5049.517992417426,2,1,-357.38259493220585,-418.31132244095073,0.7384463437658715,0.8366226448819014,0.0059621754770995405
2022-06-14,5003.022406540991,0,2501.5112032704956,-2501.5112032704956,0.0,5003.022406540991,2,1,-340.6685241496537,-426.03070437925453,0.7263128761924176,0.8520614087585091,-0.009207925577501608
2022-06-15,4992.766729036144,0,2496.383364518072,-2496.383364518072,0.0,4992.766729036144,2,1,-318.5773724501925,-423.7321411978838,0.7112229173816337,0.8474642823957675,-0.002049896376925764
2022-06-16,4958.535137631748,0,2479.267568815874,-2479.267568815874,0.0,4958.535137631748,2,1,-330.46600655186387,-424.1252216660645,0.7049566009119311,0.848250443332129,-0.006856236884715261
2022-06-17,4939.8877814568195,0,2469.9438907284098,-2469.9438907284098,0.0,4939.8877814568195,2,1,-318.84482717246897,-422.5891388370515,0.6961178116295147,0.845178277674103,-0.0037606582705057567
2022-06-18,5000.074642504895,0,2500.0373212524473,-2500.0373212524473,0.0,5000.074642504895,2,1,-318.54039601479144,-421.0196081767448,0.6897695384171534,0.8420392163534896,0.012183851883033059
2022-06-19,5019.497887950635,0,2509.7489439753176,-2509.7489439753176,0.0,5019.497887950635,2,1,-299.1827843290009,-418.14864573546896,0.6772464443940902,0.8362972914709379,0.00388459109802608
2022-06-20,4956.4682588788,0,2478.2341294394,-2478.2341294394,0.0,4956.4682588788,2,1,-290.3718621348489,-414.83395966705064,0.6620801657789077,0.8296679193341012,-0.01255695897853415
2022-06-21,4989.834746893036,0,2494.917373446518,-2494.917373446518,0.0,4989.834746893036,2,1,-277.08283148424147,-410.41944687375417,0.6463194755983195,0.8208388937475083,0.006731907937565174
2022-06-22,4940.159526682484,0,2470.079763341242,-2470.079763341242,0.0,4940.159526682484,2,1,-268.59082414941713,-406.6085738562662,0.6319198130823803,0.8132171477125324,-0.009955283637696155
2022-06-23,4984.729430718238,0,2492.364715359119,-2492.364715359119,0.0,4984.729430718238,2,1,-237.0838161652995,-400.36773489187567,0.611585785423765,0.8007354697837513,0.009021956435824707
2022-06-24,4961.762720976695,0,2480.8813604883476,-2480.8813604883476,0.0,4961.762720976695,2,1,-197.1337532359675,-392.0848134565164,0.5822032034301214,0.7841696269130327,-0.004607413513762926
2022-06-25,4945.261780564138,0,2472.630890282069,-2472.630890282069,0.0,4945.261780564138,2,1,-175.51442868090723,-383.7987267802881,0.5518534086951739,0.7675974535605763,-0.0033256206192200377
2022-06-26,4906.653946409114,0,2453.326973204557,-2453.326973204557,0.0,4906.653946409114,2,1,-167.93995499170123,-376.74997231445377,0.5295666890155479,0.7534999446289076,-0.0078070354752017845
2022-06-27,4953.110867887187,0,2476.5554339435935,-2476.5554339435935,0.0,4953.110867887187,2,1,-152.2457385937334,-369.2493936312475,0.5088899206082493,0.738498787262495,0.009468147129485738
2022-06-28,4945.954031146993,0,2472.9770155734964,-2472.9770155734964,0.0,4945.954031146993,2,1,-143.97406525139826,-396.8947942205572,0.4917976588727694,0.7937895884411144,-0.00144491753386633
2022-06-29,5027.958649636129,0,2513.9793248180645,-2513.9793248180645,0.0,5027.958649636129,2,1,-138.34842037414307,-402.1901325520429,0.47870727956746006,0.8043802651040858,0.016580141661793668
2022-06-30,5015.623743157231,0,2507.8118715786154,-2507.8118715786154,0.0,5015.623743157231,2,1,-123.7254231612273,-402.16488012119083,0.46118961721688134,0.8043297602423817,-0.0024532633099102474
2022-07-01,5022.356052348292,0,2511.178026174146,-2511.178026174146,0.0,5022.356052348292,2,1,-116.07028110649611,-399.0036349659718,0.44592491655210337,0.7980072699319436,0.0013422675893992597
2022-07-02,5021.056316189101,0,2510.5281580945507,-2510.5281580945507,0.0,5021.056316189101,2,1,-104.6787457849897,-397.49162785798643,0.4293387267623695,0.7949832557159728,-0.0002587901267141479
2022-07-03,4977.473270947892,0,2488.736635473946,-2488.736635473946,0.0,4977.473270947892,2,1,-91.17070285532196,-404.04174962015213,0.41884093983609016,0.8080834992403043,-0.008680055051501157
2022-07-04,4986.1728671225,0,2493.08643356125,-2493.08643356125,0.0,4986.1728671225,2,1,-77.50248250811298,-404.35315497720046,0.398624540892362,0.808706309954401,0.0017477936497187763
